team,penalty,game,opponent,player,position,week,year,penaltyindex
ARI,Offensive Holding,09/11/2011,Carolina,L.Sendlein,C,1,2011,ARI-2011-0
ARI,Illegal Formation,09/11/2011,Carolina,B.Keith,T,1,2011,ARI-2011-1
ARI,Illegal Crackback,09/11/2011,Carolina,A.Roberts,WR,1,2011,ARI-2011-2
ARI,Roughing the Passer,09/11/2011,Carolina,R.Marshall,CB,1,2011,ARI-2011-3
ARI,False Start,09/11/2011,Carolina,T.Heap,TE,1,2011,ARI-2011-4
ARI,Roughing the Passer,09/11/2011,Carolina,C.Haggans,LB,1,2011,ARI-2011-5
ARI,Defensive Offside,09/11/2011,Carolina,J.Porter,OLB,1,2011,ARI-2011-6
ARI,Unnecessary Roughness,09/18/2011,Washington,K.Rhodes,FS,2,2011,ARI-2011-7
ARI,Illegal Contact,09/18/2011,Washington,A.Wilson,SS,2,2011,ARI-2011-8
ARI,Neutral Zone Infraction,09/18/2011,Washington,P.Lenon,MLB,2,2011,ARI-2011-9
ARI,Defensive Pass Interference,09/18/2011,Washington,A.Jefferson,CB,2,2011,ARI-2011-10
ARI,Defensive Offside,09/18/2011,Washington,C.Campbell,DE,2,2011,ARI-2011-11
ARI,False Start,09/18/2011,Washington,L.Brown,T,2,2011,ARI-2011-12
ARI,Face Mask (15 Yards),09/18/2011,Washington,J.King,TE,2,2011,ARI-2011-13
ARI,Defensive Pass Interference,09/18/2011,Washington,K.Rhodes,FS,2,2011,ARI-2011-14
ARI,Illegal Contact,09/18/2011,Washington,A.Wilson,SS,2,2011,ARI-2011-15
ARI,Offensive Holding,09/18/2011,Washington,A.Jefferson,CB,2,2011,ARI-2011-16
ARI,Intentional Grounding,09/18/2011,Washington,K.Kolb,QB,2,2011,ARI-2011-17
ARI,False Start,09/18/2011,Washington,C.Wells,RB,2,2011,ARI-2011-18
ARI,Illegal Motion,09/18/2011,Washington,T.Heap,TE,2,2011,ARI-2011-19
ARI,Neutral Zone Infraction,09/25/2011,Seattle,D.Carter,DT,3,2011,ARI-2011-20
ARI,Low Block,09/25/2011,Seattle,A.Smith,LB,3,2011,ARI-2011-21
ARI,Offensive Holding,10/02/2011,N.Y. Giants,L.Brown,T,4,2011,ARI-2011-22
ARI,Offensive Holding,10/02/2011,N.Y. Giants,D.Colledge,G,4,2011,ARI-2011-23
ARI,Face Mask (15 Yards),10/02/2011,N.Y. Giants,J.Porter,OLB,4,2011,ARI-2011-24
ARI,Roughing the Kicker,10/02/2011,N.Y. Giants,P.Peterson,CB,4,2011,ARI-2011-25
ARI,Delay of Game,10/02/2011,N.Y. Giants,A.Jefferson,CB,4,2011,ARI-2011-26
ARI,Personal Foul,10/02/2011,N.Y. Giants,J.Bridges,G,4,2011,ARI-2011-27
ARI,Illegal Block Above the Waist,10/02/2011,N.Y. Giants,A.Sherman,FB,4,2011,ARI-2011-28
ARI,Intentional Grounding,10/02/2011,N.Y. Giants,K.Kolb,QB,4,2011,ARI-2011-29
ARI,False Start,10/02/2011,N.Y. Giants,K.Kolb,QB,4,2011,ARI-2011-30
ARI,Defensive Pass Interference,10/02/2011,N.Y. Giants,K.Rhodes,FS,4,2011,ARI-2011-31
ARI,Defensive Holding,10/02/2011,N.Y. Giants,R.Marshall,CB,4,2011,ARI-2011-32
ARI,Delay of Game,10/09/2011,Minnesota,K.Kolb,QB,5,2011,ARI-2011-33
ARI,Defensive Pass Interference,10/09/2011,Minnesota,P.Peterson,CB,5,2011,ARI-2011-34
ARI,False Start,10/09/2011,Minnesota,D.Colledge,G,5,2011,ARI-2011-35
ARI,Defensive Pass Interference,10/09/2011,Minnesota,R.Marshall,CB,5,2011,ARI-2011-36
ARI,Illegal Use of Hands,10/09/2011,Minnesota,J.Bridges,G,5,2011,ARI-2011-37
ARI,Offensive Holding,10/09/2011,Minnesota,D.Batiste,G,5,2011,ARI-2011-38
ARI,Face Mask (15 Yards),10/23/2011,Pittsburgh,A.Wilson,SS,7,2011,ARI-2011-39
ARI,Offensive Pass Interference,10/23/2011,Pittsburgh,L.Fitzgerald,WR,7,2011,ARI-2011-40
