team,penalty,game,opponent,player,position,week,year,penaltyindex
ATL,False Start,09/07/2014,New Orleans,D.Hester,WR,1,2014,ATL-2014-0
ATL,Illegal Use of Hands,09/07/2014,New Orleans,G.Carimi,T,1,2014,ATL-2014-1
ATL,False Start,09/07/2014,New Orleans,G.Carimi,T,1,2014,ATL-2014-2
ATL,Illegal Use of Hands,09/07/2014,New Orleans,J.Asamoah,G,1,2014,ATL-2014-3
ATL,Defensive Holding,09/07/2014,New Orleans,R.McClain,CB,1,2014,ATL-2014-4
ATL,Defensive Pass Interference,09/07/2014,New Orleans,W.Moore,SS,1,2014,ATL-2014-5
ATL,Illegal Use of Hands,09/07/2014,New Orleans,R.McClain,CB,1,2014,ATL-2014-6
ATL,False Start,09/07/2014,New Orleans,G.Carimi,T,1,2014,ATL-2014-7
ATL,Offensive Holding,09/07/2014,New Orleans,K.Ishmael,SS,1,2014,ATL-2014-8
ATL,Defensive Pass Interference,09/07/2014,New Orleans,R.Alford,CB,1,2014,ATL-2014-9
ATL,False Start,09/14/2014,Cincinnati,J.Blalock,G,2,2014,ATL-2014-10
ATL,Neutral Zone Infraction,09/14/2014,Cincinnati,K.Biermann,OLB,2,2014,ATL-2014-11
ATL,Offensive Holding,09/14/2014,Cincinnati,J.Hawley,C,2,2014,ATL-2014-12
ATL,Horse Collar Tackle,09/14/2014,Cincinnati,J.Bartu,ILB,2,2014,ATL-2014-13
ATL,Illegal Block Above the Waist,09/14/2014,Cincinnati,D.Trufant,CB,2,2014,ATL-2014-14
ATL,Personal Foul,09/14/2014,Cincinnati,L.Holmes,T,2,2014,ATL-2014-15
ATL,Personal Foul,09/14/2014,Cincinnati,R.White,WR,2,2014,ATL-2014-16
ATL,Face Mask (15 Yards),09/18/2014,Tampa Bay,E.Weems,WR,3,2014,ATL-2014-17
ATL,Illegal Block Above the Waist,09/18/2014,Tampa Bay,R.Alford,CB,3,2014,ATL-2014-18
ATL,Taunting,09/18/2014,Tampa Bay,D.Hester,WR,3,2014,ATL-2014-19
ATL,Defensive Holding,09/18/2014,Tampa Bay,D.Trufant,CB,3,2014,ATL-2014-20
ATL,Offensive Holding,09/18/2014,Tampa Bay,J.Blalock,G,3,2014,ATL-2014-21
ATL,False Start,09/18/2014,Tampa Bay,J.Asamoah,G,3,2014,ATL-2014-22
