HScore,HVScoreDiff,NDate,Season,VScore,Winner,VTeam,day,eid,gamekey,HTeam,month,gametype,time,wday,week,year
13,3,9/10/2009,2009,10,PIT,TEN,10,2009091000,54467,PIT,9,REG,8:30,Thu,1,2009
19,12,9/13/2009,2009,7,ATL,MIA,13,2009091300,54468,ATL,9,REG,1:00,Sun,1,2009
38,14,9/13/2009,2009,24,BAL,KC,13,2009091301,54469,BAL,9,REG,1:00,Sun,1,2009
10,-28,9/13/2009,2009,38,PHI,PHI,13,2009091302,54470,CAR,9,REG,1:00,Sun,1,2009
7,-5,9/13/2009,2009,12,DEN,DEN,13,2009091303,54471,CIN,9,REG,1:00,Sun,1,2009
20,-14,9/13/2009,2009,34,MIN,MIN,13,2009091304,54472,CLE,9,REG,1:00,Sun,1,2009
7,-17,9/13/2009,2009,24,NYJ,NYJ,13,2009091305,54473,HOU,9,REG,1:00,Sun,1,2009
14,2,9/13/2009,2009,12,IND,JAC,13,2009091306,54474,IND,9,REG,1:00,Sun,1,2009
45,18,9/13/2009,2009,27,NO,DET,13,2009091307,54475,NO,9,REG,1:00,Sun,1,2009
21,-13,9/13/2009,2009,34,DAL,DAL,13,2009091308,54476,TB,9,REG,1:00,Sun,1,2009
16,-4,9/13/2009,2009,20,SF,SF,13,2009091309,54477,ARI,9,REG,4:15,Sun,1,2009
23,6,9/13/2009,2009,17,NYG,WAS,13,2009091310,54478,NYG,9,REG,4:15,Sun,1,2009
28,28,9/13/2009,2009,0,SEA,STL,13,2009091311,54479,SEA,9,REG,4:15,Sun,1,2009
21,6,9/13/2009,2009,15,GB,CHI,13,2009091312,54480,GB,9,REG,8:20,Sun,1,2009
25,1,9/14/2009,2009,24,NE,BUF,14,2009091400,54481,NE,9,REG,7:00,Mon,1,2009
20,-4,9/14/2009,2009,24,SD,SD,14,2009091401,54482,OAK,9,REG,10:15,Mon,1,2009
28,8,9/20/2009,2009,20,ATL,CAR,20,2009092000,54483,ATL,9,REG,1:00,Sun,2,2009
13,-14,9/20/2009,2009,27,MIN,MIN,20,2009092001,54484,DET,9,REG,1:00,Sun,2,2009
24,-7,9/20/2009,2009,31,CIN,CIN,20,2009092002,54485,GB,9,REG,1:00,Sun,2,2009
17,-14,9/20/2009,2009,31,ARI,ARI,20,2009092003,54486,JAC,9,REG,1:00,Sun,2,2009
10,-3,9/20/2009,2009,13,OAK,OAK,20,2009092004,54487,KC,9,REG,1:00,Sun,2,2009
16,7,9/20/2009,2009,9,NYJ,NE,20,2009092005,54488,NYJ,9,REG,1:00,Sun,2,2009
22,-26,9/20/2009,2009,48,NO,NO,20,2009092006,54489,PHI,9,REG,1:00,Sun,2,2009
31,-3,9/20/2009,2009,34,HOU,HOU,20,2009092007,54490,TEN,9,REG,1:00,Sun,2,2009
9,2,9/20/2009,2009,7,WAS,STL,20,2009092008,54491,WAS,9,REG,1:00,Sun,2,2009
33,13,9/20/2009,2009,20,BUF,TB,20,2009092009,54492,BUF,9,REG,4:05,Sun,2,2009
23,13,9/20/2009,2009,10,SF,SEA,20,2009092010,54493,SF,9,REG,4:05,Sun,2,2009
17,3,9/20/2009,2009,14,CHI,PIT,20,2009092011,54494,CHI,9,REG,4:15,Sun,2,2009
27,21,9/20/2009,2009,6,DEN,CLE,20,2009092012,54495,DEN,9,REG,4:15,Sun,2,2009
26,-5,9/20/2009,2009,31,BAL,BAL,20,2009092013,54496,SD,9,REG,4:15,Sun,2,2009
31,-2,9/20/2009,2009,33,NYG,NYG,20,2009092014,54497,DAL,9,REG,8:20,Sun,2,2009
23,-4,9/21/2009,2009,27,IND,IND,21,2009092100,54498,MIA,9,REG,8:30,Mon,2,2009
34,31,9/27/2009,2009,3,BAL,CLE,27,2009092700,54504,BAL,9,REG,1:00,Sun,3,2009
23,3,9/27/2009,2009,20,CIN,PIT,27,2009092701,54505,CIN,9,REG,4:15,Sun,3,2009
19,5,9/27/2009,2009,14,DET,WAS,27,2009092702,54506,DET,9,REG,1:00,Sun,3,2009
24,-7,9/27/2009,2009,31,JAC,JAC,27,2009092703,54507,HOU,9,REG,1:00,Sun,3,2009
27,3,9/27/2009,2009,24,MIN,SF,27,2009092704,54508,MIN,9,REG,1:00,Sun,3,2009
26,16,9/27/2009,2009,10,NE,ATL,27,2009092705,54509,NE,9,REG,1:00,Sun,3,2009
34,20,9/27/2009,2009,14,PHI,KC,27,2009092706,54510,PHI,9,REG,1:00,Sun,3,2009
17,-19,9/27/2009,2009,36,GB,GB,27,2009092707,54511,STL,9,REG,1:00,Sun,3,2009
0,-24,9/27/2009,2009,24,NYG,NYG,27,2009092708,54512,TB,9,REG,1:00,Sun,3,2009
7,-20,9/27/2009,2009,27,NO,NO,27,2009092709,54513,BUF,9,REG,4:05,Sun,3,2009
19,-6,9/27/2009,2009,25,CHI,CHI,27,2009092710,54514,SEA,9,REG,4:05,Sun,3,2009
24,7,9/27/2009,2009,17,NYJ,TEN,27,2009092711,54499,NYJ,9,REG,1:00,Sun,3,2009
3,-20,9/27/2009,2009,23,DEN,DEN,27,2009092712,54500,OAK,9,REG,4:15,Sun,3,2009
23,10,9/27/2009,2009,13,SD,MIA,27,2009092713,54501,SD,9,REG,4:15,Sun,3,2009
10,-21,9/27/2009,2009,31,IND,IND,27,2009092714,54502,ARI,9,REG,8:20,Sun,3,2009
21,14,9/28/2009,2009,7,DAL,CAR,28,2009092800,54503,DAL,9,REG,8:30,Mon,3,2009
48,24,10/4/2009,2009,24,CHI,DET,4,2009100400,54515,CHI,10,REG,1:00,Sun,4,2009
20,-3,10/4/2009,2009,23,CIN,CIN,4,2009100401,54516,CLE,10,REG,1:00,Sun,4,2009
29,23,10/4/2009,2009,6,HOU,OAK,4,2009100402,54517,HOU,10,REG,1:00,Sun,4,2009
34,17,10/4/2009,2009,17,IND,SEA,4,2009100403,54518,IND,10,REG,1:00,Sun,4,2009
37,20,10/4/2009,2009,17,JAC,TEN,4,2009100404,54519,JAC,10,REG,1:00,Sun,4,2009
16,-11,10/4/2009,2009,27,NYG,NYG,4,2009100405,54520,KC,10,REG,1:00,Sun,4,2009
27,6,10/4/2009,2009,21,NE,BAL,4,2009100406,54521,NE,10,REG,1:00,Sun,4,2009
16,3,10/4/2009,2009,13,WAS,TB,4,2009100407,54522,WAS,10,REG,1:00,Sun,4,2009
38,28,10/4/2009,2009,10,MIA,BUF,4,2009100408,54523,MIA,10,REG,4:05,Sun,4,2009
24,14,10/4/2009,2009,10,NO,NYJ,4,2009100409,54524,NO,10,REG,4:05,Sun,4,2009
17,7,10/4/2009,2009,10,DEN,DAL,4,2009100410,54525,DEN,10,REG,4:15,Sun,4,2009
35,35,10/4/2009,2009,0,SF,STL,4,2009100411,54526,SF,10,REG,4:15,Sun,4,2009
38,10,10/4/2009,2009,28,PIT,SD,4,2009100412,54527,PIT,10,REG,8:20,Sun,4,2009
30,7,10/5/2009,2009,23,MIN,GB,5,2009100500,54528,MIN,10,REG,8:30,Mon,4,2009
14,-3,10/11/2009,2009,17,CIN,CIN,11,2009101100,54529,BAL,10,REG,1:00,Sun,5,2009
3,-3,10/11/2009,2009,6,CLE,CLE,11,2009101101,54530,BUF,10,REG,1:00,Sun,5,2009
20,3,10/11/2009,2009,17,CAR,WAS,11,2009101102,54531,CAR,10,REG,1:00,Sun,5,2009
20,-8,10/11/2009,2009,28,PIT,PIT,11,2009101103,54532,DET,10,REG,1:00,Sun,5,2009
20,-6,10/11/2009,2009,26,DAL,DAL,11,2009101104,54533,KC,10,REG,1:00,Sun,5,2009
44,37,10/11/2009,2009,7,NYG,OAK,11,2009101105,54534,NYG,10,REG,1:00,Sun,5,2009
33,19,10/11/2009,2009,14,PHI,TB,11,2009101106,54535,PHI,10,REG,1:00,Sun,5,2009
10,-28,10/11/2009,2009,38,MIN,MIN,11,2009101107,54536,STL,10,REG,1:00,Sun,5,2009
10,-35,10/11/2009,2009,45,ATL,ATL,11,2009101108,54537,SF,10,REG,4:05,Sun,5,2009
28,7,10/11/2009,2009,21,ARI,HOU,11,2009101109,54538,ARI,10,REG,4:15,Sun,5,2009
20,3,10/11/2009,2009,17,DEN,NE,11,2009101110,54539,DEN,10,REG,4:15,Sun,5,2009
41,41,10/11/2009,2009,0,SEA,JAC,11,2009101111,54540,SEA,10,REG,4:15,Sun,5,2009
9,-22,10/11/2009,2009,31,IND,IND,11,2009101112,54541,TEN,10,REG,8:20,Sun,5,2009
31,4,10/12/2009,2009,27,MIA,NYJ,12,2009101200,54542,MIA,10,REG,8:30,Mon,5,2009
17,-11,10/18/2009,2009,28,HOU,HOU,18,2009101800,54543,CIN,10,REG,1:00,Sun,6,2009
26,26,10/18/2009,2009,0,GB,DET,18,2009101801,54544,GB,10,REG,1:00,Sun,6,2009
23,3,10/18/2009,2009,20,JAC,STL,18,2009101802,54545,JAC,10,REG,1:00,Sun,6,2009
33,2,10/18/2009,2009,31,MIN,BAL,18,2009101803,54546,MIN,10,REG,1:00,Sun,6,2009
48,21,10/18/2009,2009,27,NO,NYG,18,2009101804,54547,NO,10,REG,1:00,Sun,6,2009
27,13,10/18/2009,2009,14,PIT,CLE,18,2009101805,54548,PIT,10,REG,1:00,Sun,6,2009
21,-7,10/18/2009,2009,28,CAR,CAR,18,2009101806,54549,TB,10,REG,1:00,Sun,6,2009
6,-8,10/18/2009,2009,14,KC,KC,18,2009101807,54550,WAS,10,REG,1:00,Sun,6,2009
13,4,10/18/2009,2009,9,OAK,PHI,18,2009101808,54551,OAK,10,REG,4:05,Sun,6,2009
