team,penalty,game,opponent,player,position,week,year,penaltyindex
BAL,Defensive Offside,09/10/2012,Cincinnati,P.McPhee,LB,1,2012,BAL-2012-0
BAL,Illegal Block Above the Waist,09/10/2012,Cincinnati,T.Smith,WR,1,2012,BAL-2012-1
BAL,Offensive Holding,09/10/2012,Cincinnati,S.Considine,DB,1,2012,BAL-2012-2
BAL,False Start,09/10/2012,Cincinnati,T.Smith,WR,1,2012,BAL-2012-3
BAL,Personal Foul,09/10/2012,Cincinnati,L.Webb,CB,1,2012,BAL-2012-4
BAL,Roughing the Passer,09/16/2012,Philadelphia,E.Reed,FS,2,2012,BAL-2012-5
BAL,Personal Foul,09/16/2012,Philadelphia,M.Yanda,G,2,2012,BAL-2012-6
BAL,Personal Foul,09/16/2012,Philadelphia,C.Williams,DB,2,2012,BAL-2012-7
BAL,Unnecessary Roughness,09/16/2012,Philadelphia,R.Rice,RB,2,2012,BAL-2012-8
BAL,Offensive Holding,09/16/2012,Philadelphia,M.Birk,C,2,2012,BAL-2012-9
BAL,Delay of Game,09/16/2012,Philadelphia,J.Flacco,QB,2,2012,BAL-2012-10
BAL,Offensive Pass Interference,09/16/2012,Philadelphia,J.Jones,WR,2,2012,BAL-2012-11
BAL,Roughing the Passer,09/16/2012,Philadelphia,A.Jones,DE,2,2012,BAL-2012-12
BAL,Personal Foul,09/23/2012,New England,C.Upshaw,OLB,3,2012,BAL-2012-13
BAL,Offensive Holding,09/23/2012,New England,A.Boldin,WR,3,2012,BAL-2012-14
BAL,False Start,09/23/2012,New England,M.Yanda,G,3,2012,BAL-2012-15
BAL,Defensive Holding,09/23/2012,New England,D.Ellerbe,LB,3,2012,BAL-2012-16
BAL,Illegal Contact,09/23/2012,New England,C.Williams,DB,3,2012,BAL-2012-17
BAL,Personal Foul,09/23/2012,New England,C.Upshaw,OLB,3,2012,BAL-2012-18
BAL,Personal Foul,09/23/2012,New England,B.Pollard,SS,3,2012,BAL-2012-19
BAL,False Start,09/23/2012,New England,T.Smith,WR,3,2012,BAL-2012-20
BAL,Offensive Holding,09/23/2012,New England,M.Yanda,G,3,2012,BAL-2012-21
BAL,Defensive Holding,09/23/2012,New England,J.Smith,CB,3,2012,BAL-2012-22
BAL,Unnecessary Roughness,09/23/2012,New England,E.Reed,FS,3,2012,BAL-2012-23
BAL,Offensive Holding,09/23/2012,New England,M.Yanda,G,3,2012,BAL-2012-24
BAL,Illegal Contact,09/23/2012,New England,L.Webb,CB,3,2012,BAL-2012-25
BAL,Offensive Holding,09/27/2012,Cleveland,M.Oher,T,4,2012,BAL-2012-26
BAL,False Start,09/27/2012,Cleveland,K.Osemele,G,4,2012,BAL-2012-27
BAL,Personal Foul,09/27/2012,Cleveland,J.Ihedigbo,SS,4,2012,BAL-2012-28
BAL,False Start,09/27/2012,Cleveland,D.Pitta,TE,4,2012,BAL-2012-29
BAL,Illegal Use of Hands,09/27/2012,Cleveland,J.Smith,CB,4,2012,BAL-2012-30
BAL,False Start,09/27/2012,Cleveland,M.Oher,T,4,2012,BAL-2012-31
BAL,Unnecessary Roughness,09/27/2012,Cleveland,B.Pollard,SS,4,2012,BAL-2012-32
BAL,False Start,09/27/2012,Cleveland,D.Pitta,TE,4,2012,BAL-2012-33
BAL,Illegal Use of Hands,09/27/2012,Cleveland,K.Osemele,G,4,2012,BAL-2012-34
BAL,Fair Catch Interference,09/27/2012,Cleveland,A.Allen,RB,4,2012,BAL-2012-35
BAL,Offensive Holding,09/27/2012,Cleveland,M.Oher,T,4,2012,BAL-2012-36
BAL,Unnecessary Roughness,09/27/2012,Cleveland,P.Kruger,OLB,4,2012,BAL-2012-37
BAL,Illegal Block Above the Waist,10/07/2012,Kansas City,A.Boldin,WR,5,2012,BAL-2012-38
BAL,Defensive Holding,10/07/2012,Kansas City,J.Smith,CB,5,2012,BAL-2012-39
BAL,False Start,10/07/2012,Kansas City,K.Osemele,G,5,2012,BAL-2012-40
BAL,Defensive Pass Interference,10/07/2012,Kansas City,C.Williams,DB,5,2012,BAL-2012-41
BAL,False Start,10/07/2012,Kansas City,K.Osemele,G,5,2012,BAL-2012-42
BAL,Offensive Holding,10/07/2012,Kansas City,D.Thompson,WR,5,2012,BAL-2012-43
BAL,Delay of Game,10/14/2012,Dallas,J.Flacco,QB,6,2012,BAL-2012-44
BAL,Neutral Zone Infraction,10/14/2012,Dallas,J.McClain,MLB,6,2012,BAL-2012-45
BAL,False Start,10/14/2012,Dallas,A.Boldin,WR,6,2012,BAL-2012-46
BAL,False Start,10/14/2012,Dallas,M.Yanda,G,6,2012,BAL-2012-47
BAL,Encroachment,10/14/2012,Dallas,J.Smith,CB,6,2012,BAL-2012-48
BAL,Offensive Holding,10/14/2012,Dallas,S.Considine,DB,6,2012,BAL-2012-49
