team,penalty,game,opponent,player,position,week,year,penaltyindex
BUF,Neutral Zone Infraction,09/08/2013,New England,M.Dareus,DT,1,2013,BUF-2013-0
BUF,False Start,09/08/2013,New England,S.Chandler,TE,1,2013,BUF-2013-1
BUF,Face Mask (15 Yards),09/08/2013,New England,A.Moats,OLB,1,2013,BUF-2013-2
BUF,Illegal Use of Hands,09/08/2013,New England,C.Glenn,T,1,2013,BUF-2013-3
BUF,Defensive Offside,09/08/2013,New England,J.Hughes,DE,1,2013,BUF-2013-4
BUF,Neutral Zone Infraction,09/08/2013,New England,Ky.Williams,DT,1,2013,BUF-2013-5
BUF,Illegal Block Above the Waist,09/08/2013,New England,S.Chandler,TE,1,2013,BUF-2013-6
BUF,Defensive Offside,09/08/2013,New England,J.Hughes,DE,1,2013,BUF-2013-7
BUF,Illegal Use of Hands,09/08/2013,New England,K.Urbik,G,1,2013,BUF-2013-8
BUF,Offensive Holding,09/08/2013,New England,T.Graham,WR,1,2013,BUF-2013-9
BUF,False Start,09/15/2013,Carolina,C.Brown,G,2,2013,BUF-2013-10
BUF,Neutral Zone Infraction,09/15/2013,Carolina,M.Lawson,LB,2,2013,BUF-2013-11
BUF,Offensive Holding,09/15/2013,Carolina,L.Smith,TE,2,2013,BUF-2013-12
BUF,Defensive Holding,09/15/2013,Carolina,D.Searcy,DB,2,2013,BUF-2013-13
BUF,Offensive Pass Interference,09/15/2013,Carolina,R.Woods,WR,2,2013,BUF-2013-14
BUF,Defensive Pass Interference,09/15/2013,Carolina,L.McKelvin,CB,2,2013,BUF-2013-15
BUF,Defensive Holding,09/15/2013,Carolina,F.Summers,FB,2,2013,BUF-2013-16
BUF,Unnecessary Roughness,09/15/2013,Carolina,A.Williams,FS,2,2013,BUF-2013-17
BUF,Defensive Offside,09/22/2013,N.Y. Jets,J.Hughes,DE,3,2013,BUF-2013-18
BUF,Defensive Offside,09/22/2013,N.Y. Jets,M.Dareus,DT,3,2013,BUF-2013-19
BUF,Defensive Pass Interference,09/22/2013,N.Y. Jets,D.Williams,SS,3,2013,BUF-2013-20
BUF,Offensive Holding,09/22/2013,N.Y. Jets,E.Wood,C,3,2013,BUF-2013-21
BUF,Defensive Pass Interference,09/22/2013,N.Y. Jets,J.Rogers,DB,3,2013,BUF-2013-22
BUF,Offensive Holding,09/22/2013,N.Y. Jets,E.Wood,C,3,2013,BUF-2013-23
BUF,Defensive Pass Interference,09/22/2013,N.Y. Jets,N.Robey,DB,3,2013,BUF-2013-24
BUF,Offensive Holding,09/22/2013,N.Y. Jets,C.Glenn,T,3,2013,BUF-2013-25
BUF,Unnecessary Roughness,09/29/2013,Baltimore,C.Glenn,T,4,2013,BUF-2013-26
BUF,False Start,09/29/2013,Baltimore,M.Easley,WR,4,2013,BUF-2013-27
BUF,Offensive Holding,09/29/2013,Baltimore,E.Wood,C,4,2013,BUF-2013-28
BUF,False Start,09/29/2013,Baltimore,D.Williams,SS,4,2013,BUF-2013-29
BUF,Encroachment,09/29/2013,Baltimore,A.Branch,NT,4,2013,BUF-2013-30
BUF,Horse Collar Tackle,09/29/2013,Baltimore,A.Williams,FS,4,2013,BUF-2013-31
BUF,Offensive Holding,09/29/2013,Baltimore,C.Glenn,T,4,2013,BUF-2013-32
BUF,Neutral Zone Infraction,09/29/2013,Baltimore,J.Westerman,LB,4,2013,BUF-2013-33
BUF,Offensive Holding,09/29/2013,Baltimore,S.Johnson,WR,4,2013,BUF-2013-34
BUF,Offensive Holding,09/29/2013,Baltimore,E.Wood,C,4,2013,BUF-2013-35
BUF,Personal Foul,09/29/2013,Baltimore,J.Leonhard,FS,4,2013,BUF-2013-36
BUF,Unnecessary Roughness,10/03/2013,Cleveland,A.Williams,FS,5,2013,BUF-2013-37
BUF,Encroachment,10/03/2013,Cleveland,Ky.Williams,DT,5,2013,BUF-2013-38
BUF,Illegal Contact,10/03/2013,Cleveland,D.Searcy,DB,5,2013,BUF-2013-39
BUF,Unsportsmanlike Conduct,10/03/2013,Cleveland,F.Jackson,RB,5,2013,BUF-2013-40
BUF,False Start,10/03/2013,Cleveland,A.Moats,OLB,5,2013,BUF-2013-41
BUF,Taunting,10/03/2013,Cleveland,F.Summers,FB,5,2013,BUF-2013-42
BUF,Neutral Zone Infraction,10/03/2013,Cleveland,Ky.Williams,DT,5,2013,BUF-2013-43
BUF,Taunting,10/13/2013,Cincinnati,Ky.Williams,DT,6,2013,BUF-2013-44
BUF,Face Mask (15 Yards),10/13/2013,Cincinnati,Ky.Williams,DT,6,2013,BUF-2013-45
BUF,Defensive Holding,10/13/2013,Cincinnati,N.Robey,DB,6,2013,BUF-2013-46
BUF,False Start,10/13/2013,Cincinnati,C.Glenn,T,6,2013,BUF-2013-47
BUF,Offensive Holding,10/20/2013,Miami,C.Hogan,WR,7,2013,BUF-2013-48
BUF,Personal Foul,10/20/2013,Miami,K.Alonso,LB,7,2013,BUF-2013-49
BUF,Offensive Holding,10/20/2013,Miami,D.Legursky,C,7,2013,BUF-2013-50
BUF,False Start,10/20/2013,Miami,T.Graham,WR,7,2013,BUF-2013-51
BUF,Offensive Holding,10/20/2013,Miami,J.Westerman,LB,7,2013,BUF-2013-52
