team,penalty,game,opponent,player,position,week,year,penaltyindex
CHI,Ineligible Downfield Pass,09/08/2013,Cincinnati,M.Slauson,G,1,2013,CHI-2013-0
CHI,Defensive Pass Interference,09/08/2013,Cincinnati,C.Tillman,DB,1,2013,CHI-2013-1
CHI,Offensive Holding,09/08/2013,Cincinnati,M.Bennett,TE,1,2013,CHI-2013-2
CHI,Offensive Holding,09/08/2013,Cincinnati,M.Bennett,TE,1,2013,CHI-2013-3
CHI,Offensive Holding,09/15/2013,Minnesota,J.Bushrod,T,2,2013,CHI-2013-4
CHI,Illegal Touch Pass,09/15/2013,Minnesota,A.Jeffery,WR,2,2013,CHI-2013-5
CHI,Horse Collar Tackle,09/15/2013,Minnesota,C.Tillman,DB,2,2013,CHI-2013-6
CHI,Offensive Holding,09/15/2013,Minnesota,J.Bushrod,T,2,2013,CHI-2013-7
CHI,Offside on Free Kick,09/22/2013,Pittsburgh,Z.Bowman,DB,3,2013,CHI-2013-8
CHI,Roughing the Kicker,09/22/2013,Pittsburgh,A.Walters,DB,3,2013,CHI-2013-9
CHI,Delay of Game,09/22/2013,Pittsburgh,J.Cutler,QB,3,2013,CHI-2013-10
CHI,Illegal Shift,09/22/2013,Pittsburgh,A.Jeffery,WR,3,2013,CHI-2013-11
CHI,False Start,09/29/2013,Detroit,J.Mills,T,4,2013,CHI-2013-12
CHI,Illegal Use of Hands,09/29/2013,Detroit,K.Long,G,4,2013,CHI-2013-13
CHI,Neutral Zone Infraction,09/29/2013,Detroit,C.Wootton,DE,4,2013,CHI-2013-14
CHI,Offensive Holding,09/29/2013,Detroit,J.Mills,T,4,2013,CHI-2013-15
CHI,Unnecessary Roughness,10/06/2013,New Orleans,E.Weems,WR,5,2013,CHI-2013-16
CHI,Horse Collar Tackle,10/06/2013,New Orleans,D.Williams,LB,5,2013,CHI-2013-17
CHI,Ineligible Downfield Pass,10/06/2013,New Orleans,J.Bushrod,T,5,2013,CHI-2013-18
CHI,Ineligible Downfield Pass,10/06/2013,New Orleans,K.Long,G,5,2013,CHI-2013-19
CHI,Offensive Holding,10/06/2013,New Orleans,C.Tillman,DB,5,2013,CHI-2013-20
CHI,Neutral Zone Infraction,10/06/2013,New Orleans,L.Briggs,OLB,5,2013,CHI-2013-21
CHI,Neutral Zone Infraction,10/06/2013,New Orleans,C.Wootton,DE,5,2013,CHI-2013-22
CHI,Illegal Use of Hands,10/10/2013,N.Y. Giants,Z.Minter,DT,6,2013,CHI-2013-23
CHI,Defensive Offside,10/10/2013,N.Y. Giants,D.Hester,WR,6,2013,CHI-2013-24
CHI,Offensive Holding,10/10/2013,N.Y. Giants,R.Garza,C,6,2013,CHI-2013-25
CHI,Illegal Block Above the Waist,10/10/2013,N.Y. Giants,C.Wilson,CB,6,2013,CHI-2013-26
CHI,Defensive Pass Interference,10/10/2013,N.Y. Giants,T.Jennings,DB,6,2013,CHI-2013-27
CHI,Intentional Grounding,10/10/2013,N.Y. Giants,J.Cutler,QB,6,2013,CHI-2013-28
CHI,Offensive Holding,10/20/2013,Washington,Jo.Anderson,WR,7,2013,CHI-2013-29
CHI,Illegal Use of Hands,10/20/2013,Washington,L.Cohen,DE,7,2013,CHI-2013-30
CHI,Offside on Free Kick,10/20/2013,Washington,E.Weems,WR,7,2013,CHI-2013-31
CHI,Defensive Holding,10/20/2013,Washington,S.Paea,DE,7,2013,CHI-2013-32
CHI,Face Mask (15 Yards),11/04/2013,Green Bay,S.Paea,DE,9,2013,CHI-2013-33
CHI,Face Mask (15 Yards),11/04/2013,Green Bay,C.Tillman,DB,9,2013,CHI-2013-34
