team,penalty,game,opponent,player,position,week,year,penaltyindex
CLE,Illegal Shift,09/07/2014,Pittsburgh,M.Austin,WR,1,2014,CLE-2014-0
CLE,Offensive Holding,09/07/2014,Pittsburgh,C.Robertson,ILB,1,2014,CLE-2014-1
CLE,Offensive Holding,09/07/2014,Pittsburgh,T.Carder,ILB,1,2014,CLE-2014-2
CLE,Defensive Holding,09/07/2014,Pittsburgh,J.Haden,CB,1,2014,CLE-2014-3
CLE,Offensive Holding,09/07/2014,Pittsburgh,C.Robertson,ILB,1,2014,CLE-2014-4
CLE,Defensive Holding,09/07/2014,Pittsburgh,J.Haden,CB,1,2014,CLE-2014-5
CLE,Personal Foul,09/07/2014,Pittsburgh,J.Sheard,DE,1,2014,CLE-2014-6
CLE,Delay of Game,09/07/2014,Pittsburgh,S.Lanning,P,1,2014,CLE-2014-7
CLE,False Start,09/07/2014,Pittsburgh,C.Yount,LS,1,2014,CLE-2014-8
CLE,Offensive Holding,09/14/2014,New Orleans,J.Leonhard,FS,2,2014,CLE-2014-9
CLE,Offensive Holding,09/14/2014,New Orleans,J.Thomas,T,2,2014,CLE-2014-10
CLE,Illegal Use of Hands,09/14/2014,New Orleans,A.Rubin,NT,2,2014,CLE-2014-11
CLE,Illegal Use of Hands,09/21/2014,Baltimore,J.Thomas,T,3,2014,CLE-2014-12
CLE,Offensive Pass Interference,09/21/2014,Baltimore,M.Austin,WR,3,2014,CLE-2014-13
CLE,Offensive Holding,09/21/2014,Baltimore,J.Bitonio,G,3,2014,CLE-2014-14
CLE,Defensive Holding,09/21/2014,Baltimore,B.Skrine,DB,3,2014,CLE-2014-15
CLE,Illegal Shift,09/21/2014,Baltimore,T.West,RB,3,2014,CLE-2014-16
CLE,False Start,09/21/2014,Baltimore,B.Hoyer,QB,3,2014,CLE-2014-17
CLE,Illegal Forward Pass,09/21/2014,Baltimore,B.Hoyer,QB,3,2014,CLE-2014-18
CLE,Defensive Pass Interference,09/21/2014,Baltimore,J.Gilbert,DT,3,2014,CLE-2014-19
CLE,Defensive Holding,09/21/2014,Baltimore,J.Haden,CB,3,2014,CLE-2014-20
CLE,Defensive Pass Interference,10/05/2014,Tennessee,J.Haden,CB,5,2014,CLE-2014-21
CLE,Defensive Offside,10/05/2014,Tennessee,P.Kruger,OLB,5,2014,CLE-2014-22
CLE,Personal Foul,10/05/2014,Tennessee,C.Kirksey,ILB,5,2014,CLE-2014-23
