team,penalty,game,opponent,player,position,week,year,penaltyindex
DAL,False Start,09/05/2012,N.Y. Giants,T.Smith,T,1,2012,DAL-2012-0
DAL,False Start,09/05/2012,N.Y. Giants,J.Witten,TE,1,2012,DAL-2012-1
DAL,Delay of Game,09/05/2012,N.Y. Giants,T.Romo,QB,1,2012,DAL-2012-2
DAL,Horse Collar Tackle,09/05/2012,N.Y. Giants,T.Smith,T,1,2012,DAL-2012-3
DAL,False Start,09/05/2012,N.Y. Giants,D.Free,T,1,2012,DAL-2012-4
DAL,False Start,09/05/2012,N.Y. Giants,T.Smith,T,1,2012,DAL-2012-5
DAL,Roughing the Passer,09/05/2012,N.Y. Giants,J.Hatcher,DE,1,2012,DAL-2012-6
DAL,Delay of Game,09/05/2012,N.Y. Giants,T.Romo,QB,1,2012,DAL-2012-7
DAL,False Start,09/05/2012,N.Y. Giants,T.Smith,T,1,2012,DAL-2012-8
DAL,Illegal Motion,09/05/2012,N.Y. Giants,D.Bryant,WR,1,2012,DAL-2012-9
DAL,Illegal Use of Hands,09/05/2012,N.Y. Giants,M.Bernadeau,G,1,2012,DAL-2012-10
DAL,Offensive Holding,09/05/2012,N.Y. Giants,D.Free,T,1,2012,DAL-2012-11
DAL,Defensive Offside,09/05/2012,N.Y. Giants,D.Ware,LB,1,2012,DAL-2012-12
DAL,Defensive Pass Interference,09/05/2012,N.Y. Giants,B.Church,SS,1,2012,DAL-2012-13
DAL,Offensive Holding,09/05/2012,N.Y. Giants,J.Witten,TE,1,2012,DAL-2012-14
DAL,Unnecessary Roughness,09/16/2012,Seattle,J.Price,CB,2,2012,DAL-2012-15
DAL,Defensive Offside,09/16/2012,Seattle,D.Ware,LB,2,2012,DAL-2012-16
DAL,False Start,09/16/2012,Seattle,T.Smith,T,2,2012,DAL-2012-17
DAL,Unnecessary Roughness,09/16/2012,Seattle,B.Carter,LB,2,2012,DAL-2012-18
DAL,Face Mask (15 Yards),09/16/2012,Seattle,A.Spencer,LB,2,2012,DAL-2012-19
DAL,False Start,09/23/2012,Tampa Bay,D.Free,T,3,2012,DAL-2012-20
DAL,Defensive Offside,09/23/2012,Tampa Bay,D.Ware,LB,3,2012,DAL-2012-21
DAL,Defensive Pass Interference,09/23/2012,Tampa Bay,M.Claiborne,CB,3,2012,DAL-2012-22
DAL,Defensive Offside,09/23/2012,Tampa Bay,D.Ware,LB,3,2012,DAL-2012-23
DAL,False Start,09/23/2012,Tampa Bay,J.Witten,TE,3,2012,DAL-2012-24
DAL,False Start,09/23/2012,Tampa Bay,D.Free,T,3,2012,DAL-2012-25
DAL,False Start,09/23/2012,Tampa Bay,J.Witten,TE,3,2012,DAL-2012-26
DAL,Face Mask (15 Yards),09/23/2012,Tampa Bay,S.Lissemore,NT,3,2012,DAL-2012-27
DAL,Offensive Holding,09/23/2012,Tampa Bay,N.Livings,G,3,2012,DAL-2012-28
DAL,False Start,09/23/2012,Tampa Bay,D.Free,T,3,2012,DAL-2012-29
DAL,Defensive Pass Interference,09/23/2012,Tampa Bay,M.Silva,DB,3,2012,DAL-2012-30
DAL,Offensive Holding,09/23/2012,Tampa Bay,D.Free,T,3,2012,DAL-2012-31
DAL,False Start,09/23/2012,Tampa Bay,T.Smith,T,3,2012,DAL-2012-32
DAL,Illegal Block Above the Waist,09/23/2012,Tampa Bay,P.Tanner,RB,3,2012,DAL-2012-33
DAL,Offensive Holding,09/23/2012,Tampa Bay,L.Vickers,FB,3,2012,DAL-2012-34
DAL,Illegal Contact,10/01/2012,Chicago,B.Carr,CB,4,2012,DAL-2012-35
DAL,Illegal Shift,10/01/2012,Chicago,D.Bryant,WR,4,2012,DAL-2012-36
DAL,Offensive Holding,10/14/2012,Baltimore,D.Free,T,6,2012,DAL-2012-37
DAL,Neutral Zone Infraction,10/14/2012,Baltimore,J.Hatcher,DE,6,2012,DAL-2012-38
DAL,Illegal Use of Hands,10/14/2012,Baltimore,K.Coleman,DE,6,2012,DAL-2012-39
DAL,Offensive Holding,10/14/2012,Baltimore,T.Smith,T,6,2012,DAL-2012-40
DAL,Defensive Pass Interference,10/14/2012,Baltimore,M.Claiborne,CB,6,2012,DAL-2012-41
