team,penalty,game,opponent,player,position,week,year,penaltyindex
DEN,False Start,09/13/2015,Baltimore,L.Vasquez,T,1,2015,DEN-2015-0
DEN,False Start,09/13/2015,Baltimore,E.Mathis,G,1,2015,DEN-2015-1
DEN,False Start,09/13/2015,Baltimore,P.Manning,QB,1,2015,DEN-2015-2
DEN,Illegal Block Above the Waist,09/13/2015,Baltimore,S.Barrett,LB,1,2015,DEN-2015-3
DEN,False Start,09/13/2015,Baltimore,T.Sambrailo,T,1,2015,DEN-2015-4
DEN,Offensive Holding,09/13/2015,Baltimore,K.Webster,CB,1,2015,DEN-2015-5
DEN,Delay of Game,09/13/2015,Baltimore,P.Manning,QB,1,2015,DEN-2015-6
DEN,Defensive Pass Interference,09/13/2015,Baltimore,D.Bruton,SS,1,2015,DEN-2015-7
DEN,Roughing the Passer,09/17/2015,Kansas City,D.Ware,LB,2,2015,DEN-2015-8
DEN,Unnecessary Roughness,09/17/2015,Kansas City,D.Kilgo,NT,2,2015,DEN-2015-9
DEN,Defensive Offside,09/17/2015,Kansas City,V.Miller,OLB,2,2015,DEN-2015-10
DEN,Unnecessary Roughness,09/17/2015,Kansas City,V.Miller,OLB,2,2015,DEN-2015-11
DEN,Unnecessary Roughness,09/17/2015,Kansas City,M.Jackson,DT,2,2015,DEN-2015-12
DEN,Offensive Holding,09/17/2015,Kansas City,T.Davis,OLB,2,2015,DEN-2015-13
DEN,Illegal Contact,09/17/2015,Kansas City,D.Bruton,SS,2,2015,DEN-2015-14
DEN,Offensive Holding,09/17/2015,Kansas City,D.Bruton,SS,2,2015,DEN-2015-15
DEN,Unsportsmanlike Conduct,09/17/2015,Kansas City,D.Bruton,SS,2,2015,DEN-2015-16
DEN,Defensive Offside,09/27/2015,Detroit,V.Miller,OLB,3,2015,DEN-2015-17
DEN,Defensive Pass Interference,09/27/2015,Detroit,C.Harris,CB,3,2015,DEN-2015-18
DEN,Roughing the Passer,09/27/2015,Detroit,V.Miller,OLB,3,2015,DEN-2015-19
DEN,Defensive Pass Interference,09/27/2015,Detroit,A.Talib,CB,3,2015,DEN-2015-20
DEN,Unsportsmanlike Conduct,09/27/2015,Detroit,D.Thomas,WR,3,2015,DEN-2015-21
DEN,Unnecessary Roughness,09/27/2015,Detroit,S.Williams,DT,3,2015,DEN-2015-22
DEN,Offensive Holding,09/27/2015,Detroit,T.Sambrailo,T,3,2015,DEN-2015-23
DEN,False Start,09/27/2015,Detroit,M.Paradis,C,3,2015,DEN-2015-24
DEN,Illegal Contact,09/27/2015,Detroit,D.Bruton,SS,3,2015,DEN-2015-25
DEN,Offensive Holding,10/04/2015,Minnesota,C.Latimer,WR,4,2015,DEN-2015-26
DEN,False Start,10/04/2015,Minnesota,D.Thomas,WR,4,2015,DEN-2015-27
DEN,Illegal Formation,10/04/2015,Minnesota,R.Harris,T,4,2015,DEN-2015-28
DEN,Defensive Holding,10/04/2015,Minnesota,A.Talib,CB,4,2015,DEN-2015-29
DEN,Defensive Offside,10/04/2015,Minnesota,D.Ware,LB,4,2015,DEN-2015-30
DEN,Illegal Formation,10/04/2015,Minnesota,M.Schofield,T,4,2015,DEN-2015-31
DEN,Defensive Offside,10/04/2015,Minnesota,T.Ward,SS,4,2015,DEN-2015-32
DEN,Defensive Offside,10/04/2015,Minnesota,D.Ware,LB,4,2015,DEN-2015-33
DEN,Neutral Zone Infraction,10/11/2015,Oakland,T.Ward,SS,5,2015,DEN-2015-34
DEN,Unsportsmanlike Conduct,10/11/2015,Oakland,M.Jackson,DT,5,2015,DEN-2015-35
DEN,Unnecessary Roughness,10/11/2015,Oakland,T.Polumbus,T,5,2015,DEN-2015-36
DEN,Offensive Holding,10/11/2015,Oakland,M.Schofield,T,5,2015,DEN-2015-37
DEN,Roughing the Passer,10/11/2015,Oakland,V.Miller,OLB,5,2015,DEN-2015-38
DEN,Neutral Zone Infraction,10/11/2015,Oakland,O.Bolden,SS,5,2015,DEN-2015-39
DEN,Defensive Pass Interference,10/11/2015,Oakland,B.Roby,CB,5,2015,DEN-2015-40
DEN,Defensive Offside,10/18/2015,Cleveland,A.Talib,CB,6,2015,DEN-2015-41
DEN,Face Mask (15 Yards),10/18/2015,Cleveland,M.Jackson,DT,6,2015,DEN-2015-42
DEN,Defensive Offside,10/18/2015,Cleveland,A.Smith,DE,6,2015,DEN-2015-43
DEN,Offensive Holding,10/18/2015,Cleveland,T.Davis,OLB,6,2015,DEN-2015-44
DEN,Fair Catch Interference,10/18/2015,Cleveland,B.Fowler,WR,6,2015,DEN-2015-45
DEN,Offensive Holding,10/18/2015,Cleveland,M.Garcia,C,6,2015,DEN-2015-46
DEN,Neutral Zone Infraction,10/18/2015,Cleveland,L.McCray,OLB,6,2015,DEN-2015-47
DEN,Defensive Offside,10/18/2015,Cleveland,M.Jackson,DT,6,2015,DEN-2015-48
DEN,Offensive Holding,10/18/2015,Cleveland,L.Vasquez,T,6,2015,DEN-2015-49
DEN,Roughing the Passer,10/18/2015,Cleveland,D.Wolfe,DE,6,2015,DEN-2015-50
DEN,Illegal Use of Hands,11/01/2015,Green Bay,R.Harris,T,8,2015,DEN-2015-51
DEN,Defensive Holding,11/01/2015,Green Bay,C.Harris,CB,8,2015,DEN-2015-52
DEN,Offensive Holding,11/01/2015,Green Bay,K.Webster,CB,8,2015,DEN-2015-53
DEN,Offensive Pass Interference,11/01/2015,Green Bay,A.Caldwell,WR,8,2015,DEN-2015-54
DEN,False Start,11/01/2015,Green Bay,E.Sanders,WR,8,2015,DEN-2015-55
DEN,Roughing the Passer,11/01/2015,Green Bay,D.Bruton,SS,8,2015,DEN-2015-56
DEN,Offensive Holding,11/01/2015,Green Bay,M.Garcia,C,8,2015,DEN-2015-57
DEN,Illegal Use of Hands,11/01/2015,Green Bay,M.Garcia,C,8,2015,DEN-2015-58
DEN,Defensive Pass Interference,11/01/2015,Green Bay,T.Ward,SS,8,2015,DEN-2015-59
DEN,Defensive Holding,11/01/2015,Green Bay,A.Talib,CB,8,2015,DEN-2015-60
DEN,Defensive Offside,11/01/2015,Green Bay,D.Ware,LB,8,2015,DEN-2015-61
DEN,Unnecessary Roughness,11/08/2015,Indianapolis,T.Ward,SS,9,2015,DEN-2015-62
DEN,Illegal Use of Hands,11/08/2015,Indianapolis,K.Webster,CB,9,2015,DEN-2015-63
DEN,Defensive Offside,11/08/2015,Indianapolis,V.Miller,OLB,9,2015,DEN-2015-64
DEN,Face Mask (15 Yards),11/08/2015,Indianapolis,D.Trevathan,OLB,9,2015,DEN-2015-65
DEN,Offensive Holding,11/08/2015,Indianapolis,T.Polumbus,T,9,2015,DEN-2015-66
DEN,Defensive Holding,11/08/2015,Indianapolis,T.Ward,SS,9,2015,DEN-2015-67
DEN,Unnecessary Roughness,11/08/2015,Indianapolis,A.Talib,CB,9,2015,DEN-2015-68
DEN,Defensive Holding,11/08/2015,Indianapolis,D.Trevathan,OLB,9,2015,DEN-2015-69
DEN,Unsportsmanlike Conduct,11/08/2015,Indianapolis,A.Talib,CB,9,2015,DEN-2015-70
DEN,Intentional Grounding,11/15/2015,Kansas City,P.Manning,QB,10,2015,DEN-2015-71
DEN,Illegal Use of Hands,11/15/2015,Kansas City,K.Webster,CB,10,2015,DEN-2015-72
DEN,Fair Catch Interference,11/15/2015,Kansas City,O.Bolden,SS,10,2015,DEN-2015-73
DEN,Defensive Holding,11/15/2015,Kansas City,K.Webster,CB,10,2015,DEN-2015-74
DEN,Offensive Holding,11/15/2015,Kansas City,M.Garcia,C,10,2015,DEN-2015-75
DEN,Disqualification,11/15/2015,Kansas City,T.Ward,SS,10,2015,DEN-2015-76
DEN,Face Mask (15 Yards),11/22/2015,Chicago,M.Schofield,T,11,2015,DEN-2015-77
DEN,False Start,11/22/2015,Chicago,R.Harris,T,11,2015,DEN-2015-78
DEN,Defensive Offside,11/22/2015,Chicago,S.Ray,LB,11,2015,DEN-2015-79
DEN,Defensive Pass Interference,11/22/2015,Chicago,B.Marshall,OLB,11,2015,DEN-2015-80
DEN,Unnecessary Roughness,11/22/2015,Chicago,T.Ward,SS,11,2015,DEN-2015-81
DEN,Delay of Game,11/22/2015,Chicago,B.Osweiler,QB,11,2015,DEN-2015-82
DEN,Defensive Pass Interference,11/22/2015,Chicago,A.Talib,CB,11,2015,DEN-2015-83
DEN,Defensive Pass Interference,11/22/2015,Chicago,B.Roby,CB,11,2015,DEN-2015-84
DEN,Unnecessary Roughness,11/29/2015,New England,A.Talib,CB,12,2015,DEN-2015-85
DEN,Neutral Zone Infraction,11/29/2015,New England,V.Miller,OLB,12,2015,DEN-2015-86
DEN,Roughing the Passer,11/29/2015,New England,V.Miller,OLB,12,2015,DEN-2015-87
DEN,Offensive Holding,11/29/2015,New England,E.Mathis,G,12,2015,DEN-2015-88
DEN,False Start,11/29/2015,New England,B.Osweiler,QB,12,2015,DEN-2015-89
DEN,Defensive Holding,11/29/2015,New England,C.Harris,CB,12,2015,DEN-2015-90
DEN,Offensive Pass Interference,12/06/2015,San Diego,D.Thomas,WR,13,2015,DEN-2015-91
DEN,Defensive Holding,12/06/2015,San Diego,C.Harris,CB,13,2015,DEN-2015-92
DEN,Defensive Offside,12/06/2015,San Diego,M.Jackson,DT,13,2015,DEN-2015-93
DEN,Illegal Contact,12/13/2015,Oakland,C.Harris,CB,14,2015,DEN-2015-94
