team,penalty,game,opponent,player,position,week,year,penaltyindex
DET,Illegal Touch Pass,09/08/2014,N.Y. Giants,C.Johnson,WR,1,2014,DET-2014-0
DET,False Start,09/08/2014,N.Y. Giants,C.Hilliard,T,1,2014,DET-2014-1
DET,Defensive Pass Interference,09/08/2014,N.Y. Giants,D.Bentley,CB,1,2014,DET-2014-2
DET,Ineligible Downfield Kick,09/08/2014,N.Y. Giants,T.Lewis,LB,1,2014,DET-2014-3
DET,Illegal Use of Hands,09/08/2014,N.Y. Giants,N.Fairley,DT,1,2014,DET-2014-4
DET,Roughing the Kicker,09/08/2014,N.Y. Giants,J.Couplin,DB,1,2014,DET-2014-5
DET,Defensive Pass Interference,09/08/2014,N.Y. Giants,D.Slay,CB,1,2014,DET-2014-6
DET,Face Mask (15 Yards),09/08/2014,N.Y. Giants,D.Raiola,C,1,2014,DET-2014-7
DET,Offensive Holding,09/14/2014,Carolina,R.Sims,G,2,2014,DET-2014-8
DET,Delay of Game,09/14/2014,Carolina,M.Stafford,QB,2,2014,DET-2014-9
DET,Offensive Holding,09/14/2014,Carolina,J.Collins,FB,2,2014,DET-2014-10
DET,Illegal Use of Hands,09/14/2014,Carolina,N.Fairley,DT,2,2014,DET-2014-11
DET,Defensive Holding,09/14/2014,Carolina,R.Mathis,CB,2,2014,DET-2014-12
DET,Tripping,09/14/2014,Carolina,D.Taylor,DE,2,2014,DET-2014-13
DET,Offensive Holding,09/14/2014,Carolina,G.Reynolds,T,2,2014,DET-2014-14
DET,Low Block,09/21/2014,Green Bay,J.Bell,RB,3,2014,DET-2014-15
DET,Illegal Use of Hands,09/21/2014,Green Bay,D.Gorrer,DB,3,2014,DET-2014-16
DET,Defensive Holding,09/21/2014,Green Bay,M.Seisay,DB,3,2014,DET-2014-17
DET,Offside on Free Kick,09/21/2014,Green Bay,A.Palmer,LB,3,2014,DET-2014-18
DET,False Start,09/28/2014,N.Y. Jets,G.Reynolds,T,4,2014,DET-2014-19
DET,Intentional Grounding,09/28/2014,N.Y. Jets,M.Stafford,QB,4,2014,DET-2014-20
DET,Defensive Offside,09/28/2014,N.Y. Jets,N.Suh,DT,4,2014,DET-2014-21
DET,Illegal Contact,09/28/2014,N.Y. Jets,R.Mathis,CB,4,2014,DET-2014-22
DET,Offensive Holding,10/05/2014,Buffalo,L.Waddle,T,5,2014,DET-2014-23
DET,Offensive Holding,10/05/2014,Buffalo,D.Raiola,C,5,2014,DET-2014-24
