team,penalty,game,opponent,player,position,week,year,penaltyindex
ARI,Delay of Game,09/08/2014,San Diego,C.Palmer,QB,1,2014,ARI-2014-0
ARI,False Start,09/08/2014,San Diego,J.Veldheer,T,1,2014,ARI-2014-1
ARI,Illegal Use of Hands,09/08/2014,San Diego,A.Cromartie,DB,1,2014,ARI-2014-2
ARI,False Start,09/08/2014,San Diego,B.Massie,T,1,2014,ARI-2014-3
ARI,Defensive Holding,09/08/2014,San Diego,T.Jefferson,SS,1,2014,ARI-2014-4
ARI,False Start,09/08/2014,San Diego,T.Larsen,G,1,2014,ARI-2014-5
ARI,Delay of Game,09/14/2014,N.Y. Giants,D.Stanton,QB,2,2014,ARI-2014-6
ARI,Defensive Pass Interference,09/14/2014,N.Y. Giants,P.Peterson,CB,2,2014,ARI-2014-7
ARI,Illegal Contact,09/14/2014,N.Y. Giants,J.Powers,CB,2,2014,ARI-2014-8
ARI,Offensive Holding,09/14/2014,N.Y. Giants,R.Hughes,RB,2,2014,ARI-2014-9
ARI,Face Mask (15 Yards),09/14/2014,N.Y. Giants,J.Veldheer,T,2,2014,ARI-2014-10
ARI,Defensive Holding,09/14/2014,N.Y. Giants,J.Powers,CB,2,2014,ARI-2014-11
ARI,Defensive Holding,09/14/2014,N.Y. Giants,P.Peterson,CB,2,2014,ARI-2014-12
ARI,Defensive Pass Interference,09/14/2014,N.Y. Giants,P.Peterson,CB,2,2014,ARI-2014-13
ARI,Neutral Zone Infraction,09/14/2014,N.Y. Giants,T.Kelly,DE,2,2014,ARI-2014-14
ARI,Offensive Holding,09/14/2014,N.Y. Giants,T.Larsen,G,2,2014,ARI-2014-15
ARI,False Start,09/21/2014,San Francisco,B.Massie,T,3,2014,ARI-2014-16
ARI,Defensive Holding,09/21/2014,San Francisco,A.Cromartie,DB,3,2014,ARI-2014-17
ARI,Illegal Use of Hands,09/21/2014,San Francisco,T.Larsen,G,3,2014,ARI-2014-18
ARI,Face Mask (15 Yards),09/21/2014,San Francisco,A.Cromartie,DB,3,2014,ARI-2014-19
ARI,False Start,09/21/2014,San Francisco,T.Larsen,G,3,2014,ARI-2014-20
ARI,Offensive Holding,09/21/2014,San Francisco,J.Carlson,TE,3,2014,ARI-2014-21
ARI,Offensive Pass Interference,09/21/2014,San Francisco,M.Floyd,WR,3,2014,ARI-2014-22
ARI,Offensive Holding,09/21/2014,San Francisco,L.Sendlein,C,3,2014,ARI-2014-23
ARI,False Start,10/05/2014,Denver,J.Carlson,TE,5,2014,ARI-2014-24
ARI,Defensive Holding,10/05/2014,Denver,P.Peterson,CB,5,2014,ARI-2014-25
ARI,Offensive Holding,10/05/2014,Denver,J.Veldheer,T,5,2014,ARI-2014-26
ARI,False Start,10/12/2014,Washington,JO.Brown,WR,6,2014,ARI-2014-27
ARI,Defensive Holding,10/12/2014,Washington,L.Foote,MLB,6,2014,ARI-2014-28
ARI,Neutral Zone Infraction,10/12/2014,Washington,D.Williams,DT,6,2014,ARI-2014-29
ARI,Offensive Holding,10/12/2014,Washington,T.Larsen,G,6,2014,ARI-2014-30
ARI,Delay of Game,10/12/2014,Washington,C.Palmer,QB,6,2014,ARI-2014-31
