Team,Penalty,NDate,Opponent,Player,Position,Week,Year,PenaltyIndex
BUF,Face Mask (15 Yards),09/11/2011,KC,J.White,RB,1,2011,BUF-2011-0
BUF,False Start,09/11/2011,KC,E.Pears,T,1,2011,BUF-2011-1
BUF,False Start,09/11/2011,KC,C.Rinehart,G,1,2011,BUF-2011-2
BUF,Delay of Game,09/11/2011,KC,R.Fitzpatrick,QB,1,2011,BUF-2011-3
BUF,Defensive Offside,09/11/2011,KC,M.Dareus,DT,1,2011,BUF-2011-4
BUF,Offensive Holding,09/11/2011,KC,C.Hairston,T,1,2011,BUF-2011-5
BUF,Illegal Block Above the Waist,09/18/2011,OAK,C.McIntyre,FB,2,2011,BUF-2011-6
BUF,Illegal Crackback,09/18/2011,OAK,D.Jones,WR,2,2011,BUF-2011-7
BUF,Neutral Zone Infraction,09/18/2011,OAK,K.Heard,DT,2,2011,BUF-2011-8
BUF,Illegal Contact,09/18/2011,OAK,G.Wilson,SS,2,2011,BUF-2011-9
BUF,Defensive Holding,09/25/2011,NE,N.Barnett,LB,3,2011,BUF-2011-10
BUF,Chop Block,09/25/2011,NE,E.Wood,C,3,2011,BUF-2011-11
BUF,Offensive Holding,09/25/2011,NE,E.Wood,C,3,2011,BUF-2011-12
BUF,Illegal Block Above the Waist,09/25/2011,NE,C.White,LB,3,2011,BUF-2011-13
BUF,Offensive Holding,09/25/2011,NE,S.Chandler,TE,3,2011,BUF-2011-14
BUF,Unnecessary Roughness,09/25/2011,NE,N.Barnett,LB,3,2011,BUF-2011-15
BUF,Unnecessary Roughness,09/25/2011,NE,J.Byrd,FS,3,2011,BUF-2011-16
BUF,Illegal Block Above the Waist,09/25/2011,NE,R.Corner,DB,3,2011,BUF-2011-17
BUF,False Start,09/25/2011,NE,C.Rinehart,G,3,2011,BUF-2011-18
BUF,Encroachment,10/02/2011,CIN,Ky.Williams,DT,4,2011,BUF-2011-19
BUF,Offensive Holding,10/02/2011,CIN,D.Florence,DB,4,2011,BUF-2011-20
BUF,Offensive Pass Interference,10/02/2011,CIN,D.Nelson,WR,4,2011,BUF-2011-21
BUF,Illegal Use of Hands,10/02/2011,CIN,D.Florence,DB,4,2011,BUF-2011-22
BUF,Neutral Zone Infraction,10/02/2011,CIN,Ky.Williams,DT,4,2011,BUF-2011-23
BUF,Defensive Offside,10/09/2011,PHI,Ky.Williams,DT,5,2011,BUF-2011-24
BUF,Face Mask (15 Yards),10/09/2011,PHI,C.McIntyre,FB,5,2011,BUF-2011-25
BUF,Roughing the Passer,10/09/2011,PHI,D.Batten,LB,5,2011,BUF-2011-26
BUF,False Start,10/09/2011,PHI,R.Martin,WR,5,2011,BUF-2011-27
BUF,Offensive Holding,10/09/2011,PHI,K.Urbik,G,5,2011,BUF-2011-28
BUF,Offensive Holding,10/30/2011,WAS,K.Urbik,G,8,2011,BUF-2011-37
BUF,Defensive Offside,10/30/2011,WAS,Sp.Johnson,DT,8,2011,BUF-2011-38
BUF,False Start,10/30/2011,WAS,F.Jackson,RB,8,2011,BUF-2011-39
BUF,Illegal Shift,10/30/2011,WAS,F.Jackson,RB,8,2011,BUF-2011-40
BUF,Encroachment,10/30/2011,WAS,K.Heard,DT,8,2011,BUF-2011-41
BUF,Encroachment,11/13/2011,DAL,K.Heard,DT,10,2011,BUF-2011-48
BUF,Illegal Motion,11/13/2011,DAL,C.Spiller,RB,10,2011,BUF-2011-49
BUF,Defensive Holding,11/13/2011,DAL,T.Troup,DT,10,2011,BUF-2011-50
BUF,Illegal Contact,11/20/2011,MIA,K.Sheppard,MLB,11,2011,BUF-2011-51
BUF,Illegal Block Above the Waist,11/20/2011,MIA,R.Martin,WR,11,2011,BUF-2011-52
BUF,Unnecessary Roughness,11/20/2011,MIA,C.McIntyre,FB,11,2011,BUF-2011-53
BUF,Defensive Holding,11/20/2011,MIA,D.Florence,DB,11,2011,BUF-2011-54
BUF,Offensive Pass Interference,11/20/2011,MIA,M.Caussin,TE,11,2011,BUF-2011-55
BUF,Offensive Holding,12/04/2011,TEN,C.McIntyre,FB,13,2011,BUF-2011-65
BUF,Illegal Use of Hands,12/04/2011,TEN,C.Hairston,T,13,2011,BUF-2011-66
BUF,Neutral Zone Infraction,12/04/2011,TEN,A.Moats,OLB,13,2011,BUF-2011-67
BUF,Unnecessary Roughness,12/04/2011,TEN,D.Florence,DB,13,2011,BUF-2011-68
BUF,Offensive Holding,12/04/2011,TEN,A.Levitre,G,13,2011,BUF-2011-69
BUF,Defensive Holding,12/11/2011,SD,B.Scott,DB,14,2011,BUF-2011-70
BUF,Offensive Holding,12/11/2011,SD,L.Smith,TE,14,2011,BUF-2011-71
BUF,Offensive Holding,12/18/2011,MIA,E.Pears,T,15,2011,BUF-2011-72
BUF,Illegal Block Above the Waist,12/18/2011,MIA,D.Batten,LB,15,2011,BUF-2011-73
BUF,Face Mask (15 Yards),12/18/2011,MIA,E.Pears,T,15,2011,BUF-2011-74
BUF,False Start,12/18/2011,MIA,C.Hairston,T,15,2011,BUF-2011-75
BUF,Offensive Holding,12/18/2011,MIA,D.Hagan,WR,15,2011,BUF-2011-76
BUF,Personal Foul,12/18/2011,MIA,D.Florence,DB,15,2011,BUF-2011-77
BUF,Defensive Holding,12/18/2011,MIA,K.Sheppard,MLB,15,2011,BUF-2011-78
BUF,Defensive Pass Interference,12/18/2011,MIA,D.Florence,DB,15,2011,BUF-2011-79
BUF,Offensive Holding,12/18/2011,MIA,B.Smith,WR,15,2011,BUF-2011-80
BUF,Offensive Holding,12/18/2011,MIA,M.Caussin,TE,15,2011,BUF-2011-81
BUF,False Start,12/18/2011,MIA,K.Urbik,G,15,2011,BUF-2011-82
BUF,False Start,12/18/2011,MIA,A.Carrington,DE,15,2011,BUF-2011-83
BUF,Defensive Offside,12/24/2011,DEN,L.McKelvin,CB,16,2011,BUF-2011-84
BUF,Offensive Holding,12/24/2011,DEN,A.Levitre,G,16,2011,BUF-2011-85
BUF,False Start,12/24/2011,DEN,Sp.Johnson,DT,16,2011,BUF-2011-86
BUF,Defensive Offside,12/24/2011,DEN,K.Heard,DT,16,2011,BUF-2011-87
BUF,Defensive Holding,12/24/2011,DEN,A.Williams,FS,16,2011,BUF-2011-88
BUF,Defensive Pass Interference,12/24/2011,DEN,A.Williams,FS,16,2011,BUF-2011-89
BUF,Defensive Offside,12/24/2011,DEN,A.Moats,OLB,16,2011,BUF-2011-90
BUF,Offensive Holding,01/01/2012,NE,A.Levitre,G,17,2011,BUF-2011-91
BUF,Unsportsmanlike Conduct,01/01/2012,NE,S.Johnson,WR,17,2011,BUF-2011-92
BUF,Illegal Contact,01/01/2012,NE,D.Searcy,DB,17,2011,BUF-2011-93
BUF,Offensive Holding,01/01/2012,NE,A.Levitre,G,17,2011,BUF-2011-94
BUF,Defensive Holding,01/01/2012,NE,A.Williams,FS,17,2011,BUF-2011-95
BUF,Personal Foul,01/01/2012,NE,D.Florence,DB,17,2011,BUF-2011-96
BUF,Delay of Game,01/01/2012,NE,R.Fitzpatrick,QB,17,2011,BUF-2011-97
BUF,Illegal Contact,01/01/2012,NE,K.Morrison,LB,17,2011,BUF-2011-98
MIA,Offensive Holding,09/12/2011,NE,A.Fasano,TE,1,2011,MIA-2011-0
MIA,Offensive Holding,09/12/2011,NE,R.Incognito,C,1,2011,MIA-2011-1
MIA,Defensive Offside,09/12/2011,NE,P.Merling,DE,1,2011,MIA-2011-2
MIA,Offensive Holding,09/12/2011,NE,R.Wallace,WR,1,2011,MIA-2011-3
MIA,Offensive Holding,09/12/2011,NE,R.Incognito,C,1,2011,MIA-2011-4
MIA,Encroachment,09/12/2011,NE,R.Starks,DT,1,2011,MIA-2011-5
MIA,Offensive Holding,09/12/2011,NE,J.Trusnik,LB,1,2011,MIA-2011-6
MIA,False Start,09/12/2011,NE,L.Hilliard,FB,1,2011,MIA-2011-7
MIA,Offensive Holding,09/18/2011,HOU,J.Trusnik,LB,2,2011,MIA-2011-8
MIA,False Start,09/18/2011,HOU,J.Long,T,2,2011,MIA-2011-9
MIA,Offensive Holding,09/18/2011,HOU,M.Colombo,T,2,2011,MIA-2011-10
MIA,Offensive Holding,09/25/2011,CLE,A.Fasano,TE,3,2011,MIA-2011-11
MIA,Illegal Formation,09/25/2011,CLE,J.Mastrud,TE,3,2011,MIA-2011-12
MIA,Offensive Holding,09/25/2011,CLE,N.Garner,G,3,2011,MIA-2011-13
MIA,False Start,09/25/2011,CLE,A.Fasano,TE,3,2011,MIA-2011-14
MIA,Unnecessary Roughness,09/25/2011,CLE,B.Marshall,WR,3,2011,MIA-2011-15
MIA,Roughing the Passer,09/25/2011,CLE,Y.Bell,SS,3,2011,MIA-2011-16
MIA,Offensive Holding,09/25/2011,CLE,J.Jerry,G,3,2011,MIA-2011-17
MIA,Defensive Pass Interference,09/25/2011,CLE,N.Carroll,CB,3,2011,MIA-2011-18
MIA,Roughing the Passer,09/25/2011,CLE,I.Olshansky,DT,3,2011,MIA-2011-19
MIA,Defensive Offside,09/25/2011,CLE,J.Taylor,CB,3,2011,MIA-2011-20
MIA,Horse Collar Tackle,10/02/2011,SD,A.Fasano,TE,4,2011,MIA-2011-21
MIA,Defensive Pass Interference,10/02/2011,SD,Y.Bell,SS,4,2011,MIA-2011-22
MIA,Roughing the Passer,10/23/2011,DEN,Y.Bell,SS,7,2011,MIA-2011-26
MIA,Offside on Free Kick,10/23/2011,DEN,M.Mitchell,OLB,7,2011,MIA-2011-27
MIA,Defensive Pass Interference,11/06/2011,KC,J.Wilson,DB,9,2011,MIA-2011-33
MIA,Defensive Pass Interference,11/06/2011,KC,J.Wilson,DB,9,2011,MIA-2011-34
MIA,Personal Foul,11/06/2011,KC,Y.Bell,SS,9,2011,MIA-2011-35
MIA,Unnecessary Roughness,11/06/2011,KC,Y.Bell,SS,9,2011,MIA-2011-36
MIA,Unsportsmanlike Conduct,11/06/2011,KC,Y.Bell,SS,9,2011,MIA-2011-37
MIA,Unnecessary Roughness,11/06/2011,KC,M.Colombo,T,9,2011,MIA-2011-38
MIA,False Start,11/06/2011,KC,M.Mitchell,OLB,9,2011,MIA-2011-39
MIA,Roughing the Passer,11/13/2011,WAS,P.Soliai,DT,10,2011,MIA-2011-40
MIA,Offensive Holding,11/13/2011,WAS,R.Incognito,C,10,2011,MIA-2011-41
MIA,Encroachment,11/13/2011,WAS,R.Starks,DT,10,2011,MIA-2011-42
MIA,False Start,11/13/2011,WAS,B.Hartline,WR,10,2011,MIA-2011-43
MIA,Roughing the Passer,11/13/2011,WAS,I.Olshansky,DT,10,2011,MIA-2011-44
MIA,Roughing the Passer,11/13/2011,WAS,J.Odrick,DT,10,2011,MIA-2011-45
MIA,Defensive Offside,11/13/2011,WAS,J.Odrick,DT,10,2011,MIA-2011-46
