team,penalty,game,opponent,player,position,week,year,penaltyindex
BAL,Personal Foul,09/07/2014,Cincinnati,K.Aiken,WR,1,2014,BAL-2014-0
BAL,Personal Foul,09/07/2014,Cincinnati,C.Mosley,ILB,1,2014,BAL-2014-1
BAL,Illegal Formation,09/07/2014,Cincinnati,E.Monroe,T,1,2014,BAL-2014-2
BAL,Offensive Holding,09/07/2014,Cincinnati,E.Monroe,T,1,2014,BAL-2014-3
BAL,Roughing the Passer,09/11/2014,Pittsburgh,C.Upshaw,OLB,2,2014,BAL-2014-4
BAL,Offensive Holding,09/11/2014,Pittsburgh,J.Zuttah,C,2,2014,BAL-2014-5
BAL,False Start,09/11/2014,Pittsburgh,D.Pitta,TE,2,2014,BAL-2014-6
BAL,False Start,09/11/2014,Pittsburgh,O.Daniels,TE,2,2014,BAL-2014-7
BAL,False Start,09/21/2014,Cleveland,E.Monroe,T,3,2014,BAL-2014-8
BAL,Defensive Pass Interference,09/21/2014,Cleveland,M.Elam,SS,3,2014,BAL-2014-9
BAL,Unnecessary Roughness,09/21/2014,Cleveland,C.Mosley,ILB,3,2014,BAL-2014-10
BAL,False Start,09/21/2014,Cleveland,O.Daniels,TE,3,2014,BAL-2014-11
BAL,Offensive Pass Interference,09/21/2014,Cleveland,S.Smith,WR,3,2014,BAL-2014-12
BAL,Defensive Holding,09/28/2014,Carolina,C.Upshaw,OLB,4,2014,BAL-2014-13
BAL,Neutral Zone Infraction,09/28/2014,Carolina,H.Ngata,DT,4,2014,BAL-2014-14
BAL,Personal Foul,09/28/2014,Carolina,A.McClellan,OLB,4,2014,BAL-2014-15
BAL,Roughing the Passer,09/28/2014,Carolina,C.Canty,DE,4,2014,BAL-2014-16
BAL,Defensive Holding,10/05/2014,Indianapolis,J.Smith,CB,5,2014,BAL-2014-17
BAL,Defensive Holding,10/05/2014,Indianapolis,P.McPhee,LB,5,2014,BAL-2014-18
BAL,Neutral Zone Infraction,10/05/2014,Indianapolis,T.Suggs,OLB,5,2014,BAL-2014-19
BAL,Illegal Use of Hands,10/05/2014,Indianapolis,K.Osemele,G,5,2014,BAL-2014-20
BAL,Offensive Holding,10/05/2014,Indianapolis,M.Yanda,G,5,2014,BAL-2014-21
BAL,Illegal Use of Hands,10/05/2014,Indianapolis,Z.Orr,LB,5,2014,BAL-2014-22
BAL,Defensive Holding,10/05/2014,Indianapolis,M.Elam,SS,5,2014,BAL-2014-23
BAL,Defensive Offside,10/05/2014,Indianapolis,T.Suggs,OLB,5,2014,BAL-2014-24
