team,penalty,game,opponent,player,position,week,year,penaltyindex
BUF,False Start,09/09/2012,N.Y. Jets,S.Chandler,TE,1,2012,BUF-2012-0
BUF,Defensive Pass Interference,09/09/2012,N.Y. Jets,A.Williams,FS,1,2012,BUF-2012-1
BUF,False Start,09/09/2012,N.Y. Jets,A.Levitre,G,1,2012,BUF-2012-2
BUF,Delay of Game,09/09/2012,N.Y. Jets,B.Moorman,P,1,2012,BUF-2012-3
BUF,Offensive Holding,09/09/2012,N.Y. Jets,C.Glenn,T,1,2012,BUF-2012-4
BUF,Offensive Holding,09/09/2012,N.Y. Jets,A.Levitre,G,1,2012,BUF-2012-5
BUF,Offensive Holding,09/16/2012,Kansas City,D.Searcy,DB,2,2012,BUF-2012-6
BUF,Offensive Holding,09/16/2012,Kansas City,A.Levitre,G,2,2012,BUF-2012-7
BUF,Illegal Block Above the Waist,09/16/2012,Kansas City,C.McIntyre,FB,2,2012,BUF-2012-8
BUF,Unnecessary Roughness,09/16/2012,Kansas City,D.Searcy,DB,2,2012,BUF-2012-9
BUF,Defensive Holding,09/16/2012,Kansas City,S.Gilmore,CB,2,2012,BUF-2012-10
BUF,Offensive Holding,09/16/2012,Kansas City,L.Smith,TE,2,2012,BUF-2012-11
BUF,False Start,09/23/2012,Cleveland,C.Glenn,T,3,2012,BUF-2012-12
BUF,Offensive Holding,09/23/2012,Cleveland,S.Johnson,WR,3,2012,BUF-2012-13
BUF,Illegal Contact,09/23/2012,Cleveland,A.Williams,FS,3,2012,BUF-2012-14
BUF,Encroachment,09/23/2012,Cleveland,M.Anderson,DE,3,2012,BUF-2012-15
BUF,Offensive Pass Interference,09/23/2012,Cleveland,D.Jones,WR,3,2012,BUF-2012-16
BUF,Offensive Holding,09/23/2012,Cleveland,S.Johnson,WR,3,2012,BUF-2012-17
BUF,False Start,09/23/2012,Cleveland,K.Sheppard,MLB,3,2012,BUF-2012-18
BUF,Neutral Zone Infraction,09/23/2012,Cleveland,Ky.Williams,DT,3,2012,BUF-2012-19
BUF,Illegal Use of Hands,09/23/2012,Cleveland,Ma.Williams,DE,3,2012,BUF-2012-20
BUF,Unnecessary Roughness,09/23/2012,Cleveland,N.Bradham,OLB,3,2012,BUF-2012-21
BUF,Offensive Holding,09/30/2012,New England,E.Pears,T,4,2012,BUF-2012-22
BUF,False Start,09/30/2012,New England,E.Pears,T,4,2012,BUF-2012-23
BUF,Roughing the Passer,09/30/2012,New England,Ky.Williams,DT,4,2012,BUF-2012-24
BUF,False Start,09/30/2012,New England,E.Pears,T,4,2012,BUF-2012-25
BUF,Defensive Holding,09/30/2012,New England,J.Rogers,DB,4,2012,BUF-2012-26
BUF,Offensive Holding,10/07/2012,San Francisco,J.Byrd,FS,5,2012,BUF-2012-27
BUF,False Start,10/07/2012,San Francisco,A.Carrington,DE,5,2012,BUF-2012-28
BUF,Neutral Zone Infraction,10/07/2012,San Francisco,Ky.Williams,DT,5,2012,BUF-2012-29
BUF,Encroachment,10/07/2012,San Francisco,C.Kelsay,DE,5,2012,BUF-2012-30
BUF,Illegal Motion,10/07/2012,San Francisco,C.McIntyre,FB,5,2012,BUF-2012-31
BUF,Neutral Zone Infraction,10/07/2012,San Francisco,M.Anderson,DE,5,2012,BUF-2012-32
BUF,Illegal Block Above the Waist,10/14/2012,Arizona,S.Gilmore,CB,6,2012,BUF-2012-33
BUF,False Start,10/14/2012,Arizona,K.Sheppard,MLB,6,2012,BUF-2012-34
BUF,Unnecessary Roughness,10/14/2012,Arizona,L.Smith,TE,6,2012,BUF-2012-35
BUF,Defensive Holding,10/14/2012,Arizona,S.Gilmore,CB,6,2012,BUF-2012-36
BUF,False Start,10/14/2012,Arizona,A.Moats,OLB,6,2012,BUF-2012-37
BUF,Illegal Contact,10/21/2012,Tennessee,K.Sheppard,MLB,7,2012,BUF-2012-38
BUF,Unnecessary Roughness,10/21/2012,Tennessee,A.Carrington,DE,7,2012,BUF-2012-39
BUF,Unnecessary Roughness,10/21/2012,Tennessee,E.Pears,T,7,2012,BUF-2012-40
BUF,False Start,10/21/2012,Tennessee,Sp.Johnson,DT,7,2012,BUF-2012-41
BUF,False Start,10/21/2012,Tennessee,C.Hairston,T,7,2012,BUF-2012-42
BUF,False Start,10/21/2012,Tennessee,T.Graham,WR,7,2012,BUF-2012-43
BUF,Offensive Holding,10/21/2012,Tennessee,E.Pears,T,7,2012,BUF-2012-44
BUF,Defensive Holding,10/21/2012,Tennessee,A.Williams,FS,7,2012,BUF-2012-45
BUF,Defensive Offside,11/04/2012,Houston,S.Merriman,DE,9,2012,BUF-2012-46
BUF,False Start,11/04/2012,Houston,A.Levitre,G,9,2012,BUF-2012-47
BUF,False Start,11/04/2012,Houston,C.Glenn,T,9,2012,BUF-2012-48
BUF,False Start,11/11/2012,New England,L.Smith,TE,10,2012,BUF-2012-49
BUF,Offensive Holding,11/11/2012,New England,C.Glenn,T,10,2012,BUF-2012-50
BUF,False Start,11/11/2012,New England,K.Urbik,G,10,2012,BUF-2012-51
BUF,Defensive Pass Interference,11/11/2012,New England,G.Wilson,SS,10,2012,BUF-2012-52
BUF,Defensive Pass Interference,11/11/2012,New England,S.Gilmore,CB,10,2012,BUF-2012-53
BUF,Offensive Holding,11/11/2012,New England,E.Wood,C,10,2012,BUF-2012-54
BUF,Offensive Holding,11/11/2012,New England,C.Hairston,T,10,2012,BUF-2012-55
BUF,Defensive Pass Interference,11/11/2012,New England,J.Byrd,FS,10,2012,BUF-2012-56
BUF,Face Mask (15 Yards),11/11/2012,New England,S.Gilmore,CB,10,2012,BUF-2012-57
BUF,Defensive Pass Interference,11/11/2012,New England,S.Gilmore,CB,10,2012,BUF-2012-58
BUF,Delay of Game,11/11/2012,New England,R.Fitzpatrick,QB,10,2012,BUF-2012-59
BUF,Unnecessary Roughness,11/11/2012,New England,R.Brooks,CB,10,2012,BUF-2012-60
BUF,False Start,11/11/2012,New England,C.Glenn,T,10,2012,BUF-2012-61
BUF,Illegal Block Above the Waist,11/11/2012,New England,T.Choice,RB,10,2012,BUF-2012-62
BUF,Low Block,11/15/2012,Miami,C.White,LB,11,2012,BUF-2012-63
BUF,False Start,11/15/2012,Miami,C.Hairston,T,11,2012,BUF-2012-64
BUF,Defensive Offside,11/15/2012,Miami,M.Dareus,DT,11,2012,BUF-2012-65
BUF,False Start,11/15/2012,Miami,K.Urbik,G,11,2012,BUF-2012-66
BUF,Neutral Zone Infraction,11/15/2012,Miami,S.Merriman,DE,11,2012,BUF-2012-67
BUF,Encroachment,11/15/2012,Miami,Ky.Williams,DT,11,2012,BUF-2012-68
BUF,Neutral Zone Infraction,11/15/2012,Miami,Ma.Williams,DE,11,2012,BUF-2012-69
BUF,Illegal Contact,11/15/2012,Miami,S.Gilmore,CB,11,2012,BUF-2012-70
BUF,Offensive Holding,11/15/2012,Miami,T.Graham,WR,11,2012,BUF-2012-71
BUF,Defensive Pass Interference,11/15/2012,Miami,L.McKelvin,CB,11,2012,BUF-2012-72
BUF,Face Mask (15 Yards),11/15/2012,Miami,K.Moore,DE,11,2012,BUF-2012-73
BUF,Defensive Pass Interference,11/25/2012,Indianapolis,J.Rogers,DB,12,2012,BUF-2012-74
BUF,Neutral Zone Infraction,11/25/2012,Indianapolis,K.Moore,DE,12,2012,BUF-2012-75
BUF,Illegal Block Above the Waist,11/25/2012,Indianapolis,R.Brooks,CB,12,2012,BUF-2012-76
BUF,Defensive Pass Interference,11/25/2012,Indianapolis,S.Gilmore,CB,12,2012,BUF-2012-77
BUF,Offensive Holding,12/02/2012,Jacksonville,C.Hairston,T,13,2012,BUF-2012-78
BUF,Illegal Contact,12/02/2012,Jacksonville,B.Scott,DB,13,2012,BUF-2012-79
BUF,Defensive Holding,12/02/2012,Jacksonville,S.Gilmore,CB,13,2012,BUF-2012-80
BUF,Defensive Pass Interference,12/02/2012,Jacksonville,R.Brooks,CB,13,2012,BUF-2012-81
BUF,Delay of Game,12/02/2012,Jacksonville,R.Fitzpatrick,QB,13,2012,BUF-2012-82
BUF,Defensive Offside,12/02/2012,Jacksonville,Sp.Johnson,DT,13,2012,BUF-2012-83
BUF,Illegal Contact,12/02/2012,Jacksonville,R.Brooks,CB,13,2012,BUF-2012-84
BUF,Defensive Holding,12/02/2012,Jacksonville,C.Henne,QB,13,2012,BUF-2012-85
BUF,Unnecessary Roughness,12/02/2012,Jacksonville,R.Brooks,CB,13,2012,BUF-2012-86
BUF,Defensive Pass Interference,12/02/2012,Jacksonville,S.Gilmore,CB,13,2012,BUF-2012-87
BUF,Offensive Holding,12/09/2012,St. Louis,K.Moore,DE,14,2012,BUF-2012-88
BUF,Illegal Use of Hands,12/09/2012,St. Louis,S.Gilmore,CB,14,2012,BUF-2012-89
BUF,Illegal Touch Pass,12/09/2012,St. Louis,C.Glenn,T,14,2012,BUF-2012-90
BUF,False Start,12/16/2012,Seattle,C.Glenn,T,15,2012,BUF-2012-91
BUF,False Start,12/16/2012,Seattle,L.Smith,TE,15,2012,BUF-2012-92
BUF,False Start,12/16/2012,Seattle,C.Glenn,T,15,2012,BUF-2012-93
BUF,False Start,12/16/2012,Seattle,C.Glenn,T,15,2012,BUF-2012-94
BUF,Defensive Offside,12/23/2012,Miami,Ky.Williams,DT,16,2012,BUF-2012-95
BUF,False Start,12/23/2012,Miami,K.Urbik,G,16,2012,BUF-2012-96
BUF,False Start,12/23/2012,Miami,S.Young,T,16,2012,BUF-2012-97
BUF,False Start,12/23/2012,Miami,T.Graham,WR,16,2012,BUF-2012-98
BUF,False Start,12/23/2012,Miami,A.Levitre,G,16,2012,BUF-2012-99
BUF,Roughing the Passer,12/23/2012,Miami,K.Moore,DE,16,2012,BUF-2012-100
BUF,Offensive Holding,12/23/2012,Miami,L.Smith,TE,16,2012,BUF-2012-101
BUF,Defensive Pass Interference,12/23/2012,Miami,S.Gilmore,CB,16,2012,BUF-2012-102
BUF,Delay of Game,12/23/2012,Miami,S.Johnson,WR,16,2012,BUF-2012-103
BUF,Unnecessary Roughness,12/23/2012,Miami,C.McIntyre,FB,16,2012,BUF-2012-104
BUF,Face Mask (15 Yards),12/23/2012,Miami,C.Glenn,T,16,2012,BUF-2012-105
BUF,Offensive Holding,12/30/2012,N.Y. Jets,E.Wood,C,17,2012,BUF-2012-106
BUF,Defensive Pass Interference,12/30/2012,N.Y. Jets,S.Gilmore,CB,17,2012,BUF-2012-107
