team,penalty,game,opponent,player,position,week,year,penaltyindex
CAR,Offensive Holding,09/07/2014,Tampa Bay,J.Norman,CB,1,2014,CAR-2014-0
CAR,Intentional Grounding,09/07/2014,Tampa Bay,D.Anderson,QB,1,2014,CAR-2014-1
CAR,Illegal Contact,09/07/2014,Tampa Bay,A.Cason,CB,1,2014,CAR-2014-2
CAR,Illegal Block Above the Waist,09/07/2014,Tampa Bay,K.Benjamin,WR,1,2014,CAR-2014-3
CAR,Roughing the Passer,09/07/2014,Tampa Bay,T.DeCoud,FS,1,2014,CAR-2014-4
CAR,False Start,09/07/2014,Tampa Bay,A.Silatolu,G,1,2014,CAR-2014-5
CAR,Illegal Contact,09/14/2014,Detroit,A.Cason,CB,2,2014,CAR-2014-6
CAR,Offensive Holding,09/14/2014,Detroit,B.Bell,T,2,2014,CAR-2014-7
CAR,Offensive Holding,09/14/2014,Detroit,K.Benjamin,WR,2,2014,CAR-2014-8
CAR,Illegal Use of Hands,09/14/2014,Detroit,T.Turner,G,2,2014,CAR-2014-9
CAR,Unnecessary Roughness,09/14/2014,Detroit,D.Edwards,DT,2,2014,CAR-2014-10
CAR,Defensive Offside,09/21/2014,Pittsburgh,C.Johnson,DE,3,2014,CAR-2014-11
CAR,Defensive Pass Interference,09/21/2014,Pittsburgh,T.DeCoud,FS,3,2014,CAR-2014-12
CAR,Offensive Holding,09/21/2014,Pittsburgh,M.Tolbert,FB,3,2014,CAR-2014-13
CAR,Face Mask (15 Yards),09/21/2014,Pittsburgh,B.Bell,T,3,2014,CAR-2014-14
CAR,Defensive Pass Interference,09/21/2014,Pittsburgh,A.Cason,CB,3,2014,CAR-2014-15
CAR,Offensive Holding,09/21/2014,Pittsburgh,B.Bell,T,3,2014,CAR-2014-16
CAR,Offensive Holding,09/21/2014,Pittsburgh,R.Brockel,TE,3,2014,CAR-2014-17
CAR,Encroachment,09/21/2014,Pittsburgh,W.Horton,DE,3,2014,CAR-2014-18
CAR,Defensive Holding,09/21/2014,Pittsburgh,L.Kuechly,MLB,3,2014,CAR-2014-19
