team,penalty,game,opponent,player,position,week,year,penaltyindex
CHI,Offensive Holding,09/07/2014,Buffalo,R.Garza,C,1,2014,CHI-2014-0
CHI,Offensive Pass Interference,09/07/2014,Buffalo,M.Mulligan,TE,1,2014,CHI-2014-1
CHI,Illegal Use of Hands,09/07/2014,Buffalo,A.Jeffery,WR,1,2014,CHI-2014-2
CHI,Illegal Use of Hands,09/07/2014,Buffalo,R.Garza,C,1,2014,CHI-2014-3
CHI,Offensive Holding,09/07/2014,Buffalo,J.Morgan,WR,1,2014,CHI-2014-4
CHI,Offensive Pass Interference,09/07/2014,Buffalo,S.Holmes,WR,1,2014,CHI-2014-5
CHI,Horse Collar Tackle,09/07/2014,Buffalo,B.Marshall,WR,1,2014,CHI-2014-6
CHI,Offensive Holding,09/14/2014,San Francisco,S.Draughn,RB,2,2014,CHI-2014-7
CHI,Neutral Zone Infraction,09/14/2014,San Francisco,W.Young,LB,2,2014,CHI-2014-8
CHI,Defensive Holding,09/14/2014,San Francisco,K.Fuller,CB,2,2014,CHI-2014-9
CHI,Defensive Holding,09/14/2014,San Francisco,L.Houston,LB,2,2014,CHI-2014-10
CHI,Offensive Holding,09/14/2014,San Francisco,C.Jones,ILB,2,2014,CHI-2014-11
CHI,Offensive Holding,09/14/2014,San Francisco,J.Mills,T,2,2014,CHI-2014-12
CHI,Player Out of Bounds on Punt,09/14/2014,San Francisco,S.Perry,RB,2,2014,CHI-2014-13
CHI,Offensive Holding,09/14/2014,San Francisco,S.Draughn,RB,2,2014,CHI-2014-14
CHI,Illegal Use of Hands,09/14/2014,San Francisco,J.Bostic,OLB,2,2014,CHI-2014-15
CHI,Delay of Game,09/14/2014,San Francisco,P.O'Donnell,P,2,2014,CHI-2014-16
CHI,Illegal Touch Pass,09/14/2014,San Francisco,M.Forte,RB,2,2014,CHI-2014-17
CHI,Defensive Offside,09/14/2014,San Francisco,E.Ferguson,DT,2,2014,CHI-2014-18
CHI,Delay of Game,09/14/2014,San Francisco,J.Cutler,QB,2,2014,CHI-2014-19
CHI,False Start,09/14/2014,San Francisco,J.Mills,T,2,2014,CHI-2014-20
CHI,Illegal Use of Hands,09/14/2014,San Francisco,R.Mundy,SS,2,2014,CHI-2014-21
