team,penalty,game,opponent,player,position,week,year,penaltyindex
CLE,Defensive Offside,09/08/2013,Miami,P.Kruger,OLB,1,2013,CLE-2013-0
CLE,Illegal Use of Hands,09/08/2013,Miami,O.Cousins,T,1,2013,CLE-2013-1
CLE,Offensive Holding,09/08/2013,Miami,O.Cousins,T,1,2013,CLE-2013-2
CLE,False Start,09/08/2013,Miami,J.Cameron,TE,1,2013,CLE-2013-3
CLE,Defensive Pass Interference,09/08/2013,Miami,B.Skrine,DB,1,2013,CLE-2013-4
CLE,False Start,09/08/2013,Miami,O.Cousins,T,1,2013,CLE-2013-5
CLE,Offensive Holding,09/08/2013,Miami,O.Cousins,T,1,2013,CLE-2013-6
CLE,Personal Foul,09/15/2013,Baltimore,P.Taylor,DE,2,2013,CLE-2013-7
CLE,Delay of Game,09/15/2013,Baltimore,B.Weeden,QB,2,2013,CLE-2013-8
CLE,Offensive Holding,09/15/2013,Baltimore,J.Bademosi,CB,2,2013,CLE-2013-9
CLE,Delay of Game,09/15/2013,Baltimore,B.Weeden,QB,2,2013,CLE-2013-10
CLE,Delay of Game,09/15/2013,Baltimore,B.Weeden,QB,2,2013,CLE-2013-11
CLE,Offensive Holding,09/22/2013,Minnesota,P.Hazel,LB,3,2013,CLE-2013-12
CLE,Intentional Grounding,09/22/2013,Minnesota,B.Hoyer,QB,3,2013,CLE-2013-13
CLE,Face Mask (15 Yards),09/22/2013,Minnesota,D.Jackson,ILB,3,2013,CLE-2013-14
CLE,False Start,09/22/2013,Minnesota,J.Thomas,T,3,2013,CLE-2013-15
CLE,False Start,09/29/2013,Cincinnati,J.Thomas,T,4,2013,CLE-2013-16
CLE,Illegal Use of Hands,09/29/2013,Cincinnati,D.Bryant,DE,4,2013,CLE-2013-17
CLE,Defensive Pass Interference,09/29/2013,Cincinnati,B.Skrine,DB,4,2013,CLE-2013-18
CLE,Illegal Cut,09/29/2013,Cincinnati,A.Mack,C,4,2013,CLE-2013-19
CLE,Offensive Holding,09/29/2013,Cincinnati,M.Schwartz,T,4,2013,CLE-2013-20
CLE,Unnecessary Roughness,09/29/2013,Cincinnati,B.Skrine,DB,4,2013,CLE-2013-21
CLE,Delay of Game,09/29/2013,Cincinnati,S.Lanning,P,4,2013,CLE-2013-22
CLE,Defensive Pass Interference,10/03/2013,Buffalo,J.Haden,CB,5,2013,CLE-2013-23
CLE,Defensive Offside,10/03/2013,Buffalo,P.Kruger,OLB,5,2013,CLE-2013-24
CLE,Defensive Pass Interference,10/03/2013,Buffalo,T.Ward,SS,5,2013,CLE-2013-25
CLE,Defensive Offside,10/03/2013,Buffalo,J.Haden,CB,5,2013,CLE-2013-26
CLE,Face Mask (15 Yards),10/03/2013,Buffalo,J.Greco,G,5,2013,CLE-2013-27
CLE,False Start,10/03/2013,Buffalo,J.Thomas,T,5,2013,CLE-2013-28
CLE,Offensive Holding,10/03/2013,Buffalo,A.Mack,C,5,2013,CLE-2013-29
CLE,Defensive Pass Interference,10/13/2013,Detroit,J.Haden,CB,6,2013,CLE-2013-30
CLE,Defensive Pass Interference,10/13/2013,Detroit,J.Haden,CB,6,2013,CLE-2013-31
CLE,Illegal Block Above the Waist,10/13/2013,Detroit,B.Skrine,DB,6,2013,CLE-2013-32
CLE,Running Into the Kicker,10/13/2013,Detroit,P.Hazel,LB,6,2013,CLE-2013-33
CLE,False Start,10/13/2013,Detroit,J.Cameron,TE,6,2013,CLE-2013-34
CLE,Intentional Grounding,10/13/2013,Detroit,B.Weeden,QB,6,2013,CLE-2013-35
CLE,False Start,10/13/2013,Detroit,J.Cameron,TE,6,2013,CLE-2013-36
CLE,Unsportsmanlike Conduct,10/13/2013,Detroit,J.Bademosi,CB,6,2013,CLE-2013-37
CLE,Roughing the Passer,10/13/2013,Detroit,Q.Groves,LB,6,2013,CLE-2013-38
CLE,False Start,10/20/2013,Green Bay,J.Thomas,T,7,2013,CLE-2013-39
CLE,Personal Foul,10/20/2013,Green Bay,P.Kruger,OLB,7,2013,CLE-2013-40
CLE,Defensive Holding,10/20/2013,Green Bay,C.Robertson,ILB,7,2013,CLE-2013-41
CLE,False Start,10/20/2013,Green Bay,M.Schwartz,T,7,2013,CLE-2013-42
CLE,Unnecessary Roughness,10/20/2013,Green Bay,E.Martin,OLB,7,2013,CLE-2013-43
CLE,Unnecessary Roughness,10/20/2013,Green Bay,T.Gipson,FS,7,2013,CLE-2013-44
CLE,Offside on Free Kick,10/20/2013,Green Bay,E.Martin,OLB,7,2013,CLE-2013-45
CLE,Illegal Touch Kick,10/20/2013,Green Bay,J.Haden,CB,7,2013,CLE-2013-46
CLE,Defensive Pass Interference,10/20/2013,Green Bay,B.Skrine,DB,7,2013,CLE-2013-47
CLE,Defensive Holding,10/20/2013,Green Bay,P.Hazel,LB,7,2013,CLE-2013-48
CLE,Unnecessary Roughness,10/27/2013,Kansas City,J.Haden,CB,8,2013,CLE-2013-49
CLE,False Start,10/27/2013,Kansas City,I.Kitchen,DE,8,2013,CLE-2013-50
CLE,Illegal Block Above the Waist,10/27/2013,Kansas City,L.McFadden,DB,8,2013,CLE-2013-51
CLE,False Start,10/27/2013,Kansas City,J.Greco,G,8,2013,CLE-2013-52
CLE,Offensive Holding,10/27/2013,Kansas City,J.Bademosi,CB,8,2013,CLE-2013-53
CLE,Offensive Holding,10/27/2013,Kansas City,M.Gray,TE,8,2013,CLE-2013-54
CLE,Running Into the Kicker,10/27/2013,Kansas City,A.Bryant,DE,8,2013,CLE-2013-55
CLE,Offensive Holding,10/27/2013,Kansas City,J.Thomas,T,8,2013,CLE-2013-56
CLE,Defensive Holding,10/27/2013,Kansas City,J.Haden,CB,8,2013,CLE-2013-57
CLE,False Start,10/27/2013,Kansas City,J.Thomas,T,8,2013,CLE-2013-58
CLE,Offensive Holding,10/27/2013,Kansas City,J.Thomas,T,8,2013,CLE-2013-59
CLE,Unsportsmanlike Conduct,11/03/2013,Baltimore,G.Little,WR,9,2013,CLE-2013-60
CLE,Taunting,11/03/2013,Baltimore,G.Little,WR,9,2013,CLE-2013-61
CLE,Offensive Pass Interference,11/03/2013,Baltimore,J.Gordon,WR,9,2013,CLE-2013-62
CLE,Defensive Holding,11/03/2013,Baltimore,T.Ward,SS,9,2013,CLE-2013-63
CLE,Unnecessary Roughness,11/17/2013,Cincinnati,E.Martin,OLB,11,2013,CLE-2013-64
CLE,False Start,11/17/2013,Cincinnati,M.Schwartz,T,11,2013,CLE-2013-65
CLE,Offensive Holding,11/17/2013,Cincinnati,J.Cameron,TE,11,2013,CLE-2013-66
CLE,Offensive Holding,11/17/2013,Cincinnati,G.Barnidge,TE,11,2013,CLE-2013-67
CLE,False Start,11/17/2013,Cincinnati,J.Thomas,T,11,2013,CLE-2013-68
CLE,Defensive Offside,11/17/2013,Cincinnati,A.Bryant,DE,11,2013,CLE-2013-69
CLE,False Start,11/24/2013,Pittsburgh,G.Barnidge,TE,12,2013,CLE-2013-70
CLE,False Start,11/24/2013,Pittsburgh,A.Mack,C,12,2013,CLE-2013-71
CLE,Running Into the Kicker,11/24/2013,Pittsburgh,J.Haden,CB,12,2013,CLE-2013-72
CLE,Illegal Contact,12/01/2013,Jacksonville,T.Ward,SS,13,2013,CLE-2013-73
CLE,False Start,12/01/2013,Jacksonville,J.Cameron,TE,13,2013,CLE-2013-74
CLE,False Start,12/01/2013,Jacksonville,S.Lauvao,G,13,2013,CLE-2013-75
CLE,Illegal Kick,12/01/2013,Jacksonville,B.Weeden,QB,13,2013,CLE-2013-76
CLE,Face Mask (15 Yards),12/01/2013,Jacksonville,P.Taylor,DE,13,2013,CLE-2013-77
CLE,Illegal Block Above the Waist,12/01/2013,Jacksonville,L.McFadden,DB,13,2013,CLE-2013-78
CLE,Defensive Offside,12/01/2013,Jacksonville,P.Kruger,OLB,13,2013,CLE-2013-79
CLE,False Start,12/01/2013,Jacksonville,D.Bess,WR,13,2013,CLE-2013-80
CLE,False Start,12/08/2013,New England,S.Lauvao,G,14,2013,CLE-2013-81
CLE,False Start,12/08/2013,New England,J.Cameron,TE,14,2013,CLE-2013-82
CLE,Defensive Pass Interference,12/08/2013,New England,T.Ward,SS,14,2013,CLE-2013-83
CLE,Defensive Holding,12/08/2013,New England,J.Haden,CB,14,2013,CLE-2013-84
CLE,Intentional Grounding,12/08/2013,New England,J.Campbell,QB,14,2013,CLE-2013-85
CLE,Unnecessary Roughness,12/08/2013,New England,J.Poyer,CB,14,2013,CLE-2013-86
CLE,Defensive Pass Interference,12/08/2013,New England,L.McFadden,DB,14,2013,CLE-2013-87
CLE,Offensive Holding,12/15/2013,Chicago,T.Carder,ILB,15,2013,CLE-2013-88
CLE,Defensive Holding,12/15/2013,Chicago,J.Haden,CB,15,2013,CLE-2013-89
CLE,False Start,12/15/2013,Chicago,J.Gordon,WR,15,2013,CLE-2013-90
CLE,False Start,12/15/2013,Chicago,J.Thomas,T,15,2013,CLE-2013-91
CLE,Offensive Holding,12/15/2013,Chicago,S.Lauvao,G,15,2013,CLE-2013-92
CLE,Defensive Pass Interference,12/15/2013,Chicago,L.McFadden,DB,15,2013,CLE-2013-93
CLE,Illegal Contact,12/15/2013,Chicago,B.Skrine,DB,15,2013,CLE-2013-94
CLE,Roughing the Passer,12/15/2013,Chicago,J.Sheard,DE,15,2013,CLE-2013-95
CLE,Delay of Game,12/15/2013,Chicago,J.Campbell,QB,15,2013,CLE-2013-96
CLE,Unnecessary Roughness,12/22/2013,N.Y. Jets,T.Gipson,FS,16,2013,CLE-2013-97
CLE,False Start,12/22/2013,N.Y. Jets,G.Barnidge,TE,16,2013,CLE-2013-98
CLE,Offensive Holding,12/29/2013,Pittsburgh,J.Thomas,T,17,2013,CLE-2013-99
CLE,Delay of Game,12/29/2013,Pittsburgh,J.Campbell,QB,17,2013,CLE-2013-100
CLE,Face Mask (15 Yards),12/29/2013,Pittsburgh,J.Poyer,CB,17,2013,CLE-2013-101
CLE,Offensive Holding,12/29/2013,Pittsburgh,J.Thomas,T,17,2013,CLE-2013-102
