team,penalty,game,opponent,player,position,week,year,penaltyindex
DAL,False Start,09/11/2011,N.Y. Jets,T.Smith,T,1,2011,DAL-2011-0
DAL,Delay of Game,09/11/2011,N.Y. Jets,T.Romo,QB,1,2011,DAL-2011-1
DAL,Encroachment,09/11/2011,N.Y. Jets,J.Hatcher,DE,1,2011,DAL-2011-2
DAL,Delay of Game,09/11/2011,N.Y. Jets,T.Romo,QB,1,2011,DAL-2011-3
DAL,False Start,09/11/2011,N.Y. Jets,T.Smith,T,1,2011,DAL-2011-4
DAL,Offensive Pass Interference,09/11/2011,N.Y. Jets,J.Witten,TE,1,2011,DAL-2011-5
DAL,Defensive Pass Interference,09/18/2011,San Francisco,B.James,ILB,2,2011,DAL-2011-6
DAL,Defensive Offside,09/18/2011,San Francisco,J.Hatcher,DE,2,2011,DAL-2011-7
DAL,Face Mask (15 Yards),09/18/2011,San Francisco,K.Ogletree,WR,2,2011,DAL-2011-8
DAL,False Start,09/18/2011,San Francisco,D.Dockery,G,2,2011,DAL-2011-9
DAL,False Start,09/18/2011,San Francisco,D.Dockery,G,2,2011,DAL-2011-10
DAL,Offensive Holding,09/18/2011,San Francisco,D.Free,T,2,2011,DAL-2011-11
DAL,Offensive Holding,09/18/2011,San Francisco,S.Lee,MLB,2,2011,DAL-2011-12
DAL,Leverage,09/18/2011,San Francisco,K.Brooking,MLB,2,2011,DAL-2011-13
DAL,Offensive Holding,09/26/2011,Washington,D.Free,T,3,2011,DAL-2011-14
DAL,False Start,09/26/2011,Washington,P.Costa,C,3,2011,DAL-2011-15
DAL,False Start,09/26/2011,Washington,K.Kosier,G,3,2011,DAL-2011-16
DAL,Offensive Holding,09/26/2011,Washington,D.Free,T,3,2011,DAL-2011-17
DAL,Offensive Holding,09/26/2011,Washington,M.Bennett,TE,3,2011,DAL-2011-18
DAL,Unnecessary Roughness,09/26/2011,Washington,A.Ball,DB,3,2011,DAL-2011-19
DAL,Defensive Offside,10/02/2011,Detroit,D.Ware,LB,4,2011,DAL-2011-20
DAL,Offensive Holding,10/02/2011,Detroit,F.Walker,DB,4,2011,DAL-2011-21
DAL,Illegal Formation,10/02/2011,Detroit,P.Tanner,RB,4,2011,DAL-2011-22
DAL,Defensive Holding,10/02/2011,Detroit,A.Ball,DB,4,2011,DAL-2011-23
