team,penalty,game,opponent,player,position,week,year,penaltyindex
DEN,False Start,09/07/2014,Indianapolis,R.Clady,T,1,2014,DEN-2014-0
DEN,Offensive Holding,09/07/2014,Indianapolis,L.Vasquez,T,1,2014,DEN-2014-1
DEN,Offensive Holding,09/07/2014,Indianapolis,T.Carter,DB,1,2014,DEN-2014-2
DEN,Illegal Contact,09/07/2014,Indianapolis,B.Roby,CB,1,2014,DEN-2014-3
DEN,Offensive Holding,09/07/2014,Indianapolis,L.Vasquez,T,1,2014,DEN-2014-4
DEN,Delay of Game,09/07/2014,Indianapolis,B.Colquitt,P,1,2014,DEN-2014-5
DEN,Defensive Pass Interference,09/07/2014,Indianapolis,C.Harris,CB,1,2014,DEN-2014-6
DEN,Offensive Holding,09/07/2014,Indianapolis,C.Clark,T,1,2014,DEN-2014-7
DEN,Illegal Contact,09/07/2014,Indianapolis,T.Carter,DB,1,2014,DEN-2014-8
DEN,Defensive Offside,09/14/2014,Kansas City,V.Miller,OLB,2,2014,DEN-2014-9
DEN,Defensive Offside,09/14/2014,Kansas City,D.Ware,LB,2,2014,DEN-2014-10
DEN,Ineligible Downfield Pass,09/14/2014,Kansas City,C.Clark,T,2,2014,DEN-2014-11
DEN,Illegal Use of Hands,09/14/2014,Kansas City,S.Johnson,LB,2,2014,DEN-2014-12
DEN,Roughing the Passer,09/14/2014,Kansas City,M.Jackson,DT,2,2014,DEN-2014-13
DEN,Illegal Contact,09/14/2014,Kansas City,C.Harris,CB,2,2014,DEN-2014-14
DEN,Clipping,09/14/2014,Kansas City,C.Clark,T,2,2014,DEN-2014-15
DEN,False Start,09/14/2014,Kansas City,J.Thomas,TE,2,2014,DEN-2014-16
DEN,Defensive Offside,09/14/2014,Kansas City,Q.Smith,DE,2,2014,DEN-2014-17
DEN,Defensive Offside,09/14/2014,Kansas City,T.Knighton,DT,2,2014,DEN-2014-18
DEN,Defensive Pass Interference,09/14/2014,Kansas City,D.Ware,LB,2,2014,DEN-2014-19
DEN,Illegal Motion,09/21/2014,Seattle,J.Thomas,TE,3,2014,DEN-2014-20
DEN,Defensive Holding,09/21/2014,Seattle,C.Harris,CB,3,2014,DEN-2014-21
DEN,False Start,09/21/2014,Seattle,O.Franklin,G,3,2014,DEN-2014-22
