team,penalty,game,opponent,player,position,week,year,penaltyindex
GB,Running Into the Kicker,09/04/2014,Seattle,M.Daniels,DT,1,2014,GB-2014-0
GB,Defensive Offside,09/04/2014,Seattle,J.Peppers,OLB,1,2014,GB-2014-1
GB,Illegal Contact,09/04/2014,Seattle,B.Jones,LB,1,2014,GB-2014-2
GB,Unsportsmanlike Conduct,09/04/2014,Seattle,D.Bakhtiari,T,1,2014,GB-2014-3
GB,Offensive Holding,09/04/2014,Seattle,D.Bakhtiari,T,1,2014,GB-2014-4
GB,Defensive Holding,09/04/2014,Seattle,B.Jones,LB,1,2014,GB-2014-5
GB,Face Mask (15 Yards),09/04/2014,Seattle,C.Hayward,CB,1,2014,GB-2014-6
GB,Offensive Holding,09/04/2014,Seattle,T.Lang,G,1,2014,GB-2014-7
GB,Ineligible Downfield Pass,09/14/2014,N.Y. Jets,C.Linsley,C,2,2014,GB-2014-8
GB,Defensive Offside,09/14/2014,N.Y. Jets,A.Mulumba,OLB,2,2014,GB-2014-9
GB,Taunting,09/14/2014,N.Y. Jets,J.Bush,CB,2,2014,GB-2014-10
GB,Illegal Use of Hands,09/14/2014,N.Y. Jets,M.Daniels,DT,2,2014,GB-2014-11
GB,False Start,09/21/2014,Detroit,B.Bostick,TE,3,2014,GB-2014-12
GB,False Start,09/21/2014,Detroit,J.Sitton,G,3,2014,GB-2014-13
GB,Defensive Holding,09/21/2014,Detroit,T.Williams,DB,3,2014,GB-2014-14
GB,Defensive Pass Interference,09/21/2014,Detroit,T.Williams,DB,3,2014,GB-2014-15
GB,Offensive Holding,09/21/2014,Detroit,B.Bostick,TE,3,2014,GB-2014-16
GB,Illegal Use of Hands,09/28/2014,Chicago,J.Peppers,OLB,4,2014,GB-2014-17
GB,Unnecessary Roughness,09/28/2014,Chicago,S.Shields,CB,4,2014,GB-2014-18
GB,Defensive Pass Interference,09/28/2014,Chicago,H.Clinton,FS,4,2014,GB-2014-19
GB,Offensive Holding,09/28/2014,Chicago,D.Jones,DE,4,2014,GB-2014-20
GB,Offensive Holding,09/28/2014,Chicago,C.Linsley,C,4,2014,GB-2014-21
GB,Offensive Holding,09/28/2014,Chicago,C.Linsley,C,4,2014,GB-2014-22
GB,Offensive Holding,09/28/2014,Chicago,A.Quarless,TE,4,2014,GB-2014-23
GB,Offensive Holding,09/28/2014,Chicago,D.Bakhtiari,T,4,2014,GB-2014-24
GB,Illegal Use of Hands,10/02/2014,Minnesota,M.Daniels,DT,5,2014,GB-2014-25
GB,Defensive Offside,10/02/2014,Minnesota,L.Guion,NT,5,2014,GB-2014-26
GB,Offensive Holding,10/02/2014,Minnesota,J.Kuhn,FB,5,2014,GB-2014-27
