team,penalty,game,opponent,player,position,week,year,penaltyindex
HOU,Illegal Contact,09/11/2011,Indianapolis,K.Jackson,CB,1,2011,HOU-2011-0
HOU,False Start,09/11/2011,Indianapolis,E.Winston,T,1,2011,HOU-2011-1
HOU,Personal Foul,09/11/2011,Indianapolis,D.Manning,SS,1,2011,HOU-2011-2
HOU,Encroachment,09/11/2011,Indianapolis,E.Mitchell,DT,1,2011,HOU-2011-3
HOU,Defensive Delay of Game,09/11/2011,Indianapolis,C.Barwin,OLB,1,2011,HOU-2011-4
HOU,Face Mask (15 Yards),09/18/2011,Miami,D.Manning,SS,2,2011,HOU-2011-5
HOU,Offensive Holding,09/18/2011,Miami,E.Winston,T,2,2011,HOU-2011-6
HOU,Offensive Holding,09/18/2011,Miami,M.Brisiel,G,2,2011,HOU-2011-7
HOU,Defensive Pass Interference,09/18/2011,Miami,K.Jackson,CB,2,2011,HOU-2011-8
HOU,Offensive Holding,09/18/2011,Miami,E.Winston,T,2,2011,HOU-2011-9
HOU,False Start,09/25/2011,New Orleans,D.Brown,T,3,2011,HOU-2011-10
HOU,Illegal Use of Hands,09/25/2011,New Orleans,C.Myers,C,3,2011,HOU-2011-11
HOU,Encroachment,09/25/2011,New Orleans,A.Smith,DE,3,2011,HOU-2011-12
HOU,Illegal Block Above the Waist,09/25/2011,New Orleans,B.Reed,LB,3,2011,HOU-2011-13
HOU,Personal Foul,09/25/2011,New Orleans,D.Manning,SS,3,2011,HOU-2011-14
HOU,Offensive Pass Interference,09/25/2011,New Orleans,J.Dreessen,TE,3,2011,HOU-2011-15
HOU,Offensive Holding,10/02/2011,Pittsburgh,T.Dobbins,LB,4,2011,HOU-2011-16
HOU,Offensive Holding,10/02/2011,Pittsburgh,J.Dreessen,TE,4,2011,HOU-2011-17
HOU,Offensive Holding,10/02/2011,Pittsburgh,J.Dreessen,TE,4,2011,HOU-2011-18
HOU,Defensive Offside,10/02/2011,Pittsburgh,Ma.Williams,DE,4,2011,HOU-2011-19
HOU,Illegal Contact,10/02/2011,Pittsburgh,J.Joseph,CB,4,2011,HOU-2011-20
HOU,Offensive Holding,10/02/2011,Pittsburgh,C.Myers,C,4,2011,HOU-2011-21
HOU,Offensive Holding,10/02/2011,Pittsburgh,B.Harris,DB,4,2011,HOU-2011-22
HOU,Illegal Block Above the Waist,10/02/2011,Pittsburgh,D.Manning,SS,4,2011,HOU-2011-23
HOU,Roughing the Passer,10/02/2011,Pittsburgh,J.Watt,DE,4,2011,HOU-2011-24
HOU,False Start,10/09/2011,Oakland,J.Jones,WR,5,2011,HOU-2011-25
HOU,Tripping,10/09/2011,Oakland,B.Harris,DB,5,2011,HOU-2011-26
HOU,Offensive Holding,10/09/2011,Oakland,D.Barber,DB,5,2011,HOU-2011-27
HOU,False Start,10/09/2011,Oakland,J.Casey,TE,5,2011,HOU-2011-28
HOU,Illegal Contact,10/09/2011,Oakland,J.Allen,DB,5,2011,HOU-2011-29
HOU,Personal Foul,10/09/2011,Oakland,M.Brisiel,G,5,2011,HOU-2011-30
HOU,Personal Foul,10/16/2011,Baltimore,A.Smith,DE,6,2011,HOU-2011-31
HOU,Personal Foul,10/16/2011,Baltimore,A.Smith,DE,6,2011,HOU-2011-32
HOU,Defensive Holding,10/16/2011,Baltimore,K.Jackson,CB,6,2011,HOU-2011-33
HOU,False Start,10/16/2011,Baltimore,E.Winston,T,6,2011,HOU-2011-34
HOU,False Start,10/16/2011,Baltimore,J.Dreessen,TE,6,2011,HOU-2011-35
HOU,Defensive Offside,10/16/2011,Baltimore,C.Barwin,OLB,6,2011,HOU-2011-36
HOU,Defensive Pass Interference,10/23/2011,Tennessee,K.Jackson,CB,7,2011,HOU-2011-37
HOU,Illegal Use of Hands,10/23/2011,Tennessee,D.Brown,T,7,2011,HOU-2011-38
HOU,Neutral Zone Infraction,10/23/2011,Tennessee,J.Watt,DE,7,2011,HOU-2011-39
HOU,Neutral Zone Infraction,10/23/2011,Tennessee,A.Smith,DE,7,2011,HOU-2011-40
HOU,Illegal Block Above the Waist,10/23/2011,Tennessee,S.McManis,CB,7,2011,HOU-2011-41
HOU,Unnecessary Roughness,10/23/2011,Tennessee,S.Keo,FS,7,2011,HOU-2011-42
HOU,Defensive Offside,10/30/2011,Jacksonville,A.Smith,DE,8,2011,HOU-2011-43
HOU,Personal Foul,10/30/2011,Jacksonville,W.Smith,G,8,2011,HOU-2011-44
HOU,Running Into the Kicker,10/30/2011,Jacksonville,C.Barwin,OLB,8,2011,HOU-2011-45
HOU,Offensive Holding,10/30/2011,Jacksonville,K.Walter,WR,8,2011,HOU-2011-46
HOU,False Start,10/30/2011,Jacksonville,M.Brisiel,G,8,2011,HOU-2011-47
HOU,Low Block,10/30/2011,Jacksonville,O.Daniels,TE,8,2011,HOU-2011-48
HOU,Defensive Offside,10/30/2011,Jacksonville,A.Smith,DE,8,2011,HOU-2011-49
HOU,Offensive Holding,11/06/2011,Cleveland,E.Winston,T,9,2011,HOU-2011-50
HOU,Defensive Offside,11/06/2011,Cleveland,A.Smith,DE,9,2011,HOU-2011-51
HOU,False Start,11/13/2011,Tampa Bay,D.Brown,T,10,2011,HOU-2011-52
HOU,False Start,11/13/2011,Tampa Bay,M.Alexander,LB,10,2011,HOU-2011-53
HOU,Offensive Holding,11/13/2011,Tampa Bay,C.Myers,C,10,2011,HOU-2011-54
HOU,Defensive Pass Interference,11/13/2011,Tampa Bay,B.McCain,DB,10,2011,HOU-2011-55
HOU,Defensive Offside,11/13/2011,Tampa Bay,T.Jamison,NT,10,2011,HOU-2011-56
HOU,Offensive Holding,11/13/2011,Tampa Bay,M.Brisiel,G,10,2011,HOU-2011-57
HOU,False Start,11/13/2011,Tampa Bay,D.Newton,T,10,2011,HOU-2011-58
HOU,Offensive Pass Interference,11/27/2011,Jacksonville,A.Johnson,WR,12,2011,HOU-2011-59
HOU,Personal Foul,11/27/2011,Jacksonville,D.Brown,T,12,2011,HOU-2011-60
HOU,Intentional Grounding,11/27/2011,Jacksonville,T.Yates,QB,12,2011,HOU-2011-61
HOU,Roughing the Passer,11/27/2011,Jacksonville,J.Watt,DE,12,2011,HOU-2011-62
HOU,Defensive Offside,11/27/2011,Jacksonville,B.Cushing,ILB,12,2011,HOU-2011-63
HOU,False Start,11/27/2011,Jacksonville,M.Alexander,LB,12,2011,HOU-2011-64
HOU,Defensive Pass Interference,11/27/2011,Jacksonville,G.Quin,FS,12,2011,HOU-2011-65
HOU,Defensive Pass Interference,11/27/2011,Jacksonville,K.Jackson,CB,12,2011,HOU-2011-66
