team,penalty,game,opponent,player,position,week,year,penaltyindex
JAC,False Start,09/08/2013,Kansas City,A.Branch,DE,1,2013,JAC-2013-0
JAC,Delay of Game,09/08/2013,Kansas City,B.Gabbert,QB,1,2013,JAC-2013-1
JAC,False Start,09/08/2013,Kansas City,E.Monroe,T,1,2013,JAC-2013-2
JAC,Offensive Pass Interference,09/08/2013,Kansas City,C.Shorts,WR,1,2013,JAC-2013-3
JAC,Delay of Game,09/08/2013,Kansas City,C.Henne,QB,1,2013,JAC-2013-4
JAC,Personal Foul,09/15/2013,Oakland,J.Babin,DE,2,2013,JAC-2013-5
JAC,Illegal Use of Hands,09/15/2013,Oakland,W.Rackley,G,2,2013,JAC-2013-6
JAC,Delay of Game,09/15/2013,Oakland,C.Henne,QB,2,2013,JAC-2013-7
JAC,Defensive Offside,09/15/2013,Oakland,D.Williams,TE,2,2013,JAC-2013-8
JAC,Illegal Formation,09/15/2013,Oakland,S.Burton,WR,2,2013,JAC-2013-9
JAC,Offensive Holding,09/15/2013,Oakland,K.Knox,LB,2,2013,JAC-2013-10
JAC,Illegal Use of Hands,09/15/2013,Oakland,E.Monroe,T,2,2013,JAC-2013-11
JAC,Illegal Use of Hands,09/15/2013,Oakland,J.Babin,DE,2,2013,JAC-2013-12
JAC,False Start,09/15/2013,Oakland,L.Joeckel,T,2,2013,JAC-2013-13
JAC,False Start,09/15/2013,Oakland,L.Joeckel,T,2,2013,JAC-2013-14
JAC,Delay of Game,09/15/2013,Oakland,C.Henne,QB,2,2013,JAC-2013-15
JAC,False Start,09/22/2013,Seattle,J.Todman,RB,3,2013,JAC-2013-16
JAC,Defensive Pass Interference,09/22/2013,Seattle,D.McCray,CB,3,2013,JAC-2013-17
JAC,Defensive Offside,09/22/2013,Seattle,J.Babin,DE,3,2013,JAC-2013-18
JAC,Offensive Holding,09/22/2013,Seattle,M.Harris,DB,3,2013,JAC-2013-19
JAC,Defensive Offside,09/29/2013,Indianapolis,J.Babin,DE,4,2013,JAC-2013-20
JAC,Unsportsmanlike Conduct,09/29/2013,Indianapolis,J.Todman,RB,4,2013,JAC-2013-21
JAC,Offensive Holding,09/29/2013,Indianapolis,W.Rackley,G,4,2013,JAC-2013-22
JAC,False Start,09/29/2013,Indianapolis,J.Todman,RB,4,2013,JAC-2013-23
JAC,Defensive Holding,09/29/2013,Indianapolis,A.Ball,DB,4,2013,JAC-2013-24
JAC,Encroachment,09/29/2013,Indianapolis,T.Alualu,DE,4,2013,JAC-2013-25
JAC,Roughing the Passer,09/29/2013,Indianapolis,J.Babin,DE,4,2013,JAC-2013-26
JAC,Defensive Offside,09/29/2013,Indianapolis,J.Babin,DE,4,2013,JAC-2013-27
JAC,Defensive Offside,09/29/2013,Indianapolis,J.Mincey,DE,4,2013,JAC-2013-28
JAC,Illegal Block Above the Waist,10/06/2013,St. Louis,L.Reynolds,OLB,5,2013,JAC-2013-29
JAC,Unnecessary Roughness,10/06/2013,St. Louis,J.Babin,DE,5,2013,JAC-2013-30
JAC,Defensive Pass Interference,10/06/2013,St. Louis,W.Blackmon,DB,5,2013,JAC-2013-31
JAC,Encroachment,10/06/2013,St. Louis,S.Marks,DT,5,2013,JAC-2013-32
JAC,Unnecessary Roughness,10/13/2013,Denver,A.Branch,DE,6,2013,JAC-2013-33
JAC,Face Mask (15 Yards),10/13/2013,Denver,W.Rackley,G,6,2013,JAC-2013-34
JAC,Delay of Game,10/13/2013,Denver,C.Henne,QB,6,2013,JAC-2013-35
JAC,Defensive Pass Interference,10/13/2013,Denver,J.Evans,FS,6,2013,JAC-2013-36
JAC,Unsportsmanlike Conduct,10/13/2013,Denver,J.Evans,FS,6,2013,JAC-2013-37
JAC,Defensive Pass Interference,10/13/2013,Denver,J.Cyprien,SS,6,2013,JAC-2013-38
JAC,False Start,10/13/2013,Denver,A.Pasztor,T,6,2013,JAC-2013-39
JAC,Defensive Offside,10/20/2013,San Diego,J.Babin,DE,7,2013,JAC-2013-40
JAC,Unsportsmanlike Conduct,10/20/2013,San Diego,S.Marks,DT,7,2013,JAC-2013-41
JAC,False Start,10/20/2013,San Diego,C.Bradfield,T,7,2013,JAC-2013-42
