team,penalty,game,opponent,player,position,week,year,penaltyindex
KC,False Start,09/07/2014,Tennessee,D.Avery,WR,1,2014,KC-2014-0
KC,Offensive Pass Interference,09/07/2014,Tennessee,A.Fasano,TE,1,2014,KC-2014-1
KC,Illegal Use of Hands,09/07/2014,Tennessee,A.Bailey,DE,1,2014,KC-2014-2
KC,Defensive Offside,09/07/2014,Tennessee,D.Sorensen,DB,1,2014,KC-2014-3
KC,Roughing the Passer,09/07/2014,Tennessee,J.Mauga,ILB,1,2014,KC-2014-4
KC,Offensive Holding,09/14/2014,Denver,R.Harris,T,2,2014,KC-2014-5
KC,Neutral Zone Infraction,09/14/2014,Denver,T.Hali,OLB,2,2014,KC-2014-6
KC,Offensive Holding,09/14/2014,Denver,Z.Fulton,G,2,2014,KC-2014-7
KC,Offensive Holding,09/14/2014,Denver,Z.Fulton,G,2,2014,KC-2014-8
KC,Defensive Pass Interference,09/14/2014,Denver,M.Cooper,CB,2,2014,KC-2014-9
KC,Offensive Holding,09/21/2014,Miami,C.Gray,RB,3,2014,KC-2014-10
KC,Encroachment,09/21/2014,Miami,A.Bailey,DE,3,2014,KC-2014-11
KC,Illegal Block Above the Waist,09/21/2014,Miami,J.Franklin,LB,3,2014,KC-2014-12
KC,Illegal Block Above the Waist,09/21/2014,Miami,K.McCray,DB,3,2014,KC-2014-13
KC,False Start,09/29/2014,New England,R.Hudson,C,4,2014,KC-2014-14
KC,Illegal Use of Hands,09/29/2014,New England,C.Owens,DB,4,2014,KC-2014-15
KC,Illegal Block Above the Waist,09/29/2014,New England,T.Kelce,TE,4,2014,KC-2014-16
KC,Unnecessary Roughness,09/29/2014,New England,H.Abdullah,FS,4,2014,KC-2014-17
KC,False Start,10/05/2014,San Francisco,R.Harris,T,5,2014,KC-2014-18
KC,Roughing the Passer,10/05/2014,San Francisco,A.Bailey,DE,5,2014,KC-2014-19
KC,Personal Foul,10/05/2014,San Francisco,J.Charles,RB,5,2014,KC-2014-20
KC,Defensive Holding,10/19/2014,San Diego,R.Parker,SS,7,2014,KC-2014-21
KC,Defensive Pass Interference,10/19/2014,San Diego,J.Fleming,CB,7,2014,KC-2014-22
KC,Offensive Pass Interference,10/19/2014,San Diego,A.Fasano,TE,7,2014,KC-2014-23
KC,Offensive Holding,10/19/2014,San Diego,R.Hudson,C,7,2014,KC-2014-24
KC,Defensive Pass Interference,10/19/2014,San Diego,J.Fleming,CB,7,2014,KC-2014-25
KC,Offensive Holding,10/19/2014,San Diego,A.Wilson,WR,7,2014,KC-2014-26
KC,False Start,10/19/2014,San Diego,E.Fisher,T,7,2014,KC-2014-27
KC,False Start,10/26/2014,St. Louis,Z.Fulton,G,8,2014,KC-2014-28
KC,False Start,10/26/2014,St. Louis,E.Fisher,T,8,2014,KC-2014-29
KC,Illegal Block Above the Waist,10/26/2014,St. Louis,C.Gray,RB,8,2014,KC-2014-30
KC,Illegal Use of Hands,10/26/2014,St. Louis,E.Fisher,T,8,2014,KC-2014-31
KC,Offensive Holding,10/26/2014,St. Louis,D.Bowe,WR,8,2014,KC-2014-32
KC,Offensive Holding,10/26/2014,St. Louis,A.Wilson,WR,8,2014,KC-2014-33
KC,Neutral Zone Infraction,11/02/2014,N.Y. Jets,J.Howard,DT,9,2014,KC-2014-34
KC,Tripping,11/02/2014,N.Y. Jets,C.Santos,K,9,2014,KC-2014-35
KC,False Start,11/02/2014,N.Y. Jets,M.McGlynn,G,9,2014,KC-2014-36
KC,Offensive Holding,11/09/2014,Buffalo,A.Fasano,TE,10,2014,KC-2014-37
KC,False Start,11/09/2014,Buffalo,E.Fisher,T,10,2014,KC-2014-38
KC,Unnecessary Roughness,11/09/2014,Buffalo,J.Johnson,LB,10,2014,KC-2014-39
