team,penalty,game,opponent,player,position,week,year,penaltyindex
MIA,Offensive Holding,09/12/2011,New England,A.Fasano,TE,1,2011,MIA-2011-0
MIA,Offensive Holding,09/12/2011,New England,R.Incognito,C,1,2011,MIA-2011-1
MIA,Defensive Offside,09/12/2011,New England,P.Merling,DE,1,2011,MIA-2011-2
MIA,Offensive Holding,09/12/2011,New England,R.Wallace,WR,1,2011,MIA-2011-3
MIA,Offensive Holding,09/12/2011,New England,R.Incognito,C,1,2011,MIA-2011-4
MIA,Encroachment,09/12/2011,New England,R.Starks,DT,1,2011,MIA-2011-5
MIA,Offensive Holding,09/12/2011,New England,J.Trusnik,LB,1,2011,MIA-2011-6
MIA,False Start,09/12/2011,New England,L.Hilliard,FB,1,2011,MIA-2011-7
MIA,Offensive Holding,09/18/2011,Houston,J.Trusnik,LB,2,2011,MIA-2011-8
MIA,False Start,09/18/2011,Houston,J.Long,T,2,2011,MIA-2011-9
MIA,Offensive Holding,09/18/2011,Houston,M.Colombo,T,2,2011,MIA-2011-10
MIA,Offensive Holding,09/25/2011,Cleveland,A.Fasano,TE,3,2011,MIA-2011-11
MIA,Illegal Formation,09/25/2011,Cleveland,J.Mastrud,TE,3,2011,MIA-2011-12
MIA,Offensive Holding,09/25/2011,Cleveland,N.Garner,G,3,2011,MIA-2011-13
MIA,False Start,09/25/2011,Cleveland,A.Fasano,TE,3,2011,MIA-2011-14
MIA,Unnecessary Roughness,09/25/2011,Cleveland,B.Marshall,WR,3,2011,MIA-2011-15
MIA,Roughing the Passer,09/25/2011,Cleveland,Y.Bell,SS,3,2011,MIA-2011-16
MIA,Offensive Holding,09/25/2011,Cleveland,J.Jerry,G,3,2011,MIA-2011-17
MIA,Defensive Pass Interference,09/25/2011,Cleveland,N.Carroll,CB,3,2011,MIA-2011-18
MIA,Roughing the Passer,09/25/2011,Cleveland,I.Olshansky,DT,3,2011,MIA-2011-19
MIA,Defensive Offside,09/25/2011,Cleveland,J.Taylor,CB,3,2011,MIA-2011-20
MIA,Horse Collar Tackle,10/02/2011,San Diego,A.Fasano,TE,4,2011,MIA-2011-21
MIA,Defensive Pass Interference,10/02/2011,San Diego,Y.Bell,SS,4,2011,MIA-2011-22
MIA,Illegal Contact,10/17/2011,N.Y. Jets,V.Davis,CB,6,2011,MIA-2011-23
MIA,Delay of Game,10/17/2011,N.Y. Jets,M.Moore,QB,6,2011,MIA-2011-24
MIA,Horse Collar Tackle,10/17/2011,N.Y. Jets,V.Davis,CB,6,2011,MIA-2011-25
MIA,Roughing the Passer,10/23/2011,Denver,Y.Bell,SS,7,2011,MIA-2011-26
MIA,Offside on Free Kick,10/23/2011,Denver,M.Mitchell,OLB,7,2011,MIA-2011-27
MIA,Defensive Offside,10/30/2011,N.Y. Giants,J.Odrick,DT,8,2011,MIA-2011-28
MIA,Low Block,10/30/2011,N.Y. Giants,J.Trusnik,LB,8,2011,MIA-2011-29
MIA,Neutral Zone Infraction,10/30/2011,N.Y. Giants,R.Starks,DT,8,2011,MIA-2011-30
MIA,Offensive Pass Interference,10/30/2011,N.Y. Giants,B.Marshall,WR,8,2011,MIA-2011-31
MIA,Player Out of Bounds on Punt,10/30/2011,N.Y. Giants,N.Carroll,CB,8,2011,MIA-2011-32
MIA,Defensive Pass Interference,11/06/2011,Kansas City,J.Wilson,DB,9,2011,MIA-2011-33
MIA,Defensive Pass Interference,11/06/2011,Kansas City,J.Wilson,DB,9,2011,MIA-2011-34
MIA,Personal Foul,11/06/2011,Kansas City,Y.Bell,SS,9,2011,MIA-2011-35
MIA,Unnecessary Roughness,11/06/2011,Kansas City,Y.Bell,SS,9,2011,MIA-2011-36
