team,penalty,game,opponent,player,position,week,year,penaltyindex
MIN,Encroachment,09/08/2013,Detroit,F.Evans,DT,1,2013,MIN-2013-0
MIN,Illegal Block Above the Waist,09/08/2013,Detroit,X.Rhodes,CB,1,2013,MIN-2013-1
MIN,Illegal Block Above the Waist,09/08/2013,Detroit,C.Greenway,OLB,1,2013,MIN-2013-2
MIN,Roughing the Passer,09/08/2013,Detroit,L.Guion,NT,1,2013,MIN-2013-3
MIN,Defensive Pass Interference,09/08/2013,Detroit,X.Rhodes,CB,1,2013,MIN-2013-4
MIN,Offensive Holding,09/15/2013,Chicago,L.Dean,LB,2,2013,MIN-2013-5
MIN,False Start,09/15/2013,Chicago,M.Kalil,T,2,2013,MIN-2013-6
MIN,Unnecessary Roughness,09/15/2013,Chicago,J.Sanford,SS,2,2013,MIN-2013-7
MIN,Illegal Block Above the Waist,09/22/2013,Cleveland,J.Robinson,CB,3,2013,MIN-2013-8
MIN,Neutral Zone Infraction,09/22/2013,Cleveland,J.Allen,LB,3,2013,MIN-2013-9
MIN,Illegal Use of Hands,09/22/2013,Cleveland,B.Robison,DE,3,2013,MIN-2013-10
MIN,Invalid Fair Catch Signal,09/29/2013,Pittsburgh,M.Sherels,CB,4,2013,MIN-2013-11
MIN,Unnecessary Roughness,09/29/2013,Pittsburgh,H.Smith,FS,4,2013,MIN-2013-12
MIN,Defensive Pass Interference,09/29/2013,Pittsburgh,J.Robinson,CB,4,2013,MIN-2013-13
MIN,Offensive Holding,09/29/2013,Pittsburgh,K.Rudolph,TE,4,2013,MIN-2013-14
MIN,Unnecessary Roughness,09/29/2013,Pittsburgh,A.Sendejo,SS,4,2013,MIN-2013-15
MIN,Defensive Holding,10/13/2013,Carolina,C.Cook,CB,6,2013,MIN-2013-16
MIN,Face Mask (15 Yards),10/13/2013,Carolina,S.Floyd,DT,6,2013,MIN-2013-17
MIN,Taunting,10/13/2013,Carolina,L.Guion,NT,6,2013,MIN-2013-18
MIN,Ineligible Downfield Pass,10/13/2013,Carolina,M.Kalil,T,6,2013,MIN-2013-19
MIN,False Start,10/13/2013,Carolina,P.Loadholt,T,6,2013,MIN-2013-20
MIN,Defensive Pass Interference,10/21/2013,N.Y. Giants,X.Rhodes,CB,7,2013,MIN-2013-21
MIN,False Start,10/21/2013,N.Y. Giants,P.Loadholt,T,7,2013,MIN-2013-22
MIN,Offensive Holding,10/21/2013,N.Y. Giants,R.Blanton,SS,7,2013,MIN-2013-23
MIN,Defensive Pass Interference,10/27/2013,Green Bay,X.Rhodes,CB,8,2013,MIN-2013-24
MIN,False Start,10/27/2013,Green Bay,M.Kalil,T,8,2013,MIN-2013-25
MIN,Defensive Offside,10/27/2013,Green Bay,K.Williams,DT,8,2013,MIN-2013-26
MIN,False Start,10/27/2013,Green Bay,B.Fusco,G,8,2013,MIN-2013-27
MIN,Defensive Offside,10/27/2013,Green Bay,C.Cook,CB,8,2013,MIN-2013-28
MIN,Offensive Holding,10/27/2013,Green Bay,B.Fusco,G,8,2013,MIN-2013-29
MIN,Illegal Touch Kick,10/27/2013,Green Bay,J.Robinson,CB,8,2013,MIN-2013-30
MIN,Offensive Holding,11/03/2013,Dallas,C.Johnson,WR,9,2013,MIN-2013-31
MIN,False Start,11/03/2013,Dallas,C.Loeffler,LS,9,2013,MIN-2013-32
MIN,Unnecessary Roughness,11/03/2013,Dallas,E.Henderson,LB,9,2013,MIN-2013-33
MIN,Delay of Game,11/03/2013,Dallas,C.Ponder,QB,9,2013,MIN-2013-34
MIN,Defensive Pass Interference,11/07/2013,Washington,X.Rhodes,CB,10,2013,MIN-2013-35
MIN,Illegal Use of Hands,11/07/2013,Washington,M.Kalil,T,10,2013,MIN-2013-36
MIN,Encroachment,11/17/2013,Seattle,F.Evans,DT,11,2013,MIN-2013-37
MIN,False Start,11/17/2013,Seattle,P.Loadholt,T,11,2013,MIN-2013-38
MIN,False Start,11/17/2013,Seattle,M.Kalil,T,11,2013,MIN-2013-39
MIN,False Start,11/24/2013,Green Bay,B.Fusco,G,12,2013,MIN-2013-40
MIN,Defensive Offside,11/24/2013,Green Bay,B.Robison,DE,12,2013,MIN-2013-41
MIN,Defensive Pass Interference,11/24/2013,Green Bay,M.Sherels,CB,12,2013,MIN-2013-42
MIN,Illegal Use of Hands,11/24/2013,Green Bay,J.Allen,LB,12,2013,MIN-2013-43
MIN,Defensive Offside,11/24/2013,Green Bay,E.Griffen,DE,12,2013,MIN-2013-44
MIN,Defensive Holding,11/24/2013,Green Bay,R.Blanton,SS,12,2013,MIN-2013-45
MIN,Defensive Holding,11/24/2013,Green Bay,R.Blanton,SS,12,2013,MIN-2013-46
MIN,Offensive Holding,12/01/2013,Chicago,G.Hodges,OLB,13,2013,MIN-2013-47
MIN,Defensive Offside,12/01/2013,Chicago,R.Blanton,SS,13,2013,MIN-2013-48
MIN,False Start,12/01/2013,Chicago,C.Johnson,WR,13,2013,MIN-2013-49
MIN,Offensive Holding,12/01/2013,Chicago,B.Fusco,G,13,2013,MIN-2013-50
MIN,Unsportsmanlike Conduct,12/01/2013,Chicago,C.Cook,CB,13,2013,MIN-2013-51
MIN,Face Mask (15 Yards),12/01/2013,Chicago,R.Ellison,TE,13,2013,MIN-2013-52
MIN,Offensive Holding,12/08/2013,Baltimore,C.Patterson,WR,14,2013,MIN-2013-53
MIN,Personal Foul,12/08/2013,Baltimore,J.Berger,C,14,2013,MIN-2013-54
MIN,Defensive Offside,12/08/2013,Baltimore,L.Guion,NT,14,2013,MIN-2013-55
MIN,Defensive Pass Interference,12/08/2013,Baltimore,R.Blanton,SS,14,2013,MIN-2013-56
MIN,Defensive Pass Interference,12/08/2013,Baltimore,C.Greenway,OLB,14,2013,MIN-2013-57
MIN,False Start,12/15/2013,Philadelphia,R.Ellison,TE,15,2013,MIN-2013-58
MIN,False Start,12/15/2013,Philadelphia,R.Smith,WR,15,2013,MIN-2013-59
MIN,Taunting,12/15/2013,Philadelphia,J.Simpson,WR,15,2013,MIN-2013-60
MIN,Encroachment,12/22/2013,Cincinnati,F.Evans,DT,16,2013,MIN-2013-61
MIN,Encroachment,12/22/2013,Cincinnati,F.Evans,DT,16,2013,MIN-2013-62
