team,penalty,game,opponent,player,position,week,year,penaltyindex
NYG,Defensive Holding,09/08/2014,Detroit,J.Williams,OLB,1,2014,NYG-2014-0
NYG,Offensive Holding,09/08/2014,Detroit,Q.Demps,DB,1,2014,NYG-2014-1
NYG,False Start,09/08/2014,Detroit,W.Richburg,C,1,2014,NYG-2014-2
NYG,False Start,09/08/2014,Detroit,J.Pugh,G,1,2014,NYG-2014-3
NYG,Unnecessary Roughness,09/14/2014,Arizona,J.McClain,MLB,2,2014,NYG-2014-4
NYG,Illegal Contact,09/14/2014,Arizona,D.Rodgers-Cromartie,CB,2,2014,NYG-2014-5
NYG,Illegal Contact,09/14/2014,Arizona,P.Amukamara,CB,2,2014,NYG-2014-6
NYG,Personal Foul,09/14/2014,Arizona,J.Pugh,G,2,2014,NYG-2014-7
NYG,Illegal Use of Hands,09/14/2014,Arizona,Q.Demps,DB,2,2014,NYG-2014-8
NYG,Offensive Holding,09/14/2014,Arizona,J.Walton,C,2,2014,NYG-2014-9
NYG,Illegal Contact,09/14/2014,Arizona,A.Rolle,DB,2,2014,NYG-2014-10
NYG,Illegal Contact,09/14/2014,Arizona,D.Rodgers-Cromartie,CB,2,2014,NYG-2014-11
NYG,Defensive Holding,09/14/2014,Arizona,T.McBride,CB,2,2014,NYG-2014-12
NYG,Defensive Holding,09/14/2014,Arizona,M.Herzlich,OLB,2,2014,NYG-2014-13
NYG,False Start,09/21/2014,Houston,D.Fells,TE,3,2014,NYG-2014-14
NYG,Offensive Holding,09/21/2014,Houston,D.Moore,DE,3,2014,NYG-2014-15
NYG,Defensive Holding,09/21/2014,Houston,D.Rodgers-Cromartie,CB,3,2014,NYG-2014-16
NYG,Offensive Pass Interference,09/21/2014,Houston,L.Donnell,TE,3,2014,NYG-2014-17
NYG,Defensive Pass Interference,09/21/2014,Houston,P.Amukamara,CB,3,2014,NYG-2014-18
NYG,Illegal Block Above the Waist,09/25/2014,Washington,N.Berhe,SS,4,2014,NYG-2014-19
NYG,Offensive Holding,09/25/2014,Washington,J.Jerry,G,4,2014,NYG-2014-20
NYG,Unnecessary Roughness,09/25/2014,Washington,Q.Demps,DB,4,2014,NYG-2014-21
NYG,Neutral Zone Infraction,09/25/2014,Washington,J.Pierre-Paul,DE,4,2014,NYG-2014-22
NYG,Offensive Holding,09/25/2014,Washington,D.Moore,DE,4,2014,NYG-2014-23
NYG,Offensive Holding,09/25/2014,Washington,M.Kiwanuka,DE,4,2014,NYG-2014-24
NYG,Offensive Holding,09/25/2014,Washington,B.Mosley,G,4,2014,NYG-2014-25
NYG,False Start,10/05/2014,Atlanta,J.Pugh,G,5,2014,NYG-2014-26
NYG,Illegal Use of Hands,10/05/2014,Atlanta,P.Amukamara,CB,5,2014,NYG-2014-27
NYG,Defensive Holding,10/05/2014,Atlanta,P.Amukamara,CB,5,2014,NYG-2014-28
NYG,Running Into the Kicker,10/05/2014,Atlanta,J.Pierre-Paul,DE,5,2014,NYG-2014-29
NYG,Offensive Holding,10/12/2014,Philadelphia,J.Jerry,G,6,2014,NYG-2014-30
NYG,Delay of Game,10/12/2014,Philadelphia,Unnamed,LB,6,2014,NYG-2014-31
NYG,False Start,10/12/2014,Philadelphia,M.Herzlich,OLB,6,2014,NYG-2014-32
NYG,Unnecessary Roughness,10/12/2014,Philadelphia,W.Richburg,C,6,2014,NYG-2014-33
NYG,Defensive Offside,10/12/2014,Philadelphia,J.Pierre-Paul,DE,6,2014,NYG-2014-34
NYG,False Start,10/12/2014,Philadelphia,J.Jerry,G,6,2014,NYG-2014-35
NYG,Offensive Holding,10/12/2014,Philadelphia,J.Pugh,G,6,2014,NYG-2014-36
NYG,Offensive Holding,10/12/2014,Philadelphia,W.Beatty,T,6,2014,NYG-2014-37
NYG,False Start,10/12/2014,Philadelphia,J.Jerry,G,6,2014,NYG-2014-38
NYG,Neutral Zone Infraction,10/12/2014,Philadelphia,A.Rolle,DB,6,2014,NYG-2014-39
NYG,False Start,10/19/2014,Dallas,W.Beatty,T,7,2014,NYG-2014-40
NYG,Offensive Holding,10/19/2014,Dallas,W.Beatty,T,7,2014,NYG-2014-41
NYG,Illegal Substitution,10/19/2014,Dallas,Unnamed,LB,7,2014,NYG-2014-42
NYG,False Start,10/19/2014,Dallas,J.Pugh,G,7,2014,NYG-2014-43
NYG,False Start,10/19/2014,Dallas,W.Richburg,C,7,2014,NYG-2014-44
NYG,Offensive Holding,10/19/2014,Dallas,R.Randle,WR,7,2014,NYG-2014-45
