team,penalty,game,opponent,player,position,week,year,penaltyindex
NYJ,Delay of Game,09/09/2012,Buffalo,M.Sanchez,QB,1,2012,NYJ-2012-0
NYJ,Offensive Holding,09/09/2012,Buffalo,N.Mangold,C,1,2012,NYJ-2012-1
NYJ,Personal Foul,09/09/2012,Buffalo,L.Landry,FS,1,2012,NYJ-2012-2
NYJ,Roughing the Passer,09/09/2012,Buffalo,Q.Coples,OLB,1,2012,NYJ-2012-3
NYJ,False Start,09/09/2012,Buffalo,B.Moore,G,1,2012,NYJ-2012-4
NYJ,Delay of Game,09/09/2012,Buffalo,T.Tebow,QB,1,2012,NYJ-2012-5
NYJ,Offensive Holding,09/16/2012,Pittsburgh,B.Powell,RB,2,2012,NYJ-2012-6
NYJ,Personal Foul,09/16/2012,Pittsburgh,L.Landry,FS,2,2012,NYJ-2012-7
NYJ,Offensive Holding,09/16/2012,Pittsburgh,S.Greene,RB,2,2012,NYJ-2012-8
NYJ,Horse Collar Tackle,09/16/2012,Pittsburgh,L.Landry,FS,2,2012,NYJ-2012-9
NYJ,Illegal Block Above the Waist,09/16/2012,Pittsburgh,K.Wilson,DB,2,2012,NYJ-2012-10
NYJ,Illegal Touch Kick,09/16/2012,Pittsburgh,I.Trufant,DB,2,2012,NYJ-2012-11
NYJ,Defensive Holding,09/16/2012,Pittsburgh,Y.Bell,SS,2,2012,NYJ-2012-12
NYJ,Illegal Contact,09/23/2012,Miami,B.Scott,ILB,3,2012,NYJ-2012-13
NYJ,False Start,09/23/2012,Miami,A.Howard,T,3,2012,NYJ-2012-14
NYJ,Roughing the Kicker,09/23/2012,Miami,E.Smith,FS,3,2012,NYJ-2012-15
NYJ,Unnecessary Roughness,09/23/2012,Miami,E.Smith,FS,3,2012,NYJ-2012-16
NYJ,False Start,09/23/2012,Miami,M.Slauson,G,3,2012,NYJ-2012-17
NYJ,Defensive Offside,09/23/2012,Miami,M.Dixon,DE,3,2012,NYJ-2012-18
NYJ,Defensive Pass Interference,09/23/2012,Miami,A.Cromartie,DB,3,2012,NYJ-2012-19
NYJ,Offensive Holding,09/23/2012,Miami,S.Holmes,WR,3,2012,NYJ-2012-20
NYJ,Defensive Pass Interference,09/23/2012,Miami,K.Wilson,DB,3,2012,NYJ-2012-21
NYJ,Defensive Pass Interference,09/30/2012,San Francisco,K.Wilson,DB,4,2012,NYJ-2012-22
NYJ,Illegal Contact,09/30/2012,San Francisco,A.Cromartie,DB,4,2012,NYJ-2012-23
NYJ,Defensive Holding,09/30/2012,San Francisco,B.Scott,ILB,4,2012,NYJ-2012-24
NYJ,False Start,10/08/2012,Houston,D.Ferguson,T,5,2012,NYJ-2012-25
NYJ,Illegal Touch Kick,10/08/2012,Houston,I.Trufant,DB,5,2012,NYJ-2012-26
NYJ,False Start,10/08/2012,Houston,V.Ducasse,T,5,2012,NYJ-2012-27
NYJ,False Start,10/08/2012,Houston,J.Hill,WR,5,2012,NYJ-2012-28
NYJ,Defensive Pass Interference,10/14/2012,Indianapolis,A.Allen,DB,6,2012,NYJ-2012-29
NYJ,Roughing the Passer,10/14/2012,Indianapolis,M.Wilkerson,DE,6,2012,NYJ-2012-30
NYJ,Personal Foul,10/14/2012,Indianapolis,A.Maybin,LB,6,2012,NYJ-2012-31
NYJ,Defensive Holding,10/14/2012,Indianapolis,E.Lankster,DB,6,2012,NYJ-2012-32
NYJ,Defensive Pass Interference,10/14/2012,Indianapolis,A.Cromartie,DB,6,2012,NYJ-2012-33
NYJ,False Start,10/14/2012,Indianapolis,M.Slauson,G,6,2012,NYJ-2012-34
NYJ,Illegal Contact,10/14/2012,Indianapolis,A.Cromartie,DB,6,2012,NYJ-2012-35
NYJ,Face Mask (15 Yards),10/14/2012,Indianapolis,Q.Coples,OLB,6,2012,NYJ-2012-36
NYJ,Defensive Pass Interference,10/14/2012,Indianapolis,A.Cromartie,DB,6,2012,NYJ-2012-37
NYJ,Offensive Holding,10/21/2012,New England,N.Bellore,LB,7,2012,NYJ-2012-38
NYJ,False Start,10/21/2012,New England,B.Moore,G,7,2012,NYJ-2012-39
NYJ,Encroachment,10/21/2012,New England,M.Wilkerson,DE,7,2012,NYJ-2012-40
NYJ,Illegal Kick,10/21/2012,New England,M.Sanchez,QB,7,2012,NYJ-2012-41
