team,penalty,game,opponent,player,position,week,year,penaltyindex
OAK,Unnecessary Roughness,09/10/2012,San Diego,K.Clayton,LB,1,2012,OAK-2012-0
OAK,Encroachment,09/10/2012,San Diego,T.Kelly,DE,1,2012,OAK-2012-1
OAK,Defensive Holding,09/10/2012,San Diego,T.Branch,DB,1,2012,OAK-2012-2
OAK,Defensive Offside,09/10/2012,San Diego,T.Kelly,DE,1,2012,OAK-2012-3
OAK,Delay of Game,09/10/2012,San Diego,C.Palmer,QB,1,2012,OAK-2012-4
OAK,Offensive Holding,09/16/2012,Miami,S.Wisniewski,C,2,2012,OAK-2012-5
OAK,Defensive Offside,09/16/2012,Miami,M.Shaughnessy,OLB,2,2012,OAK-2012-6
OAK,Offensive Holding,09/16/2012,Miami,B.Myers,TE,2,2012,OAK-2012-7
OAK,Illegal Block Above the Waist,09/16/2012,Miami,M.Reece,FB,2,2012,OAK-2012-8
OAK,Offensive Holding,09/16/2012,Miami,P.Adams,DB,2,2012,OAK-2012-9
OAK,Defensive Pass Interference,09/16/2012,Miami,S.Spencer,CB,2,2012,OAK-2012-10
OAK,Offensive Holding,09/16/2012,Miami,K.Barnes,T,2,2012,OAK-2012-11
OAK,Unnecessary Roughness,09/23/2012,Pittsburgh,T.Kelly,DE,3,2012,OAK-2012-12
OAK,False Start,09/23/2012,Pittsburgh,M.Reece,FB,3,2012,OAK-2012-13
OAK,False Start,09/23/2012,Pittsburgh,M.Brisiel,G,3,2012,OAK-2012-14
OAK,Offensive Holding,09/30/2012,Denver,C.Carlisle,G,4,2012,OAK-2012-15
OAK,Face Mask (15 Yards),09/30/2012,Denver,T.Jones,RB,4,2012,OAK-2012-16
OAK,Delay of Game,09/30/2012,Denver,C.Palmer,QB,4,2012,OAK-2012-17
OAK,Defensive Offside,09/30/2012,Denver,R.Seymour,DT,4,2012,OAK-2012-18
OAK,False Start,09/30/2012,Denver,M.Brisiel,G,4,2012,OAK-2012-19
OAK,Offensive Holding,10/14/2012,Atlanta,M.Reece,FB,6,2012,OAK-2012-20
OAK,Roughing the Passer,10/14/2012,Atlanta,M.Shaughnessy,OLB,6,2012,OAK-2012-21
OAK,Offensive Pass Interference,10/14/2012,Atlanta,B.Myers,TE,6,2012,OAK-2012-22
OAK,Offensive Holding,10/14/2012,Atlanta,W.Smith,T,6,2012,OAK-2012-23
OAK,Defensive Holding,10/14/2012,Atlanta,P.Wheeler,LB,6,2012,OAK-2012-24
OAK,Offensive Holding,10/14/2012,Atlanta,C.Francies,DB,6,2012,OAK-2012-25
OAK,False Start,10/14/2012,Atlanta,J.Veldheer,T,6,2012,OAK-2012-26
OAK,Offensive Holding,10/14/2012,Atlanta,T.Goethel,LB,6,2012,OAK-2012-27
OAK,Neutral Zone Infraction,10/14/2012,Atlanta,D.Tollefson,DE,6,2012,OAK-2012-28
OAK,Offensive Holding,10/14/2012,Atlanta,W.Smith,T,6,2012,OAK-2012-29
OAK,Offensive Holding,10/14/2012,Atlanta,W.Smith,T,6,2012,OAK-2012-30
OAK,Unnecessary Roughness,10/14/2012,Atlanta,B.Ross,SS,6,2012,OAK-2012-31
