gsisname,height,weight,college,birthdate,yearspro,team
S.Williams,71,185,Richmond,10/24/1986,1,
G.Brown,74,300,Minnesota,9/20/1988,2,
C.Bailey,72,192,Georgia,6/22/1978,16,
N.Collins,74,296,Virginia,12/14/1987,5,
T.Brown,68,165,Rutgers,11/9/1987,1,
D.Calhoun,74,200,Memphis,9/1/1987,3,
M.Greco,75,217,Central Florida,2/26/1987,2,
A.Okpokowuruk,74,253,Duke,6/19/1987,1,
J.Cordle,75,320,Ohio State,8/22/1987,3,
V.Cruz,72,204,Massachusetts,11/11/1986,6,NYG
B.Gradkowski,73,220,Toledo,1/27/1983,10,PIT
M.Hudson,74,200,North Carolina State,11/15/1982,5,
J.Mincey,76,280,Florida,12/14/1983,8,DAL
J.Webb,74,211,San Diego State,1/31/1982,4,
D.Coleman,69,180,Texas Christian,4/22/1983,7,
J.Clary,78,320,Kansas State,11/5/1983,8,
T.Stallings,75,305,Mississippi,1/8/1983,4,
K.Brown,71,215,Nebraska,12/23/1976,12,
K.Geathers,78,335,Georgia,10/4/1990,3,
B.Cotton,78,256,Nebraska,6/13/1989,0,
M.Cromartie,72,195,Wisconsin,12/3/1990,2,SF
F.Beltre,74,240,Towson,1/28/1990,0,
G.Brown,70,188,Kansas,1/21/1990,0,
J.Addae,70,195,Central Michigan,1/24/1990,3,SD
,78,323,Virginia Tech,2/11/1990,3,CHI
J.Mertile,73,197,Florida International,10/26/1989,1,
S.McHugh,77,265,Penn State,5/27/1982,6,
M.Clayton,75,202,LSU,10/13/1982,8,
K.Colbert,73,205,USC,5/21/1982,7,
J.Siavii,77,315,Oregon,11/14/1978,6,
S.Phillips,75,255,Purdue,5/13/1981,11,
K.Chambers,79,315,Stanford,3/19/1979,7,
E.Oglesby,71,182,North Alabama,12/18/1981,6,
M.Stewart,75,239,Vanderbilt,8/31/1979,10,
C.Buckhalter,72,223,Nebraska,10/6/1978,10,
J.Leonhard,68,188,Wisconsin,10/27/1982,10,
G.Ellis,78,265,North Carolina,8/14/1975,12,
J.Manziel,72,210,Texas A&M,12/6/1992,2,CLE
M.Evans,77,231,Texas A&M,8/21/1993,2,TB
J.Johnson,72,179,Southern Methodist,11/8/1991,1,
,76,302,San Diego State,6/26/1992,1,
J.Bromley,75,310,Syracuse,5/28/1992,2,NYG
Z.Martin,76,315,Notre Dame,11/20/1990,2,DAL
D.Bronson,70,210,Eastern Washington,3/6/1990,1,
A.Phillips,71,210,Texas,3/28/1992,1,SD
B.Bortles,77,245,Central Florida,4/28/1992,2,JAC
,77,237,Oklahoma,4/12/1993,0,TEN
,70,182,Kansas State,9/28/1992,0,SEA
,75,272,Michigan,6/14/1993,0,SEA
,73,200,Kansas,11/30/1991,0,OAK
,73,242,Minnesota,5/28/1993,0,DAL
,77,246,Rutgers,10/15/1992,0,CIN
,78,338,Penn State,6/23/1993,0,TB
R.McCoy,72,224,Tennessee,11/6/1987,1,
,77,293,Southern Methodist,2/15/1992,1,
,73,210,Alabama,6/17/1994,0,OAK
,75,215,West Virginia,6/25/1993,0,CHI
R.Sherman,75,195,Stanford,3/30/1988,5,SEA
,75,218,Louisville,1/20/1993,0,MIA
M.LeGree,72,211,Appalachian State,7/8/1989,1,
D.Hogue,74,245,Syracuse,2/1/1989,3,
,71,231,Central Florida,6/20/1993,0,
L.Smith,78,265,Marshall,11/21/1987,5,OAK
N.Enderle,76,240,Idaho,1/12/1988,2,
J.Vandervelde,74,300,Iowa,10/7/1987,4,
,71,188,Wake Forest,8/5/1992,0,HOU
,72,198,USC,5/24/1993,0,PHI
,75,195,Hampton,3/22/1991,2,
P.Ittersagen,70,191,Wheaton,9/28/1985,3,
N.Sukay,73,215,Penn State,3/9/1989,1,
R.McLeod,70,195,Virginia,6/23/1990,4,STL
J.Blatnick,75,253,Oklahoma State,6/24/1989,1,
,72,210,Norfolk State,2/28/1992,0,
A.Corp,76,195,Richmond,3/6/1989,0,
D.Howell,71,196,Stanford,11/17/1989,4,
,73,235,Nevada-Las Vegas,1/4/1992,0,
S.Powell,76,243,Florida State,11/29/1988,2,
R.Niswanger,77,301,LSU,11/9/1982,6,
B.Grimes,70,185,Shippensburg,7/19/1983,9,MIA
S.Williams,74,300,Northwest Missouri State,9/21/1981,4,
M.Richardson,71,190,Notre Dame,2/18/1984,4,
R.Barksdale,72,208,Albany,5/11/1984,3,
M.Crosby,73,207,Colorado,9/3/1984,9,GB
H.Taylor,76,305,Texas Christian,9/22/1984,6,
D.Anderson,70,240,Connecticut,1/27/1983,4,
D.Datish,76,305,Ohio State,8/1/1983,2,
C.Taylor,73,205,Auburn,4/7/1984,3,
M.Purcell,77,295,Hawaii,2/5/1984,3,
E.Steinbach,78,295,Iowa,4/4/1980,10,
C.Tillman,74,210,Louisiana-Lafayette,2/23/1981,13,CAR
C.Pace,76,265,Wake Forest,10/28/1980,13,NYJ
R.Grossman,73,225,Florida,8/23/1980,12,
H.Thomas,72,340,Northern Illinois,1/10/1974,14,
J.Witten,78,263,Tennessee,5/6/1982,13,DAL
L.Briggs,73,244,Arizona,11/12/1980,12,
R.Murray,71,196,Kent State,8/21/1987,3,
T.Nelson,71,200,Illinois State,12/4/1986,3,
G.Orton,75,199,Purdue,12/17/1986,2,
C.Pressley,71,260,Wisconsin,8/8/1986,5,
D.Skuta,74,265,Grand Valley State,4/21/1986,7,JAC
M.Garvin,68,182,Florida State,9/29/1986,0,
R.Walker,72,244,Kansas State,12/15/1986,7,
J.Dowling,75,205,Hawaii,12/29/1984,1,
,76,250,Northwestern,5/6/1991,0,
,78,300,Tennessee,2/24/1992,2,
K.Hyder,74,280,Texas Tech,5/2/1991,1,DET
,74,237,Boston College,10/24/1991,0,
D.Williams,69,205,Wagner,9/2/1990,1,
J.Howard,75,301,Florida,12/20/1988,4,KC
E.Rodriguez,74,239,Temple,9/21/1988,3,
L.Green,78,240,Louisiana-Lafayette,5/29/1990,4,SD
D.Wylie,69,187,Fresno State,9/2/1988,2,
R.Turbin,70,222,Utah State,12/2/1989,4,DAL
N.Bradham,74,241,Florida State,9/4/1989,4,BUF
J.Adams,71,185,Arkansas,11/22/1989,2,
F.Alexander,76,270,Oklahoma,12/17/1989,3,CAR
Q.Scott,75,220,Northern Iowa,5/31/1988,1,
J.Johnson,73,240,Nevada,8/20/1989,4,MIA
J.Looney,75,315,Wake Forest,8/31/1990,4,TEN
K.Darby,70,219,Alabama,12/26/1982,4,
M.Hamilton,71,185,Virginia,2/17/1984,3,
J.Snelling,71,234,Virginia,12/29/1983,7,
C.Harris,77,250,Rutgers,7/10/1984,7,CIN
A.Bradshaw,70,217,Marshall,3/19/1986,9,IND
D.Stanley,71,182,Wis.-Whitewater,8/27/1985,3,
J.Harris,72,200,South Dakota State,5/6/1986,1,
I.Johnson,71,212,Boise State,9/25/1985,2,
T.Johnson,74,285,LSU,9/26/1985,2,
J.Cooper,74,291,Oklahoma,10/1/1986,3,
R.Francois,74,255,Boston College,5/14/1985,4,
D.Hall,75,215,Utah State,9/8/1987,2,
N.Moore,74,186,Toledo,6/25/1986,0,
V.Perretta,69,186,Boise State,10/14/1985,0,
R.Lloyd,71,231,Minnesota,6/5/1982,5,
C.Kemoeatu,75,344,Utah,1/4/1983,7,
J.Williams,74,246,Kentucky,2/20/1986,2,
N.Washington,73,183,Tiffin University,8/28/1983,11,HOU
C.Obiozor,76,249,Texas A&M;,9/26/1986,4,
J.Aubrey,70,207,Stephen F. Austin St.,4/9/1991,3,TEN
M.Burdette,71,230,Alabama-Birmingham,9/9/1990,0,
C.Reeves,70,176,Troy,12/24/1989,0,
R.Griffin,77,210,Tulane,11/17/1989,2,TB
L.Thomas,72,185,New Mexico,4/23/1990,1,
C.Anderson,68,224,California,2/10/1991,3,DEN
I.Ndukwe,76,325,Northwestern,7/17/1982,7,
L.Ladouceur,77,256,California,3/13/1981,11,DAL
J.Ruffin,76,263,Northern Iowa,2/6/1987,1,
P.Parker,72,200,North Alabama,2/13/1987,4,
K.Rudolph,78,265,Notre Dame,11/9/1989,5,MIN
J.Williams,77,295,Harvard,7/3/1988,2,
C.Chancellor,69,180,Clemson,12/22/1986,1,
S.Wisniewski,75,305,Penn State,3/22/1989,5,JAC
S.Miller,76,310,Oklahoma State,3/24/1986,2,
J.Haggerty,73,195,Southwestern Oklahoma State,2/5/1988,2,
J.Reinders,80,318,Waterloo (Canada),10/2/1987,2,
D.Bowers,76,288,Clemson,2/23/1990,5,TB
M.Gilchrist,70,198,Clemson,12/8/1988,5,NYJ
D.Shannon,72,205,Buffalo,1/15/1989,1,
J.Clermond,74,250,Pittsburgh,11/13/1984,1,
