team,penalty,game,opponent,player,position,week,year,penaltyindex
SEA,Offensive Pass Interference,09/11/2011,San Francisco,A.McCoy,TE,1,2011,SEA-2011-0
SEA,Offensive Holding,09/11/2011,San Francisco,M.Smith,LB,1,2011,SEA-2011-1
SEA,False Start,09/11/2011,San Francisco,R.Okung,T,1,2011,SEA-2011-2
SEA,Encroachment,09/11/2011,San Francisco,T.Hargrove,DE,1,2011,SEA-2011-3
SEA,Defensive Pass Interference,09/11/2011,San Francisco,B.Browner,DB,1,2011,SEA-2011-4
SEA,Offensive Holding,09/11/2011,San Francisco,R.Okung,T,1,2011,SEA-2011-5
SEA,Illegal Block Above the Waist,09/11/2011,San Francisco,M.McCoy,LB,1,2011,SEA-2011-6
SEA,Offensive Holding,09/11/2011,San Francisco,J.Forsett,RB,1,2011,SEA-2011-7
SEA,Illegal Block Above the Waist,09/11/2011,San Francisco,A.Bigby,SS,1,2011,SEA-2011-8
SEA,Illegal Receiver Pass,09/11/2011,San Francisco,B.Giacomini,T,1,2011,SEA-2011-9
SEA,Horse Collar Tackle,09/11/2011,San Francisco,L.Hill,OLB,1,2011,SEA-2011-10
SEA,Roughing the Kicker,09/11/2011,San Francisco,B.Browner,DB,1,2011,SEA-2011-11
SEA,Illegal Substitution,09/11/2011,San Francisco,L.Washington,RB,1,2011,SEA-2011-12
SEA,Defensive Pass Interference,09/18/2011,Pittsburgh,B.Browner,DB,2,2011,SEA-2011-13
SEA,Face Mask (15 Yards),09/18/2011,Pittsburgh,R.Sherman,CB,2,2011,SEA-2011-14
SEA,Offensive Holding,09/18/2011,Pittsburgh,R.Gallery,G,2,2011,SEA-2011-15
SEA,False Start,09/18/2011,Pittsburgh,R.Okung,T,2,2011,SEA-2011-16
SEA,Roughing the Passer,09/18/2011,Pittsburgh,R.Brock,DE,2,2011,SEA-2011-17
SEA,False Start,09/18/2011,Pittsburgh,R.Okung,T,2,2011,SEA-2011-18
SEA,Delay of Game,09/18/2011,Pittsburgh,T.Jackson,QB,2,2011,SEA-2011-19
SEA,Illegal Contact,09/25/2011,Arizona,B.Browner,DB,3,2011,SEA-2011-20
SEA,Defensive Offside,09/25/2011,Arizona,R.Brock,DE,3,2011,SEA-2011-21
SEA,Offensive Holding,09/25/2011,Arizona,J.Carpenter,G,3,2011,SEA-2011-22
SEA,False Start,09/25/2011,Arizona,R.Okung,T,3,2011,SEA-2011-23
SEA,False Start,09/25/2011,Arizona,M.Unger,C,3,2011,SEA-2011-24
SEA,False Start,09/25/2011,Arizona,M.Williams,WR,3,2011,SEA-2011-25
SEA,Illegal Formation,09/25/2011,Arizona,B.Giacomini,T,3,2011,SEA-2011-26
SEA,Neutral Zone Infraction,09/25/2011,Arizona,R.Brock,DE,3,2011,SEA-2011-27
SEA,Delay of Game,09/25/2011,Arizona,J.Ryan,P,3,2011,SEA-2011-28
SEA,Defensive Pass Interference,09/25/2011,Arizona,M.Trufant,CB,3,2011,SEA-2011-29
SEA,False Start,10/02/2011,Atlanta,T.Hargrove,DE,4,2011,SEA-2011-30
SEA,Unsportsmanlike Conduct,10/02/2011,Atlanta,S.Rice,WR,4,2011,SEA-2011-31
SEA,Defensive Pass Interference,10/02/2011,Atlanta,A.Bigby,SS,4,2011,SEA-2011-32
SEA,Defensive Offside,10/02/2011,Atlanta,R.Bryant,DT,4,2011,SEA-2011-33
SEA,Defensive Holding,10/02/2011,Atlanta,B.Browner,DB,4,2011,SEA-2011-34
SEA,False Start,10/02/2011,Atlanta,S.Rice,WR,4,2011,SEA-2011-35
SEA,False Start,10/09/2011,N.Y. Giants,J.Carpenter,G,5,2011,SEA-2011-36
SEA,Neutral Zone Infraction,10/09/2011,N.Y. Giants,T.Hargrove,DE,5,2011,SEA-2011-37
SEA,Offensive Holding,10/09/2011,N.Y. Giants,B.Browner,DB,5,2011,SEA-2011-38
SEA,Illegal Block Above the Waist,10/09/2011,N.Y. Giants,J.Konz,TE,5,2011,SEA-2011-39
SEA,Offensive Holding,10/09/2011,N.Y. Giants,P.McQuistan,G,5,2011,SEA-2011-40
SEA,Defensive Holding,10/09/2011,N.Y. Giants,B.Browner,DB,5,2011,SEA-2011-41
SEA,Offensive Holding,10/09/2011,N.Y. Giants,B.Browner,DB,5,2011,SEA-2011-42
SEA,False Start,10/09/2011,N.Y. Giants,T.Jackson,QB,5,2011,SEA-2011-43
SEA,False Start,10/09/2011,N.Y. Giants,A.McCoy,TE,5,2011,SEA-2011-44
SEA,Offensive Holding,10/09/2011,N.Y. Giants,B.Obomanu,WR,5,2011,SEA-2011-45
SEA,False Start,10/23/2011,Cleveland,J.Carpenter,G,7,2011,SEA-2011-46
SEA,Delay of Game,10/23/2011,Cleveland,C.Whitehurst,QB,7,2011,SEA-2011-47
SEA,False Start,10/23/2011,Cleveland,J.Carpenter,G,7,2011,SEA-2011-48
SEA,Offensive Holding,10/23/2011,Cleveland,L.Jeanpierre,C,7,2011,SEA-2011-49
SEA,Unnecessary Roughness,10/23/2011,Cleveland,K.Chancellor,SS,7,2011,SEA-2011-50
SEA,Neutral Zone Infraction,10/23/2011,Cleveland,M.Smith,LB,7,2011,SEA-2011-51
SEA,Illegal Block Above the Waist,10/23/2011,Cleveland,K.Cox,DB,7,2011,SEA-2011-52
SEA,Offensive Pass Interference,10/23/2011,Cleveland,D.Baldwin,WR,7,2011,SEA-2011-53
SEA,Unsportsmanlike Conduct,10/23/2011,Cleveland,R.Bryant,DT,7,2011,SEA-2011-54
SEA,Personal Foul,10/30/2011,Cincinnati,B.Browner,DB,8,2011,SEA-2011-55
SEA,Neutral Zone Infraction,10/30/2011,Cincinnati,C.Clemons,DE,8,2011,SEA-2011-56
SEA,Offensive Holding,10/30/2011,Cincinnati,J.Carpenter,G,8,2011,SEA-2011-57
SEA,Encroachment,10/30/2011,Cincinnati,R.Bryant,DT,8,2011,SEA-2011-58
SEA,Defensive Pass Interference,10/30/2011,Cincinnati,B.Browner,DB,8,2011,SEA-2011-59
SEA,False Start,10/30/2011,Cincinnati,J.Moffitt,G,8,2011,SEA-2011-60
SEA,False Start,10/30/2011,Cincinnati,J.Carpenter,G,8,2011,SEA-2011-61
