team,penalty,game,opponent,player,position,week,year,penaltyindex
SF,Roughing the Kicker,09/11/2011,Seattle,T.Gooden,LB,1,2011,SF-2011-0
SF,False Start,09/11/2011,Seattle,J.Staley,T,1,2011,SF-2011-1
SF,False Start,09/11/2011,Seattle,V.Davis,TE,1,2011,SF-2011-2
SF,Unnecessary Roughness,09/11/2011,Seattle,S.Spencer,CB,1,2011,SF-2011-3
SF,Offensive Holding,09/11/2011,Seattle,B.Miller,FB,1,2011,SF-2011-4
SF,Defensive Offside,09/11/2011,Seattle,J.Smith,DE,1,2011,SF-2011-5
SF,Unnecessary Roughness,09/11/2011,Seattle,R.Jean Francois,DT,1,2011,SF-2011-6
SF,Unnecessary Roughness,09/11/2011,Seattle,M.Williams,FS,1,2011,SF-2011-7
SF,Illegal Block Above the Waist,09/11/2011,Seattle,J.Morgan,WR,1,2011,SF-2011-8
SF,False Start,09/11/2011,Seattle,C.Rachal,G,1,2011,SF-2011-9
SF,Roughing the Passer,09/11/2011,Seattle,A.Brooks,OLB,1,2011,SF-2011-10
SF,Delay of Game,09/18/2011,Dallas,A.Lee,P,2,2011,SF-2011-11
SF,False Start,09/18/2011,Dallas,F.Gore,RB,2,2011,SF-2011-12
SF,Defensive Offside,09/18/2011,Dallas,A.Brooks,OLB,2,2011,SF-2011-13
SF,Illegal Formation,09/18/2011,Dallas,A.Snyder,G,2,2011,SF-2011-14
SF,Delay of Game,09/18/2011,Dallas,A.Smith,QB,2,2011,SF-2011-15
SF,Offensive Holding,09/25/2011,Cincinnati,C.Rachal,G,3,2011,SF-2011-16
SF,Illegal Block Above the Waist,09/25/2011,Cincinnati,C.Culliver,DB,3,2011,SF-2011-17
SF,False Start,09/25/2011,Cincinnati,J.Staley,T,3,2011,SF-2011-18
SF,Defensive Offside,09/25/2011,Cincinnati,P.Haralson,OLB,3,2011,SF-2011-19
SF,Offensive Holding,09/25/2011,Cincinnati,C.Rachal,G,3,2011,SF-2011-20
SF,False Start,09/25/2011,Cincinnati,A.Davis,T,3,2011,SF-2011-21
SF,False Start,09/25/2011,Cincinnati,C.Rachal,G,3,2011,SF-2011-22
SF,Illegal Touch Pass,09/25/2011,Cincinnati,M.Crabtree,WR,3,2011,SF-2011-23
SF,Encroachment,09/25/2011,Cincinnati,A.Brooks,OLB,3,2011,SF-2011-24
SF,Offensive Holding,09/25/2011,Cincinnati,A.Dixon,RB,3,2011,SF-2011-25
SF,Delay of Game,09/25/2011,Cincinnati,A.Lee,P,3,2011,SF-2011-26
SF,Offensive Holding,10/02/2011,Philadelphia,B.Miller,FB,4,2011,SF-2011-27
SF,Tripping,10/02/2011,Philadelphia,A.Davis,T,4,2011,SF-2011-28
SF,False Start,10/02/2011,Philadelphia,J.Staley,T,4,2011,SF-2011-29
SF,Tripping,10/02/2011,Philadelphia,A.Davis,T,4,2011,SF-2011-30
SF,Defensive Offside,10/02/2011,Philadelphia,A.Brooks,OLB,4,2011,SF-2011-31
SF,Defensive Offside,10/02/2011,Philadelphia,A.Brooks,OLB,4,2011,SF-2011-32
SF,Offensive Holding,10/09/2011,Tampa Bay,C.Culliver,DB,5,2011,SF-2011-33
SF,Offensive Holding,10/09/2011,Tampa Bay,M.Iupati,G,5,2011,SF-2011-34
SF,False Start,10/09/2011,Tampa Bay,D.Walker,TE,5,2011,SF-2011-35
SF,Unnecessary Roughness,10/09/2011,Tampa Bay,D.Goldson,DB,5,2011,SF-2011-36
SF,Roughing the Passer,10/16/2011,Detroit,Ald.Smith,DE,6,2011,SF-2011-37
SF,Neutral Zone Infraction,10/16/2011,Detroit,Ald.Smith,DE,6,2011,SF-2011-38
SF,False Start,10/16/2011,Detroit,D.Walker,TE,6,2011,SF-2011-39
SF,False Start,10/16/2011,Detroit,A.Davis,T,6,2011,SF-2011-40
SF,Illegal Formation,10/16/2011,Detroit,A.Davis,T,6,2011,SF-2011-41
SF,Defensive Pass Interference,10/16/2011,Detroit,C.Rogers,CB,6,2011,SF-2011-42
SF,False Start,10/16/2011,Detroit,B.Miller,FB,6,2011,SF-2011-43
SF,False Start,10/16/2011,Detroit,J.Staley,T,6,2011,SF-2011-44
SF,Unnecessary Roughness,10/16/2011,Detroit,I.Sopoaga,NT,6,2011,SF-2011-45
SF,Defensive Holding,10/16/2011,Detroit,N.Bowman,ILB,6,2011,SF-2011-46
SF,Illegal Formation,10/16/2011,Detroit,A.Davis,T,6,2011,SF-2011-47
SF,Offensive Holding,10/16/2011,Detroit,A.Snyder,G,6,2011,SF-2011-48
SF,Encroachment,10/16/2011,Detroit,R.McDonald,DE,6,2011,SF-2011-49
SF,False Start,10/16/2011,Detroit,J.Peelle,TE,6,2011,SF-2011-50
SF,Delay of Game,10/16/2011,Detroit,D.Goldson,DB,6,2011,SF-2011-51
SF,Player Out of Bounds on Punt,10/16/2011,Detroit,C.Culliver,DB,6,2011,SF-2011-52
SF,False Start,10/30/2011,Cleveland,B.Miller,FB,8,2011,SF-2011-53
SF,False Start,10/30/2011,Cleveland,A.Boone,G,8,2011,SF-2011-54
SF,Unnecessary Roughness,10/30/2011,Cleveland,D.Goldson,DB,8,2011,SF-2011-55
SF,Ineligible Downfield Kick,10/30/2011,Cleveland,B.Costanzo,LB,8,2011,SF-2011-56
SF,Roughing the Passer,10/30/2011,Cleveland,J.Smith,DE,8,2011,SF-2011-57
SF,Delay of Game,11/06/2011,Washington,A.Smith,QB,9,2011,SF-2011-58
SF,Defensive Holding,11/06/2011,Washington,J.Smith,DE,9,2011,SF-2011-59
SF,Defensive Offside,11/06/2011,Washington,R.Jean Francois,DT,9,2011,SF-2011-60
SF,Defensive Offside,11/06/2011,Washington,A.Brooks,OLB,9,2011,SF-2011-61
SF,False Start,11/06/2011,Washington,J.Peelle,TE,9,2011,SF-2011-62
SF,Offensive Pass Interference,11/06/2011,Washington,T.Ginn,WR,9,2011,SF-2011-63
SF,Offside on Free Kick,11/06/2011,Washington,B.Miller,FB,9,2011,SF-2011-64
SF,Offensive Holding,11/06/2011,Washington,J.Goodwin,C,9,2011,SF-2011-65
