team,penalty,game,opponent,player,position,week,year,penaltyindex
STL,Offensive Holding,09/08/2013,Arizona,J.Long,T,1,2013,STL-2013-0
STL,False Start,09/08/2013,Arizona,R.Saffold,G,1,2013,STL-2013-1
STL,Unnecessary Roughness,09/08/2013,Arizona,C.Finnegan,CB,1,2013,STL-2013-2
STL,Unnecessary Roughness,09/08/2013,Arizona,W.Hayes,DE,1,2013,STL-2013-3
STL,Offensive Holding,09/08/2013,Arizona,J.Cook,TE,1,2013,STL-2013-4
STL,Unnecessary Roughness,09/08/2013,Arizona,C.Finnegan,CB,1,2013,STL-2013-5
STL,Illegal Contact,09/08/2013,Arizona,C.Finnegan,CB,1,2013,STL-2013-6
STL,Taunting,09/08/2013,Arizona,E.Sims,DE,1,2013,STL-2013-7
STL,Defensive Offside,09/15/2013,Atlanta,C.Long,DE,2,2013,STL-2013-8
STL,Offensive Holding,09/15/2013,Atlanta,T.Barnes,C,2,2013,STL-2013-9
STL,Illegal Motion,09/15/2013,Atlanta,A.Pettis,WR,2,2013,STL-2013-10
STL,Illegal Block Above the Waist,09/15/2013,Atlanta,S.Bailey,WR,2,2013,STL-2013-11
STL,Offensive Holding,09/15/2013,Atlanta,S.Bailey,WR,2,2013,STL-2013-12
STL,Offensive Holding,09/15/2013,Atlanta,S.Wells,C,2,2013,STL-2013-13
STL,Illegal Block Above the Waist,09/15/2013,Atlanta,R.Armstrong,OLB,2,2013,STL-2013-14
STL,Illegal Motion,09/22/2013,Dallas,J.Cook,TE,3,2013,STL-2013-15
STL,Defensive Pass Interference,09/22/2013,Dallas,T.Johnson,CB,3,2013,STL-2013-16
STL,Offensive Holding,09/22/2013,Dallas,R.Armstrong,OLB,3,2013,STL-2013-17
STL,Offensive Holding,09/22/2013,Dallas,H.Dahl,G,3,2013,STL-2013-18
STL,Illegal Blindside Block,09/22/2013,Dallas,T.McDonald,SS,3,2013,STL-2013-19
STL,Offensive Holding,09/22/2013,Dallas,B.McGee,DB,3,2013,STL-2013-20
STL,Defensive Offside,09/22/2013,Dallas,C.Finnegan,CB,3,2013,STL-2013-21
STL,Illegal Blindside Block,09/22/2013,Dallas,B.McGee,DB,3,2013,STL-2013-22
STL,Fair Catch Interference,09/26/2013,San Francisco,R.Armstrong,OLB,4,2013,STL-2013-23
STL,Encroachment,09/26/2013,San Francisco,K.Langford,DE,4,2013,STL-2013-24
STL,Defensive Pass Interference,09/26/2013,San Francisco,J.Jenkins,CB,4,2013,STL-2013-25
STL,Offensive Holding,09/26/2013,San Francisco,T.Johnson,CB,4,2013,STL-2013-26
