Stadium,Capacity,City,State/Province,Surface,HTeam,Opened
MetLife Stadium,82566,East Rutherford,New Jersey,FieldTurf,New York Giants,2010
MetLife Stadium,82566,East Rutherford,New Jersey,FieldTurf,New York Jets,2010
Cowboys Stadium,80000,Arlington,Texas,Matrix RealGrassartificial turf[3],Dallas Cowboys,2009
FedEx Field,79000,Landover,Maryland,419 Tifway Bermuda Grass,Washington Redskins,1997
Mercedes-Benz Superdome,76468,New Orleans,Louisiana,UBU-Intensity Series- S5-M Synthetic Turf,New Orleans Saints,1975
Arrowhead Stadium,76416,Kansas City,Missouri,Grass,Kansas City Chiefs,1972
Sports Authority Field at Mile High,76125,Denver,Colorado,Desso GrassMaster,Denver Broncos,2001
Sun Life Stadium,75192,Miami Gardens,Florida,419 Tifway Bermuda Grass,Miami Dolphins,1987
Bank of America Stadium,73778,Charlotte,North Carolina,Grass,Carolina Panthers,1996
FirstEnergy Stadium,73200,Cleveland,Ohio,Kentucky Bluegrass,Cleveland Browns,1999
Lambeau Field,81435,Green Bay,Wisconsin,Desso GrassMaster,Green Bay Packers,1957
Ralph Wilson Stadium,73079,Orchard Park,New York,A-Turf Titan,Buffalo Bills,1973
Qualcomm Stadium,71294,San Diego,California,Grass,San Diego Chargers,1967
Georgia Dome,71228,Atlanta,Georgia,FieldTurf,Atlanta Falcons,1992
Reliant Stadium,71054,Houston,Texas,419 Tifway Bermuda Grass,Houston Texans,2002
M&T Bank Stadium,71008,Baltimore,Maryland,Sportexe Momentum Turf,Baltimore Ravens,1998
Lincoln Financial Field,69144,Philadelphia,Pennsylvania,Desso GrassMaster,Philadelphia Eagles,2003
Nissan Stadium,69143,Nashville,Tennessee,419 Tifway Bermuda Grass,Tennessee Titans,1999
Gillette Stadium,68756,Foxborough,Massachusetts,FieldTurf,New England Patriots,2002
Levi's Stadium,68500,Santa Clara,California,Grass,San Francisco 49ers,2014
EverBank Field,67164,Jacksonville,Florida,419 Tifway Bermuda Grass,Jacksonville Jaguars,1995
CenturyLink Field,67000,Seattle,Washington,FieldTurf,Seattle Seahawks,2002
Edward Jones Dome,66965,St. Louis,Missouri,AstroTurf GameDay Grass 3D,St. Louis Rams,1995
Raymond James Stadium,65908,Tampa,Florida,419 Tifway Bermuda Grass,Tampa Bay Buccaneers,1998
Paul Brown Stadium,65790,Cincinnati,Ohio,FieldTurf,Cincinnati Bengals,2000
Heinz Field,65050,Pittsburgh,Pennsylvania,Grass,Pittsburgh Steelers,2001
Ford Field,64500,Detroit,Michigan,FieldTurf,Detroit Lions,2002
University of Phoenix Stadium,63400,Glendale,Arizona,419 Tifway Bermuda Grass,Arizona Cardinals,2006
O.co Coliseum,63026,Oakland,California,Grass,Oakland Raiders,1966
Lucas Oil Stadium,63000,Indianapolis,Indiana,FieldTurf,Indianapolis Colts,2008
Soldier Field,61500,Chicago,Illinois,Grass,Chicago Bears,1924
TCF Bank Stadium,50805,Minneapolis,Minnesota,FieldTurfRevolution,Minnesota Vikings,2009
