team,penalty,game,opponent,player,position,week,year,penaltyindex
TB,Defensive Offside,09/11/2011,Detroit,G.McCoy,DT,1,2011,TB-2011-0
TB,Unsportsmanlike Conduct,09/11/2011,Detroit,A.Talib,CB,1,2011,TB-2011-1
TB,Neutral Zone Infraction,09/11/2011,Detroit,G.McCoy,DT,1,2011,TB-2011-2
TB,Illegal Contact,09/11/2011,Detroit,A.Talib,CB,1,2011,TB-2011-3
TB,False Start,09/18/2011,Minnesota,J.Faine,C,2,2011,TB-2011-4
TB,False Start,09/18/2011,Minnesota,D.Penn,T,2,2011,TB-2011-5
TB,Offensive Holding,09/18/2011,Minnesota,A.Talib,CB,2,2011,TB-2011-6
TB,Illegal Block Above the Waist,09/18/2011,Minnesota,E.Mack,DB,2,2011,TB-2011-7
TB,Offensive Holding,09/18/2011,Minnesota,J.Zuttah,C,2,2011,TB-2011-8
TB,Defensive Pass Interference,09/18/2011,Minnesota,M.Foster,LB,2,2011,TB-2011-9
TB,Neutral Zone Infraction,09/25/2011,Atlanta,E.Mack,DB,3,2011,TB-2011-10
TB,Neutral Zone Infraction,09/25/2011,Atlanta,D.Watson,LB,3,2011,TB-2011-11
TB,Neutral Zone Infraction,09/25/2011,Atlanta,G.Hayes,OLB,3,2011,TB-2011-12
TB,Defensive Offside,09/25/2011,Atlanta,M.Bennett,DE,3,2011,TB-2011-13
TB,Offensive Holding,09/25/2011,Atlanta,L.Stocker,TE,3,2011,TB-2011-14
TB,Illegal Forward Pass,09/25/2011,Atlanta,J.Freeman,QB,3,2011,TB-2011-15
TB,Offensive Holding,09/25/2011,Atlanta,D.Penn,T,3,2011,TB-2011-16
TB,Face Mask (15 Yards),09/25/2011,Atlanta,A.Benn,WR,3,2011,TB-2011-17
TB,Defensive Offside,09/25/2011,Atlanta,R.Miller,DT,3,2011,TB-2011-18
TB,Roughing the Passer,09/25/2011,Atlanta,G.McCoy,DT,3,2011,TB-2011-19
TB,Neutral Zone Infraction,10/03/2011,Indianapolis,B.Price,DT,4,2011,TB-2011-20
TB,Neutral Zone Infraction,10/03/2011,Indianapolis,A.Clayborn,DE,4,2011,TB-2011-21
TB,Offensive Holding,10/03/2011,Indianapolis,K.Winslow,TE,4,2011,TB-2011-22
TB,Illegal Touch Pass,10/03/2011,Indianapolis,A.Benn,WR,4,2011,TB-2011-23
TB,Defensive Holding,10/03/2011,Indianapolis,A.Talib,CB,4,2011,TB-2011-24
TB,Offensive Holding,10/03/2011,Indianapolis,D.Penn,T,4,2011,TB-2011-25
TB,Unnecessary Roughness,10/03/2011,Indianapolis,A.Talib,CB,4,2011,TB-2011-26
TB,Illegal Block Above the Waist,10/03/2011,Indianapolis,M.Lewis,DB,4,2011,TB-2011-27
TB,Unnecessary Roughness,10/03/2011,Indianapolis,P.Parker,WR,4,2011,TB-2011-28
TB,Offensive 12 On-field,10/03/2011,Indianapolis,D.Briscoe,WR,4,2011,TB-2011-29
TB,Offensive Holding,10/03/2011,Indianapolis,J.Zuttah,C,4,2011,TB-2011-30
TB,Defensive Pass Interference,10/03/2011,Indianapolis,R.Barber,FS,4,2011,TB-2011-31
TB,Offensive Holding,10/03/2011,Indianapolis,D.Joseph,G,4,2011,TB-2011-32
TB,Face Mask (15 Yards),10/03/2011,Indianapolis,K.Winslow,TE,4,2011,TB-2011-33
