team,penalty,game,opponent,player,position,week,year,penaltyindex
TEN,Offensive Pass Interference,09/08/2013,Pittsburgh,D.Walker,TE,1,2013,TEN-2013-0
TEN,Illegal Shift,09/08/2013,Pittsburgh,D.Reynaud,WR,1,2013,TEN-2013-1
TEN,Chop Block,09/08/2013,Pittsburgh,C.Johnson,RB,1,2013,TEN-2013-2
TEN,Offensive Holding,09/08/2013,Pittsburgh,K.Britt,WR,1,2013,TEN-2013-3
TEN,False Start,09/08/2013,Pittsburgh,J.Battle,RB,1,2013,TEN-2013-4
TEN,Unnecessary Roughness,09/08/2013,Pittsburgh,D.Stewart,T,1,2013,TEN-2013-5
TEN,Face Mask (15 Yards),09/08/2013,Pittsburgh,A.Ayers,LB,1,2013,TEN-2013-6
TEN,Unsportsmanlike Conduct,09/15/2013,Houston,K.Wright,WR,2,2013,TEN-2013-7
TEN,Offensive Holding,09/15/2013,Houston,D.Walker,TE,2,2013,TEN-2013-8
TEN,Offensive Holding,09/15/2013,Houston,K.Britt,WR,2,2013,TEN-2013-9
TEN,Roughing the Passer,09/15/2013,Houston,R.Pitoitua,DE,2,2013,TEN-2013-10
TEN,Personal Foul,09/15/2013,Houston,R.Turner,G,2,2013,TEN-2013-11
TEN,Offensive Holding,09/15/2013,Houston,R.Turner,G,2,2013,TEN-2013-12
TEN,Delay of Game,09/15/2013,Houston,J.Locker,QB,2,2013,TEN-2013-13
TEN,False Start,09/15/2013,Houston,A.Levitre,G,2,2013,TEN-2013-14
TEN,False Start,09/22/2013,San Diego,K.Britt,WR,3,2013,TEN-2013-15
TEN,Illegal Touch Kick,09/22/2013,San Diego,T.Campbell,DB,3,2013,TEN-2013-16
TEN,Unnecessary Roughness,09/22/2013,San Diego,M.Fokou,LB,3,2013,TEN-2013-17
TEN,Illegal Block Above the Waist,09/22/2013,San Diego,A.Verner,CB,3,2013,TEN-2013-18
TEN,Offensive Holding,09/22/2013,San Diego,A.Levitre,G,3,2013,TEN-2013-19
TEN,Defensive Pass Interference,09/22/2013,San Diego,B.Pollard,SS,3,2013,TEN-2013-20
TEN,Illegal Block Above the Waist,09/22/2013,San Diego,K.Britt,WR,3,2013,TEN-2013-21
TEN,Defensive Pass Interference,09/22/2013,San Diego,C.Sensabaugh,CB,3,2013,TEN-2013-22
TEN,Defensive Holding,09/22/2013,San Diego,A.Verner,CB,3,2013,TEN-2013-23
TEN,Offensive Holding,09/22/2013,San Diego,R.Turner,G,3,2013,TEN-2013-24
TEN,Illegal Block Above the Waist,09/22/2013,San Diego,M.Preston,WR,3,2013,TEN-2013-25
TEN,Neutral Zone Infraction,09/29/2013,N.Y. Jets,J.Casey,DT,4,2013,TEN-2013-26
TEN,Offensive Holding,09/29/2013,N.Y. Jets,A.Levitre,G,4,2013,TEN-2013-27
TEN,Player Out of Bounds on Punt,09/29/2013,N.Y. Jets,T.Campbell,DB,4,2013,TEN-2013-28
TEN,Illegal Block Above the Waist,09/29/2013,N.Y. Jets,C.Sensabaugh,CB,4,2013,TEN-2013-29
TEN,Neutral Zone Infraction,10/06/2013,Kansas City,M.Griffin,FS,5,2013,TEN-2013-30
TEN,Encroachment,10/06/2013,Kansas City,A.Johnson,DT,5,2013,TEN-2013-31
