team,penalty,game,opponent,player,position,week,year,penaltyindex
WAS,Offensive Holding,09/11/2011,N.Y. Giants,J.Brown,T,1,2011,WAS-2011-0
WAS,Illegal Block Above the Waist,09/11/2011,N.Y. Giants,R.Jackson,OLB,1,2011,WAS-2011-1
WAS,Delay of Game,09/11/2011,N.Y. Giants,R.Grossman,QB,1,2011,WAS-2011-2
WAS,False Start,09/18/2011,Arizona,Trent.Williams,T,2,2011,WAS-2011-3
WAS,Offside on Free Kick,09/18/2011,Arizona,R.Jackson,OLB,2,2011,WAS-2011-4
WAS,Delay of Game,09/18/2011,Arizona,G.Gano,K,2,2011,WAS-2011-5
WAS,Defensive Pass Interference,09/26/2011,Dallas,K.Barnes,DB,3,2011,WAS-2011-6
WAS,Defensive Holding,09/26/2011,Dallas,O.Atogwe,DB,3,2011,WAS-2011-7
WAS,Face Mask (15 Yards),09/26/2011,Dallas,D.Hall,CB,3,2011,WAS-2011-8
WAS,False Start,09/26/2011,Dallas,J.Brown,T,3,2011,WAS-2011-9
WAS,False Start,10/02/2011,St. Louis,J.Brown,T,4,2011,WAS-2011-10
WAS,Intentional Grounding,10/02/2011,St. Louis,R.Grossman,QB,4,2011,WAS-2011-11
WAS,Unnecessary Roughness,10/02/2011,St. Louis,P.Riley,ILB,4,2011,WAS-2011-12
WAS,Unnecessary Roughness,10/02/2011,St. Louis,N.Paul,TE,4,2011,WAS-2011-13
WAS,Delay of Game,10/02/2011,St. Louis,R.Grossman,QB,4,2011,WAS-2011-14
WAS,Offensive Holding,10/02/2011,St. Louis,D.Gomes,DB,4,2011,WAS-2011-15
WAS,Offensive Holding,10/02/2011,St. Louis,W.Montgomery,C,4,2011,WAS-2011-16
WAS,Offensive Holding,10/02/2011,St. Louis,Trent.Williams,T,4,2011,WAS-2011-17
WAS,Unnecessary Roughness,10/02/2011,St. Louis,D.Hall,CB,4,2011,WAS-2011-18
WAS,Roughing the Passer,10/02/2011,St. Louis,R.Jackson,OLB,4,2011,WAS-2011-19
WAS,Offensive Holding,10/16/2011,Philadelphia,Trent.Williams,T,6,2011,WAS-2011-20
WAS,Unnecessary Roughness,10/16/2011,Philadelphia,Trent.Williams,T,6,2011,WAS-2011-21
WAS,Roughing the Passer,10/16/2011,Philadelphia,R.McIntosh,LB,6,2011,WAS-2011-22
WAS,Offensive Holding,10/16/2011,Philadelphia,K.Golston,DE,6,2011,WAS-2011-23
WAS,Offensive Pass Interference,10/16/2011,Philadelphia,F.Davis,TE,6,2011,WAS-2011-24
WAS,Illegal Contact,10/16/2011,Philadelphia,J.Wilson,DB,6,2011,WAS-2011-25
WAS,False Start,10/16/2011,Philadelphia,E.Cook,C,6,2011,WAS-2011-26
WAS,False Start,10/16/2011,Philadelphia,E.Cook,C,6,2011,WAS-2011-27
WAS,Illegal Use of Hands,10/16/2011,Philadelphia,J.Brown,T,6,2011,WAS-2011-28
WAS,Delay of Game,10/16/2011,Philadelphia,S.Rocca,P,6,2011,WAS-2011-29
WAS,False Start,10/23/2011,Carolina,F.Davis,TE,7,2011,WAS-2011-30
WAS,Intentional Grounding,10/23/2011,Carolina,J.Beck,QB,7,2011,WAS-2011-31
WAS,Offensive Holding,10/23/2011,Carolina,S.Locklear,G,7,2011,WAS-2011-32
WAS,Defensive Pass Interference,10/30/2011,Buffalo,J.Wilson,DB,8,2011,WAS-2011-33
WAS,Face Mask (15 Yards),10/30/2011,Buffalo,F.Davis,TE,8,2011,WAS-2011-34
WAS,Personal Foul,11/06/2011,San Francisco,Trent.Williams,T,9,2011,WAS-2011-35
WAS,False Start,11/06/2011,San Francisco,Trent.Williams,T,9,2011,WAS-2011-36
WAS,Illegal Crackback,11/06/2011,San Francisco,T.Austin,WR,9,2011,WAS-2011-37
WAS,Personal Foul,11/13/2011,Miami,P.Riley,ILB,10,2011,WAS-2011-38
WAS,Offensive Holding,11/13/2011,Miami,L.Paulsen,TE,10,2011,WAS-2011-39
WAS,Personal Foul,11/13/2011,Miami,R.Kerrigan,OLB,10,2011,WAS-2011-40
WAS,Offensive Holding,11/13/2011,Miami,Trent.Williams,T,10,2011,WAS-2011-41
WAS,Neutral Zone Infraction,11/13/2011,Miami,R.Kerrigan,OLB,10,2011,WAS-2011-42
WAS,Offensive Holding,11/13/2011,Miami,S.Locklear,G,10,2011,WAS-2011-43
WAS,Face Mask (15 Yards),11/13/2011,Miami,L.Landry,FS,10,2011,WAS-2011-44
WAS,Illegal Block Above the Waist,11/20/2011,Dallas,T.Austin,WR,11,2011,WAS-2011-45
WAS,Defensive Pass Interference,11/20/2011,Dallas,J.Wilson,DB,11,2011,WAS-2011-46
WAS,Offensive Holding,11/20/2011,Dallas,T.Polumbus,T,11,2011,WAS-2011-47
