team,penalty,game,opponent,player,position,week,year,penaltyindex
GB,False Start,09/08/2011,New Orleans,T.Lang,G,1,2011,GB-2011-0
GB,False Start,09/08/2011,New Orleans,T.Lang,G,1,2011,GB-2011-1
GB,Defensive Offside,09/08/2011,New Orleans,C.Matthews,OLB,1,2011,GB-2011-2
GB,Unnecessary Roughness,09/08/2011,New Orleans,C.Woodson,FS,1,2011,GB-2011-3
GB,Illegal Block Above the Waist,09/08/2011,New Orleans,J.Kuhn,FB,1,2011,GB-2011-4
GB,Defensive Pass Interference,09/08/2011,New Orleans,A.Hawk,LB,1,2011,GB-2011-5
GB,Illegal Contact,09/18/2011,Carolina,C.Woodson,FS,2,2011,GB-2011-6
GB,Roughing the Passer,09/18/2011,Carolina,D.Bishop,LB,2,2011,GB-2011-7
GB,False Start,09/18/2011,Carolina,J.Finley,TE,2,2011,GB-2011-8
GB,Offensive Holding,09/18/2011,Carolina,B.Bulaga,T,2,2011,GB-2011-9
GB,Offensive Holding,09/18/2011,Carolina,C.Clifton,T,2,2011,GB-2011-10
GB,Illegal Use of Hands,09/18/2011,Carolina,C.Woodson,FS,2,2011,GB-2011-11
GB,False Start,09/18/2011,Carolina,T.Crabtree,TE,2,2011,GB-2011-12
GB,Offensive Holding,09/18/2011,Carolina,J.Sitton,G,2,2011,GB-2011-13
GB,Offensive Holding,09/18/2011,Carolina,B.Bulaga,T,2,2011,GB-2011-14
GB,False Start,09/25/2011,Chicago,T.Lang,G,3,2011,GB-2011-15
GB,Illegal Formation,09/25/2011,Chicago,J.Sitton,G,3,2011,GB-2011-16
GB,False Start,09/25/2011,Chicago,J.Sitton,G,3,2011,GB-2011-17
GB,Offensive Holding,09/25/2011,Chicago,C.Clifton,T,3,2011,GB-2011-18
GB,False Start,09/25/2011,Chicago,M.Newhouse,G,3,2011,GB-2011-19
GB,Delay of Game,09/25/2011,Chicago,A.Rodgers,QB,3,2011,GB-2011-20
GB,False Start,09/25/2011,Chicago,T.Lang,G,3,2011,GB-2011-21
GB,False Start,09/25/2011,Chicago,C.Clifton,T,3,2011,GB-2011-22
GB,Defensive Holding,09/25/2011,Chicago,C.Woodson,FS,3,2011,GB-2011-23
GB,Roughing the Passer,09/25/2011,Chicago,E.Walden,OLB,3,2011,GB-2011-24
GB,Delay of Game,09/25/2011,Chicago,A.Rodgers,QB,3,2011,GB-2011-25
GB,Ineligible Downfield Pass,09/25/2011,Chicago,M.Newhouse,G,3,2011,GB-2011-26
GB,Illegal Block Above the Waist,10/02/2011,Denver,A.Green,RB,4,2011,GB-2011-27
GB,Offensive Holding,10/02/2011,Denver,S.Wells,C,4,2011,GB-2011-28
GB,Offensive Pass Interference,10/02/2011,Denver,G.Jennings,WR,4,2011,GB-2011-29
GB,False Start,10/09/2011,Atlanta,T.Lang,G,5,2011,GB-2011-30
GB,Offensive Holding,10/09/2011,Atlanta,J.Sitton,G,5,2011,GB-2011-31
GB,Illegal Use of Hands,10/09/2011,Atlanta,E.Walden,OLB,5,2011,GB-2011-32
GB,Unnecessary Roughness,10/09/2011,Atlanta,A.Hawk,LB,5,2011,GB-2011-33
GB,Defensive Holding,10/09/2011,Atlanta,D.Bishop,LB,5,2011,GB-2011-34
GB,Offensive Holding,10/16/2011,St. Louis,M.Newhouse,G,6,2011,GB-2011-35
GB,Defensive Offside,10/16/2011,St. Louis,C.Matthews,OLB,6,2011,GB-2011-36
GB,Offensive Holding,10/16/2011,St. Louis,R.Taylor,TE,6,2011,GB-2011-37
GB,Offensive Holding,10/16/2011,St. Louis,M.Jennings,FS,6,2011,GB-2011-38
GB,False Start,10/16/2011,St. Louis,R.Cobb,WR,6,2011,GB-2011-39
GB,Illegal Block Above the Waist,10/23/2011,Minnesota,M.Jennings,FS,7,2011,GB-2011-40
GB,Illegal Shift,10/23/2011,Minnesota,G.Jennings,WR,7,2011,GB-2011-41
GB,Delay of Game,10/23/2011,Minnesota,A.Rodgers,QB,7,2011,GB-2011-42
GB,False Start,10/23/2011,Minnesota,B.Bulaga,T,7,2011,GB-2011-43
GB,Roughing the Passer,10/23/2011,Minnesota,C.Matthews,OLB,7,2011,GB-2011-44
GB,False Start,10/23/2011,Minnesota,J.Finley,TE,7,2011,GB-2011-45
GB,False Start,11/06/2011,San Diego,T.Lang,G,9,2011,GB-2011-46
GB,Defensive Holding,11/06/2011,San Diego,C.Woodson,FS,9,2011,GB-2011-47
GB,False Start,11/06/2011,San Diego,S.Wells,C,9,2011,GB-2011-48
GB,Defensive Pass Interference,11/06/2011,San Diego,C.Woodson,FS,9,2011,GB-2011-49
GB,Defensive Pass Interference,11/06/2011,San Diego,C.Woodson,FS,9,2011,GB-2011-50
GB,False Start,11/14/2011,Minnesota,J.Finley,TE,10,2011,GB-2011-51
GB,Offensive Holding,11/20/2011,Tampa Bay,J.Sitton,G,11,2011,GB-2011-52
GB,Roughing the Passer,11/20/2011,Tampa Bay,T.Williams,DB,11,2011,GB-2011-53
GB,Offensive Pass Interference,11/20/2011,Tampa Bay,J.Finley,TE,11,2011,GB-2011-54
GB,Illegal Block Above the Waist,11/20/2011,Tampa Bay,R.Taylor,TE,11,2011,GB-2011-55
GB,Offensive Holding,11/20/2011,Tampa Bay,J.Sitton,G,11,2011,GB-2011-56
GB,False Start,11/20/2011,Tampa Bay,J.Sitton,G,11,2011,GB-2011-57
GB,Illegal Block Above the Waist,11/20/2011,Tampa Bay,J.Jones,WR,11,2011,GB-2011-58
GB,Illegal Contact,11/20/2011,Tampa Bay,S.Shields,CB,11,2011,GB-2011-59
GB,Illegal Use of Hands,11/24/2011,Detroit,B.Bulaga,T,12,2011,GB-2011-60
GB,Offensive Holding,11/24/2011,Detroit,J.Kuhn,FB,12,2011,GB-2011-61
GB,Offensive Pass Interference,11/24/2011,Detroit,G.Jennings,WR,12,2011,GB-2011-62
GB,Offensive Holding,11/24/2011,Detroit,B.Bulaga,T,12,2011,GB-2011-63
GB,Disqualification,11/24/2011,Detroit,P.Lee,CB,12,2011,GB-2011-64
GB,Illegal Formation,11/24/2011,Detroit,G.Jennings,WR,12,2011,GB-2011-65
GB,False Start,11/24/2011,Detroit,J.Finley,TE,12,2011,GB-2011-66
GB,False Start,11/24/2011,Detroit,J.Jones,WR,12,2011,GB-2011-67
GB,Defensive Offside,11/24/2011,Detroit,C.Matthews,OLB,12,2011,GB-2011-68
GB,False Start,12/04/2011,N.Y. Giants,M.Newhouse,G,13,2011,GB-2011-69
GB,Illegal Contact,12/04/2011,N.Y. Giants,C.Woodson,FS,13,2011,GB-2011-70
GB,Roughing the Passer,12/04/2011,N.Y. Giants,C.Woodson,FS,13,2011,GB-2011-71
GB,False Start,12/04/2011,N.Y. Giants,R.Pickett,NT,13,2011,GB-2011-72
GB,Clipping,12/11/2011,Oakland,E.Dietrich-Smith,C,14,2011,GB-2011-73
GB,False Start,12/11/2011,Oakland,D.Sherrod,T,14,2011,GB-2011-74
GB,False Start,12/11/2011,Oakland,E.Dietrich-Smith,C,14,2011,GB-2011-75
GB,False Start,12/11/2011,Oakland,R.Taylor,TE,14,2011,GB-2011-76
GB,Offensive Pass Interference,12/18/2011,Kansas City,J.Nelson,WR,15,2011,GB-2011-77
GB,Offensive Pass Interference,12/18/2011,Kansas City,J.Nelson,WR,15,2011,GB-2011-78
GB,Offensive Holding,12/18/2011,Kansas City,J.Bush,CB,15,2011,GB-2011-79
GB,False Start,12/18/2011,Kansas City,D.Sherrod,T,15,2011,GB-2011-80
GB,Illegal Motion,12/18/2011,Kansas City,J.Nelson,WR,15,2011,GB-2011-81
GB,False Start,12/18/2011,Kansas City,M.Newhouse,G,15,2011,GB-2011-82
GB,Defensive Offside,12/25/2011,Chicago,J.Bush,CB,16,2011,GB-2011-83
GB,Unsportsmanlike Conduct,01/01/2012,Detroit,R.Grant,RB,17,2011,GB-2011-84
