team,penalty,game,opponent,player,position,week,year,penaltyindex
HOU,Offensive Holding,09/07/2014,Washington,C.Myers,C,1,2014,HOU-2014-0
HOU,Offensive Holding,09/07/2014,Washington,B.Brooks,G,1,2014,HOU-2014-1
HOU,Offensive Holding,09/07/2014,Washington,J.Tuggle,ILB,1,2014,HOU-2014-2
HOU,Illegal Contact,09/07/2014,Washington,K.Jackson,CB,1,2014,HOU-2014-3
HOU,Roughing the Passer,09/07/2014,Washington,D.Swearinger,DB,1,2014,HOU-2014-4
HOU,Offensive Pass Interference,09/07/2014,Washington,K.Martin,WR,1,2014,HOU-2014-5
HOU,Offensive Holding,09/07/2014,Washington,A.Hal,DB,1,2014,HOU-2014-6
HOU,False Start,09/07/2014,Washington,D.Hopkins,WR,1,2014,HOU-2014-7
HOU,Delay of Game,09/14/2014,Oakland,R.Fitzpatrick,QB,2,2014,HOU-2014-8
HOU,Offensive Holding,09/14/2014,Oakland,R.Griffin,TE,2,2014,HOU-2014-9
HOU,Defensive Offside,09/14/2014,Oakland,J.Joseph,CB,2,2014,HOU-2014-10
HOU,Offensive Holding,09/14/2014,Oakland,C.Myers,C,2,2014,HOU-2014-11
HOU,Offensive Holding,09/14/2014,Oakland,R.Griffin,TE,2,2014,HOU-2014-12
HOU,Illegal Use of Hands,09/14/2014,Oakland,T.Jamison,NT,2,2014,HOU-2014-13
HOU,Offensive Holding,09/14/2014,Oakland,D.Newton,T,2,2014,HOU-2014-14
HOU,Defensive Pass Interference,09/14/2014,Oakland,A.Bouye,CB,2,2014,HOU-2014-15
HOU,Defensive Offside,09/14/2014,Oakland,B.Reed,LB,2,2014,HOU-2014-16
HOU,Chop Block,09/14/2014,Oakland,B.Brooks,G,2,2014,HOU-2014-17
HOU,Offside on Free Kick,09/14/2014,Oakland,D.Brown,T,2,2014,HOU-2014-18
HOU,False Start,09/21/2014,N.Y. Giants,C.Fiedorowicz,TE,3,2014,HOU-2014-19
HOU,Illegal Use of Hands,09/21/2014,N.Y. Giants,B.Brooks,G,3,2014,HOU-2014-20
HOU,Illegal Formation,09/21/2014,N.Y. Giants,T.Clabo,T,3,2014,HOU-2014-21
HOU,Face Mask (15 Yards),09/21/2014,N.Y. Giants,K.Lewis,DB,3,2014,HOU-2014-22
HOU,Defensive Holding,09/21/2014,N.Y. Giants,D.Manning,SS,3,2014,HOU-2014-23
HOU,Roughing the Passer,09/28/2014,Buffalo,J.Watt,DE,4,2014,HOU-2014-24
HOU,Roughing the Passer,09/28/2014,Buffalo,J.Watt,DE,4,2014,HOU-2014-25
HOU,Unnecessary Roughness,09/28/2014,Buffalo,D.Brown,T,4,2014,HOU-2014-26
HOU,Unsportsmanlike Conduct,09/28/2014,Buffalo,D.Hopkins,WR,4,2014,HOU-2014-27
HOU,False Start,09/28/2014,Buffalo,D.Brown,T,4,2014,HOU-2014-28
HOU,Offensive Pass Interference,09/28/2014,Buffalo,D.Brown,T,4,2014,HOU-2014-29
HOU,False Start,09/28/2014,Buffalo,B.Brooks,G,4,2014,HOU-2014-30
HOU,Offensive Pass Interference,09/28/2014,Buffalo,D.Hopkins,WR,4,2014,HOU-2014-31
HOU,False Start,10/05/2014,Dallas,C.Fiedorowicz,TE,5,2014,HOU-2014-32
HOU,Offensive Holding,10/05/2014,Dallas,B.Jones,C,5,2014,HOU-2014-33
HOU,Ineligible Downfield Pass,10/05/2014,Dallas,D.Brown,T,5,2014,HOU-2014-34
HOU,Delay of Game,10/05/2014,Dallas,R.Fitzpatrick,QB,5,2014,HOU-2014-35
HOU,Offensive Holding,10/05/2014,Dallas,B.Brooks,G,5,2014,HOU-2014-36
HOU,Illegal Contact,10/09/2014,Indianapolis,B.Cushing,ILB,6,2014,HOU-2014-37
HOU,Defensive Pass Interference,10/09/2014,Indianapolis,J.Joseph,CB,6,2014,HOU-2014-38
HOU,Offensive Holding,10/09/2014,Indianapolis,C.Fiedorowicz,TE,6,2014,HOU-2014-39
HOU,Defensive Holding,10/09/2014,Indianapolis,J.Tarpinian,MLB,6,2014,HOU-2014-40
HOU,Defensive Pass Interference,10/09/2014,Indianapolis,A.Bouye,CB,6,2014,HOU-2014-41
HOU,Offensive Pass Interference,10/09/2014,Indianapolis,A.Johnson,WR,6,2014,HOU-2014-42
HOU,Defensive Holding,10/20/2014,Pittsburgh,J.Joseph,CB,7,2014,HOU-2014-43
HOU,Defensive Offside,10/20/2014,Pittsburgh,J.Watt,DE,7,2014,HOU-2014-44
HOU,False Start,10/20/2014,Pittsburgh,C.Fiedorowicz,TE,7,2014,HOU-2014-45
HOU,Defensive Holding,10/20/2014,Pittsburgh,K.Jackson,CB,7,2014,HOU-2014-46
HOU,Clipping,10/26/2014,Tennessee,G.Graham,TE,8,2014,HOU-2014-47
HOU,Offensive Holding,10/26/2014,Tennessee,E.Pleasant,DB,8,2014,HOU-2014-48
HOU,Delay of Game,10/26/2014,Tennessee,R.Fitzpatrick,QB,8,2014,HOU-2014-49
HOU,False Start,10/26/2014,Tennessee,B.Jones,C,8,2014,HOU-2014-50
HOU,False Start,11/02/2014,Philadelphia,D.Newton,T,9,2014,HOU-2014-51
HOU,False Start,11/02/2014,Philadelphia,D.Brown,T,9,2014,HOU-2014-52
HOU,Illegal Contact,11/02/2014,Philadelphia,A.Hal,DB,9,2014,HOU-2014-53
HOU,Illegal Block Above the Waist,11/02/2014,Philadelphia,J.Prosch,FB,9,2014,HOU-2014-54
HOU,Offensive Holding,11/02/2014,Philadelphia,D.Brown,T,9,2014,HOU-2014-55
HOU,Defensive Holding,11/02/2014,Philadelphia,A.Bouye,CB,9,2014,HOU-2014-56
HOU,Offensive Holding,11/02/2014,Philadelphia,B.Jones,C,9,2014,HOU-2014-57
HOU,False Start,11/02/2014,Philadelphia,D.Newton,T,9,2014,HOU-2014-58
HOU,Illegal Block Above the Waist,11/02/2014,Philadelphia,J.Aubrey,DB,9,2014,HOU-2014-59
HOU,Roughing the Kicker,11/16/2014,Cleveland,J.Watt,DE,11,2014,HOU-2014-60
HOU,Roughing the Kicker,11/16/2014,Cleveland,J.Watt,DE,11,2014,HOU-2014-61
HOU,Offensive Holding,11/16/2014,Cleveland,B.Brooks,G,11,2014,HOU-2014-62
HOU,Offensive Holding,11/16/2014,Cleveland,D.Newton,T,11,2014,HOU-2014-63
HOU,Neutral Zone Infraction,11/16/2014,Cleveland,W.Mercilus,OLB,11,2014,HOU-2014-64
HOU,Illegal Contact,11/23/2014,Cincinnati,A.Dent,ILB,12,2014,HOU-2014-65
HOU,Illegal Use of Hands,11/23/2014,Cincinnati,E.Pleasant,DB,12,2014,HOU-2014-66
HOU,Illegal Contact,11/23/2014,Cincinnati,J.Joseph,CB,12,2014,HOU-2014-67
HOU,False Start,11/23/2014,Cincinnati,D.Newton,T,12,2014,HOU-2014-68
HOU,Neutral Zone Infraction,11/23/2014,Cincinnati,J.Clowney,OLB,12,2014,HOU-2014-69
HOU,False Start,11/30/2014,Tennessee,X.Su'a,G,13,2014,HOU-2014-70
HOU,Defensive Holding,11/30/2014,Tennessee,A.Bouye,CB,13,2014,HOU-2014-71
HOU,Illegal Contact,11/30/2014,Tennessee,J.Tuggle,ILB,13,2014,HOU-2014-72
HOU,Offensive Pass Interference,11/30/2014,Tennessee,R.Griffin,TE,13,2014,HOU-2014-73
HOU,Defensive Pass Interference,11/30/2014,Tennessee,D.Morris,DB,13,2014,HOU-2014-74
HOU,Defensive Holding,11/30/2014,Tennessee,B.Cushing,ILB,13,2014,HOU-2014-75
HOU,Illegal Formation,11/30/2014,Tennessee,D.Newton,T,13,2014,HOU-2014-76
HOU,Roughing the Passer,11/30/2014,Tennessee,W.Mercilus,OLB,13,2014,HOU-2014-77
HOU,Offensive Holding,12/07/2014,Jacksonville,C.Fiedorowicz,TE,14,2014,HOU-2014-78
HOU,Defensive Holding,12/07/2014,Jacksonville,A.Bouye,CB,14,2014,HOU-2014-79
HOU,Defensive Offside,12/07/2014,Jacksonville,J.Watt,DE,14,2014,HOU-2014-80
HOU,Defensive Offside,12/07/2014,Jacksonville,J.Watt,DE,14,2014,HOU-2014-81
HOU,Personal Foul,12/07/2014,Jacksonville,D.Swearinger,DB,14,2014,HOU-2014-82
HOU,Offensive Pass Interference,12/07/2014,Jacksonville,D.Johnson,RB,14,2014,HOU-2014-83
HOU,Roughing the Passer,12/07/2014,Jacksonville,B.Reed,LB,14,2014,HOU-2014-84
HOU,Defensive Holding,12/14/2014,Indianapolis,K.Jackson,CB,15,2014,HOU-2014-85
HOU,Defensive Pass Interference,12/14/2014,Indianapolis,A.Bouye,CB,15,2014,HOU-2014-86
HOU,Defensive Holding,12/14/2014,Indianapolis,B.Cushing,ILB,15,2014,HOU-2014-87
HOU,Defensive Holding,12/14/2014,Indianapolis,K.Jackson,CB,15,2014,HOU-2014-88
HOU,Illegal Substitution,12/14/2014,Indianapolis,D.Posey,WR,15,2014,HOU-2014-89
HOU,Roughing the Passer,12/14/2014,Indianapolis,J.Crick,DE,15,2014,HOU-2014-90
