team,penalty,game,opponent,player,position,week,year,penaltyindex
JAC,Offensive Holding,09/11/2011,Tennessee,W.Rackley,G,1,2011,JAC-2011-0
JAC,Offensive Holding,09/11/2011,Tennessee,B.Meester,C,1,2011,JAC-2011-1
JAC,False Start,09/11/2011,Tennessee,K.Bosworth,LB,1,2011,JAC-2011-2
JAC,Offensive Holding,09/11/2011,Tennessee,W.Rackley,G,1,2011,JAC-2011-3
JAC,Delay of Game,09/11/2011,Tennessee,M.Turk,P,1,2011,JAC-2011-4
JAC,Encroachment,09/11/2011,Tennessee,R.Mathis,CB,1,2011,JAC-2011-5
JAC,Defensive Offside,09/11/2011,Tennessee,J.Mincey,DE,1,2011,JAC-2011-6
JAC,Defensive Pass Interference,09/11/2011,Tennessee,R.Mathis,CB,1,2011,JAC-2011-7
JAC,Personal Foul,09/18/2011,N.Y. Jets,E.Monroe,T,2,2011,JAC-2011-8
JAC,Unnecessary Roughness,09/18/2011,N.Y. Jets,D.Lowery,DB,2,2011,JAC-2011-9
JAC,Illegal Contact,09/18/2011,N.Y. Jets,D.Landry,SS,2,2011,JAC-2011-10
JAC,Neutral Zone Infraction,09/25/2011,Carolina,J.Mincey,DE,3,2011,JAC-2011-11
JAC,Illegal Use of Hands,09/25/2011,Carolina,E.Monroe,T,3,2011,JAC-2011-12
JAC,False Start,09/25/2011,Carolina,C.Shorts,WR,3,2011,JAC-2011-13
JAC,Face Mask (15 Yards),09/25/2011,Carolina,D.Lowery,DB,3,2011,JAC-2011-14
JAC,False Start,09/25/2011,Carolina,J.Cain,LS,3,2011,JAC-2011-15
JAC,False Start,09/25/2011,Carolina,E.Britton,T,3,2011,JAC-2011-16
JAC,Offensive Holding,09/25/2011,Carolina,E.Monroe,T,3,2011,JAC-2011-17
JAC,Offensive Pass Interference,09/25/2011,Carolina,M.Thomas,WR,3,2011,JAC-2011-18
JAC,Offensive Holding,10/02/2011,New Orleans,M.Thomas,WR,4,2011,JAC-2011-19
JAC,Offensive Holding,10/02/2011,New Orleans,B.Meester,C,4,2011,JAC-2011-20
JAC,Offensive Holding,10/09/2011,Cincinnati,B.Meester,C,5,2011,JAC-2011-21
JAC,Player Out of Bounds on Punt,10/09/2011,Cincinnati,R.Issac,DB,5,2011,JAC-2011-22
JAC,Illegal Motion,10/09/2011,Cincinnati,M.Lewis,TE,5,2011,JAC-2011-23
JAC,False Start,10/16/2011,Pittsburgh,G.Whimper,T,6,2011,JAC-2011-24
JAC,Face Mask (15 Yards),10/16/2011,Pittsburgh,R.Mathis,CB,6,2011,JAC-2011-25
JAC,Encroachment,10/16/2011,Pittsburgh,J.Mincey,DE,6,2011,JAC-2011-26
JAC,Offensive Holding,10/16/2011,Pittsburgh,W.Rackley,G,6,2011,JAC-2011-27
JAC,Unnecessary Roughness,10/16/2011,Pittsburgh,G.Jones,RB,6,2011,JAC-2011-28
JAC,Illegal Block Above the Waist,10/24/2011,Baltimore,T.Heath,DB,7,2011,JAC-2011-29
JAC,Offensive Holding,10/24/2011,Baltimore,W.Middleton,DB,7,2011,JAC-2011-30
JAC,False Start,10/24/2011,Baltimore,W.Middleton,DB,7,2011,JAC-2011-31
JAC,Offensive Holding,10/24/2011,Baltimore,B.Meester,C,7,2011,JAC-2011-32
JAC,Neutral Zone Infraction,10/24/2011,Baltimore,M.Roth,DE,7,2011,JAC-2011-33
JAC,Defensive Offside,10/24/2011,Baltimore,C.Session,LB,7,2011,JAC-2011-34
JAC,Defensive Pass Interference,10/24/2011,Baltimore,D.Lowery,DB,7,2011,JAC-2011-35
JAC,Offensive Holding,10/24/2011,Baltimore,R.Allen,OLB,7,2011,JAC-2011-36
JAC,False Start,10/30/2011,Houston,J.Hill,WR,8,2011,JAC-2011-37
JAC,Illegal Block Above the Waist,10/30/2011,Houston,T.Heath,DB,8,2011,JAC-2011-38
JAC,False Start,10/30/2011,Houston,W.Rackley,G,8,2011,JAC-2011-39
JAC,Offensive Holding,10/30/2011,Houston,M.Lewis,TE,8,2011,JAC-2011-40
JAC,Personal Foul,10/30/2011,Houston,W.Rackley,G,8,2011,JAC-2011-41
JAC,Defensive Offside,10/30/2011,Houston,C.Session,LB,8,2011,JAC-2011-42
JAC,Ineligible Downfield Kick,11/13/2011,Indianapolis,C.Prosinski,SS,10,2011,JAC-2011-43
JAC,Face Mask (15 Yards),11/13/2011,Indianapolis,D.Cox,CB,10,2011,JAC-2011-44
JAC,Face Mask (15 Yards),11/13/2011,Indianapolis,N.Collins,DT,10,2011,JAC-2011-45
JAC,Offensive Holding,11/13/2011,Indianapolis,G.Whimper,T,10,2011,JAC-2011-46
JAC,Face Mask (15 Yards),11/13/2011,Indianapolis,C.Prosinski,SS,10,2011,JAC-2011-47
JAC,Offside on Free Kick,11/20/2011,Cleveland,T.Heath,DB,11,2011,JAC-2011-48
JAC,Defensive Offside,11/20/2011,Cleveland,J.Chick,DE,11,2011,JAC-2011-49
JAC,Offensive Holding,11/20/2011,Cleveland,G.Whimper,T,11,2011,JAC-2011-50
JAC,Encroachment,11/20/2011,Cleveland,T.Alualu,DE,11,2011,JAC-2011-51
JAC,Defensive Pass Interference,11/20/2011,Cleveland,D.Landry,SS,11,2011,JAC-2011-52
JAC,Offensive Holding,11/20/2011,Cleveland,L.Douzable,DE,11,2011,JAC-2011-53
JAC,Ineligible Downfield Pass,11/20/2011,Cleveland,B.Meester,C,11,2011,JAC-2011-54
JAC,Defensive Pass Interference,11/20/2011,Cleveland,D.Coleman,DB,11,2011,JAC-2011-55
JAC,Leaping,11/20/2011,Cleveland,M.Lockley,LB,11,2011,JAC-2011-56
JAC,Personal Foul,11/27/2011,Houston,W.Middleton,DB,12,2011,JAC-2011-57
JAC,Illegal Block Above the Waist,11/27/2011,Houston,M.Owens,RB,12,2011,JAC-2011-58
JAC,False Start,11/27/2011,Houston,J.Dillard,WR,12,2011,JAC-2011-59
JAC,False Start,11/27/2011,Houston,M.Thomas,WR,12,2011,JAC-2011-60
JAC,Offensive Holding,11/27/2011,Houston,C.Prosinski,SS,12,2011,JAC-2011-61
JAC,Intentional Grounding,12/05/2011,San Diego,B.Gabbert,QB,13,2011,JAC-2011-62
JAC,Illegal Formation,12/05/2011,San Diego,C.West,WR,13,2011,JAC-2011-63
JAC,Defensive Offside,12/05/2011,San Diego,J.Chick,DE,13,2011,JAC-2011-64
JAC,Illegal Bat,12/05/2011,San Diego,B.Gabbert,QB,13,2011,JAC-2011-65
JAC,Face Mask (15 Yards),12/11/2011,Tampa Bay,L.Douzable,DE,14,2011,JAC-2011-66
JAC,Illegal Formation,12/11/2011,Tampa Bay,M.Lewis,TE,14,2011,JAC-2011-67
JAC,Offensive Holding,12/11/2011,Tampa Bay,B.Meester,C,14,2011,JAC-2011-68
JAC,Offensive Holding,12/11/2011,Tampa Bay,W.Rackley,G,14,2011,JAC-2011-69
JAC,Personal Foul,12/11/2011,Tampa Bay,L.Douzable,DE,14,2011,JAC-2011-70
JAC,Illegal Block Above the Waist,12/11/2011,Tampa Bay,A.Owusu-Ansah,WR,14,2011,JAC-2011-71
JAC,Offensive Holding,12/11/2011,Tampa Bay,U.Nwaneri,G,14,2011,JAC-2011-72
JAC,Offensive Holding,12/11/2011,Tampa Bay,U.Nwaneri,G,14,2011,JAC-2011-73
JAC,Offensive Holding,12/11/2011,Tampa Bay,U.Nwaneri,G,14,2011,JAC-2011-74
JAC,Delay of Game,12/11/2011,Tampa Bay,B.Gabbert,QB,14,2011,JAC-2011-75
JAC,Defensive Offside,12/15/2011,Atlanta,T.Knighton,DT,15,2011,JAC-2011-76
JAC,False Start,12/15/2011,Atlanta,E.Monroe,T,15,2011,JAC-2011-77
JAC,Offensive Pass Interference,12/15/2011,Atlanta,C.West,WR,15,2011,JAC-2011-78
JAC,Unnecessary Roughness,12/15/2011,Atlanta,N.Collins,DT,15,2011,JAC-2011-79
JAC,Illegal Use of Hands,12/24/2011,Tennessee,A.Youboty,CB,16,2011,JAC-2011-80
JAC,Personal Foul,12/24/2011,Tennessee,J.Dillard,WR,16,2011,JAC-2011-81
JAC,False Start,12/24/2011,Tennessee,W.Rackley,G,16,2011,JAC-2011-82
JAC,Neutral Zone Infraction,12/24/2011,Tennessee,J.Mincey,DE,16,2011,JAC-2011-83
JAC,Neutral Zone Infraction,12/24/2011,Tennessee,T.Alualu,DE,16,2011,JAC-2011-84
JAC,False Start,12/24/2011,Tennessee,E.Monroe,T,16,2011,JAC-2011-85
JAC,Offensive Holding,01/01/2012,Indianapolis,W.Rackley,G,17,2011,JAC-2011-86
JAC,Face Mask (15 Yards),01/01/2012,Indianapolis,U.Nwaneri,G,17,2011,JAC-2011-87
