team,penalty,game,opponent,player,position,week,year,penaltyindex
KC,Unnecessary Roughness,09/09/2012,Atlanta,S.Draughn,RB,1,2012,KC-2012-0
KC,Face Mask (15 Yards),09/09/2012,Atlanta,S.Draughn,RB,1,2012,KC-2012-1
KC,Delay of Game,09/16/2012,Buffalo,M.Cassel,QB,2,2012,KC-2012-2
KC,Face Mask (15 Yards),09/16/2012,Buffalo,E.Jones,DE,2,2012,KC-2012-3
KC,False Start,09/16/2012,Buffalo,E.Winston,T,2,2012,KC-2012-4
KC,Chop Block,09/16/2012,Buffalo,P.Hillis,RB,2,2012,KC-2012-5
KC,Intentional Grounding,09/16/2012,Buffalo,M.Cassel,QB,2,2012,KC-2012-6
KC,Offensive Holding,09/16/2012,Buffalo,E.Winston,T,2,2012,KC-2012-7
KC,Offensive Holding,09/23/2012,New Orleans,R.Lilja,C,3,2012,KC-2012-8
KC,Defensive Offside,09/23/2012,New Orleans,T.Jackson,DE,3,2012,KC-2012-9
KC,Offensive Holding,09/23/2012,New Orleans,R.Lilja,C,3,2012,KC-2012-10
KC,False Start,09/23/2012,New Orleans,B.Albert,T,3,2012,KC-2012-11
KC,False Start,09/23/2012,New Orleans,B.Albert,T,3,2012,KC-2012-12
KC,False Start,09/23/2012,New Orleans,E.Winston,T,3,2012,KC-2012-13
KC,Offensive Holding,09/23/2012,New Orleans,J.Brown,DB,3,2012,KC-2012-14
KC,Defensive Pass Interference,09/30/2012,San Diego,E.Berry,SS,4,2012,KC-2012-15
KC,Defensive Pass Interference,09/30/2012,San Diego,E.Berry,SS,4,2012,KC-2012-16
KC,False Start,09/30/2012,San Diego,T.Moeaki,TE,4,2012,KC-2012-17
KC,Illegal Formation,09/30/2012,San Diego,E.Winston,T,4,2012,KC-2012-18
KC,Defensive Pass Interference,09/30/2012,San Diego,S.Routt,CB,4,2012,KC-2012-19
KC,False Start,09/30/2012,San Diego,T.Moeaki,TE,4,2012,KC-2012-20
KC,Illegal Touch Pass,09/30/2012,San Diego,D.Bowe,WR,4,2012,KC-2012-21
