team,penalty,game,opponent,player,position,week,year,penaltyindex
MIN,Illegal Block Above the Waist,09/11/2011,San Diego,J.Sanford,SS,1,2011,MIN-2011-0
MIN,Defensive Pass Interference,09/11/2011,San Diego,C.Cook,CB,1,2011,MIN-2011-1
MIN,Illegal Contact,09/11/2011,San Diego,C.Cook,CB,1,2011,MIN-2011-2
MIN,Horse Collar Tackle,09/11/2011,San Diego,E.Frampton,DB,1,2011,MIN-2011-3
MIN,False Start,09/11/2011,San Diego,P.Loadholt,T,1,2011,MIN-2011-4
MIN,Unnecessary Roughness,09/11/2011,San Diego,C.Griffin,CB,1,2011,MIN-2011-5
MIN,Defensive Offside,09/11/2011,San Diego,L.Guion,NT,1,2011,MIN-2011-6
MIN,Defensive Offside,09/11/2011,San Diego,L.Guion,NT,1,2011,MIN-2011-7
MIN,Encroachment,09/11/2011,San Diego,F.Evans,DT,1,2011,MIN-2011-8
MIN,Illegal Block Above the Waist,09/18/2011,Tampa Bay,H.Abdullah,FS,2,2011,MIN-2011-9
MIN,Defensive Offside,09/18/2011,Tampa Bay,F.Evans,DT,2,2011,MIN-2011-10
MIN,Offensive Holding,09/18/2011,Tampa Bay,J.Kleinsasser,TE,2,2011,MIN-2011-11
MIN,False Start,09/18/2011,Tampa Bay,P.Loadholt,T,2,2011,MIN-2011-12
MIN,Offensive Holding,09/18/2011,Tampa Bay,A.Peterson,RB,2,2011,MIN-2011-13
MIN,Defensive Offside,09/18/2011,Tampa Bay,B.Robison,DE,2,2011,MIN-2011-14
MIN,Roughing the Passer,09/18/2011,Tampa Bay,J.Allen,LB,2,2011,MIN-2011-15
MIN,False Start,09/18/2011,Tampa Bay,E.Griffen,DE,2,2011,MIN-2011-16
MIN,Offensive Holding,09/25/2011,Detroit,A.Allen,CB,3,2011,MIN-2011-17
MIN,Offensive Holding,09/25/2011,Detroit,S.Hutchinson,G,3,2011,MIN-2011-18
MIN,Neutral Zone Infraction,09/25/2011,Detroit,E.Griffen,DE,3,2011,MIN-2011-19
MIN,False Start,09/25/2011,Detroit,C.Johnson,WR,3,2011,MIN-2011-20
MIN,Player Out of Bounds on Punt,09/25/2011,Detroit,D.Aromashodu,WR,3,2011,MIN-2011-21
MIN,Illegal Formation,09/25/2011,Detroit,C.Johnson,WR,3,2011,MIN-2011-22
MIN,Illegal Use of Hands,09/25/2011,Detroit,C.Griffin,CB,3,2011,MIN-2011-23
MIN,Encroachment,09/25/2011,Detroit,K.Williams,DT,3,2011,MIN-2011-24
MIN,Offensive Holding,09/25/2011,Detroit,M.Jenkins,WR,3,2011,MIN-2011-25
MIN,Defensive Holding,09/25/2011,Detroit,C.Griffin,CB,3,2011,MIN-2011-26
MIN,Horse Collar Tackle,09/25/2011,Detroit,C.Greenway,OLB,3,2011,MIN-2011-27
MIN,Unnecessary Roughness,09/25/2011,Detroit,K.Onatolu,LB,3,2011,MIN-2011-28
MIN,Illegal Forward Pass,09/25/2011,Detroit,M.Jenkins,WR,3,2011,MIN-2011-29
MIN,Face Mask (15 Yards),10/02/2011,Kansas City,E.Griffen,DE,4,2011,MIN-2011-30
MIN,False Start,10/02/2011,Kansas City,C.Johnson,WR,4,2011,MIN-2011-31
MIN,Offensive Holding,10/02/2011,Kansas City,P.Loadholt,T,4,2011,MIN-2011-32
MIN,False Start,10/02/2011,Kansas City,V.Shiancoe,TE,4,2011,MIN-2011-33
MIN,Illegal Use of Hands,10/02/2011,Kansas City,C.Griffin,CB,4,2011,MIN-2011-34
MIN,Delay of Game,10/02/2011,Kansas City,C.Kluwe,P,4,2011,MIN-2011-35
MIN,Illegal Contact,10/02/2011,Kansas City,C.Griffin,CB,4,2011,MIN-2011-36
MIN,Offensive Holding,10/02/2011,Kansas City,P.Loadholt,T,4,2011,MIN-2011-37
MIN,False Start,10/09/2011,Arizona,V.Shiancoe,TE,5,2011,MIN-2011-38
MIN,Offensive Holding,10/09/2011,Arizona,J.Kleinsasser,TE,5,2011,MIN-2011-39
MIN,Offensive Holding,10/09/2011,Arizona,V.Shiancoe,TE,5,2011,MIN-2011-40
MIN,Neutral Zone Infraction,10/09/2011,Arizona,C.Ballard,DL,5,2011,MIN-2011-41
MIN,Delay of Game,10/09/2011,Arizona,R.Longwell,K,5,2011,MIN-2011-42
MIN,Horse Collar Tackle,10/16/2011,Chicago,C.Griffin,CB,6,2011,MIN-2011-43
MIN,False Start,10/16/2011,Chicago,M.Jenkins,WR,6,2011,MIN-2011-44
MIN,Roughing the Passer,10/16/2011,Chicago,K.Williams,DT,6,2011,MIN-2011-45
MIN,Offensive Holding,10/16/2011,Chicago,S.Hutchinson,G,6,2011,MIN-2011-46
MIN,Offensive Holding,10/16/2011,Chicago,P.Brown,T,6,2011,MIN-2011-47
MIN,Illegal Block Above the Waist,10/23/2011,Green Bay,H.Abdullah,FS,7,2011,MIN-2011-48
MIN,Defensive Pass Interference,10/23/2011,Green Bay,A.Allen,CB,7,2011,MIN-2011-49
MIN,Unnecessary Roughness,10/23/2011,Green Bay,B.Robison,DE,7,2011,MIN-2011-50
MIN,False Start,10/23/2011,Green Bay,S.Hutchinson,G,7,2011,MIN-2011-51
MIN,Roughing the Passer,10/23/2011,Green Bay,L.Guion,NT,7,2011,MIN-2011-52
MIN,Running Into the Kicker,10/23/2011,Green Bay,A.Allen,CB,7,2011,MIN-2011-53
MIN,Defensive Pass Interference,10/23/2011,Green Bay,C.Griffin,CB,7,2011,MIN-2011-54
MIN,Illegal Block Above the Waist,10/23/2011,Green Bay,M.Raymond,DB,7,2011,MIN-2011-55
MIN,Offensive Holding,10/23/2011,Green Bay,J.Berger,C,7,2011,MIN-2011-56
MIN,Face Mask (15 Yards),10/30/2011,Carolina,C.Griffin,CB,8,2011,MIN-2011-57
MIN,Personal Foul,10/30/2011,Carolina,P.Harvin,WR,8,2011,MIN-2011-58
MIN,Neutral Zone Infraction,10/30/2011,Carolina,C.Greenway,OLB,8,2011,MIN-2011-59
MIN,Offensive Holding,10/30/2011,Carolina,L.Dean,LB,8,2011,MIN-2011-60
MIN,Offensive Pass Interference,11/14/2011,Green Bay,P.Harvin,WR,10,2011,MIN-2011-61
MIN,False Start,11/14/2011,Green Bay,F.Evans,DT,10,2011,MIN-2011-62
MIN,Offensive Holding,11/14/2011,Green Bay,P.Harvin,WR,10,2011,MIN-2011-63
