team,penalty,game,opponent,player,position,week,year,penaltyindex
NO,False Start,09/09/2012,Washington,Z.Strief,T,1,2012,NO-2012-0
NO,False Start,09/09/2012,Washington,L.Moore,WR,1,2012,NO-2012-1
NO,False Start,09/09/2012,Washington,Z.Strief,T,1,2012,NO-2012-2
NO,Defensive Pass Interference,09/09/2012,Washington,R.Harper,SS,1,2012,NO-2012-3
NO,Offensive Holding,09/09/2012,Washington,D.Thomas,TE,1,2012,NO-2012-4
NO,Defensive Offside,09/09/2012,Washington,P.Robinson,DB,1,2012,NO-2012-5
NO,Offensive Holding,09/09/2012,Washington,R.Bush,FS,1,2012,NO-2012-6
NO,Offensive Holding,09/09/2012,Washington,J.Collins,FB,1,2012,NO-2012-7
NO,Offensive Holding,09/09/2012,Washington,J.Evans,G,1,2012,NO-2012-8
NO,Defensive Pass Interference,09/16/2012,Carolina,P.Robinson,DB,2,2012,NO-2012-9
NO,Intentional Grounding,09/16/2012,Carolina,D.Brees,QB,2,2012,NO-2012-10
NO,Offensive Holding,09/23/2012,Kansas City,C.Roby,WR,3,2012,NO-2012-11
NO,False Start,09/23/2012,Kansas City,D.Graham,TE,3,2012,NO-2012-12
NO,Defensive Pass Interference,09/23/2012,Kansas City,P.Robinson,DB,3,2012,NO-2012-13
NO,Offensive Holding,09/30/2012,Green Bay,J.Evans,G,4,2012,NO-2012-14
NO,Neutral Zone Infraction,09/30/2012,Green Bay,J.Galette,DE,4,2012,NO-2012-15
NO,Offensive Holding,09/30/2012,Green Bay,J.Graham,TE,4,2012,NO-2012-16
NO,Defensive Holding,09/30/2012,Green Bay,P.Robinson,DB,4,2012,NO-2012-17
NO,Face Mask (15 Yards),09/30/2012,Green Bay,M.Jenkins,FS,4,2012,NO-2012-18
NO,Illegal Formation,09/30/2012,Green Bay,M.Colston,WR,4,2012,NO-2012-19
NO,Illegal Use of Hands,09/30/2012,Green Bay,C.Jordan,DE,4,2012,NO-2012-20
NO,Face Mask (15 Yards),09/30/2012,Green Bay,M.Jenkins,FS,4,2012,NO-2012-21
NO,False Start,09/30/2012,Green Bay,J.Morgan,WR,4,2012,NO-2012-22
NO,Offensive Holding,09/30/2012,Green Bay,D.Thomas,TE,4,2012,NO-2012-23
NO,Defensive Pass Interference,09/30/2012,Green Bay,J.Greer,CB,4,2012,NO-2012-24
NO,False Start,10/07/2012,San Diego,D.Henderson,WR,5,2012,NO-2012-25
NO,Unsportsmanlike Conduct,10/07/2012,San Diego,M.Jenkins,FS,5,2012,NO-2012-26
NO,Offensive Holding,10/07/2012,San Diego,M.Wilson,DE,5,2012,NO-2012-27
