team,penalty,game,opponent,player,position,week,year,penaltyindex
NO,Face Mask (15 Yards),09/13/2015,Arizona,D.Swann,CB,1,2015,NO-2015-0
NO,Defensive Holding,09/13/2015,Arizona,B.Browner,DB,1,2015,NO-2015-1
NO,Illegal Contact,09/13/2015,Arizona,D.Breaux,DB,1,2015,NO-2015-2
NO,Defensive Pass Interference,09/13/2015,Arizona,D.Breaux,DB,1,2015,NO-2015-3
NO,False Start,09/13/2015,Arizona,J.Evans,G,1,2015,NO-2015-4
NO,Offensive Holding,09/13/2015,Arizona,Z.Strief,T,1,2015,NO-2015-5
NO,Defensive Holding,09/13/2015,Arizona,D.Breaux,DB,1,2015,NO-2015-6
NO,Defensive Holding,09/13/2015,Arizona,D.Breaux,DB,1,2015,NO-2015-7
NO,Defensive Pass Interference,09/13/2015,Arizona,K.Wilson,DB,1,2015,NO-2015-8
NO,Offensive Holding,09/13/2015,Arizona,J.Evans,G,1,2015,NO-2015-9
NO,False Start,09/20/2015,Tampa Bay,K.Robinson,RB,2,2015,NO-2015-10
NO,False Start,09/20/2015,Tampa Bay,A.Johnson,FB,2,2015,NO-2015-11
NO,Offensive Holding,09/20/2015,Tampa Bay,D.Jones,DB,2,2015,NO-2015-12
NO,Defensive Holding,09/20/2015,Tampa Bay,B.Browner,DB,2,2015,NO-2015-13
NO,Roughing the Passer,09/20/2015,Tampa Bay,K.Vaccaro,SS,2,2015,NO-2015-14
NO,Defensive Pass Interference,09/20/2015,Tampa Bay,B.Browner,DB,2,2015,NO-2015-15
NO,Defensive Offside,09/20/2015,Tampa Bay,H.Kikaha,OLB,2,2015,NO-2015-16
NO,Illegal Motion,09/20/2015,Tampa Bay,J.Morgan,WR,2,2015,NO-2015-17
NO,Defensive Holding,09/20/2015,Tampa Bay,B.Richardson,DT,2,2015,NO-2015-18
NO,Face Mask (15 Yards),09/20/2015,Tampa Bay,B.Browner,DB,2,2015,NO-2015-19
NO,Illegal Use of Hands,09/20/2015,Tampa Bay,T.Lelito,C,2,2015,NO-2015-20
NO,False Start,09/27/2015,Carolina,Z.Strief,T,3,2015,NO-2015-21
NO,Offensive Holding,09/27/2015,Carolina,T.Lelito,C,3,2015,NO-2015-22
NO,False Start,09/27/2015,Carolina,D.Jones,DB,3,2015,NO-2015-23
NO,Illegal Contact,09/27/2015,Carolina,B.Browner,DB,3,2015,NO-2015-24
NO,False Start,09/27/2015,Carolina,Z.Strief,T,3,2015,NO-2015-25
NO,Unnecessary Roughness,09/27/2015,Carolina,S.Anthony,ILB,3,2015,NO-2015-26
NO,Illegal Shift,09/27/2015,Carolina,B.Watson,TE,3,2015,NO-2015-27
NO,Defensive Holding,10/04/2015,Dallas,B.Browner,DB,4,2015,NO-2015-28
NO,Illegal Use of Hands,10/04/2015,Dallas,K.Lewis,CB,4,2015,NO-2015-29
NO,Face Mask (15 Yards),10/04/2015,Dallas,D.Swann,CB,4,2015,NO-2015-30
NO,Defensive Pass Interference,10/04/2015,Dallas,D.Breaux,DB,4,2015,NO-2015-31
NO,Defensive Holding,10/04/2015,Dallas,B.Browner,DB,4,2015,NO-2015-32
NO,Offensive Holding,10/04/2015,Dallas,M.Unger,C,4,2015,NO-2015-33
NO,Illegal Use of Hands,10/04/2015,Dallas,D.Breaux,DB,4,2015,NO-2015-34
NO,Unsportsmanlike Conduct,10/04/2015,Dallas,K.Robinson,RB,4,2015,NO-2015-35
NO,Defensive Pass Interference,10/11/2015,Philadelphia,D.Breaux,DB,5,2015,NO-2015-36
NO,Face Mask (15 Yards),10/11/2015,Philadelphia,K.Lewis,CB,5,2015,NO-2015-37
NO,Illegal Block Above the Waist,10/11/2015,Philadelphia,B.Dixon,DB,5,2015,NO-2015-38
NO,Roughing the Passer,10/11/2015,Philadelphia,C.Jordan,DE,5,2015,NO-2015-39
NO,Face Mask (15 Yards),10/11/2015,Philadelphia,D.Ellerbe,LB,5,2015,NO-2015-40
NO,Neutral Zone Infraction,10/11/2015,Philadelphia,K.Williams,DT,5,2015,NO-2015-41
NO,Face Mask (15 Yards),10/11/2015,Philadelphia,B.Browner,DB,5,2015,NO-2015-42
NO,Defensive Holding,10/11/2015,Philadelphia,B.Browner,DB,5,2015,NO-2015-43
NO,False Start,10/15/2015,Atlanta,T.Hills,T,6,2015,NO-2015-44
NO,Defensive Offside,10/15/2015,Atlanta,H.Kikaha,OLB,6,2015,NO-2015-45
NO,Delay of Game,10/15/2015,Atlanta,D.Brees,QB,6,2015,NO-2015-46
NO,Fair Catch Interference,10/25/2015,Indianapolis,B.Dixon,DB,7,2015,NO-2015-47
NO,Offensive Holding,10/25/2015,Indianapolis,M.Hoomanawanui,TE,7,2015,NO-2015-48
NO,Offensive Holding,10/25/2015,Indianapolis,J.Evans,G,7,2015,NO-2015-49
NO,Illegal Block Above the Waist,10/25/2015,Indianapolis,J.Sanford,SS,7,2015,NO-2015-50
NO,Neutral Zone Infraction,10/25/2015,Indianapolis,B.Richardson,DT,7,2015,NO-2015-51
NO,Offensive Pass Interference,10/25/2015,Indianapolis,J.Hill,TE,7,2015,NO-2015-52
NO,Illegal Block Above the Waist,10/25/2015,Indianapolis,M.Mauti,LB,7,2015,NO-2015-53
NO,Delay of Game,10/25/2015,Indianapolis,K.Forbath,K,7,2015,NO-2015-54
NO,Defensive Holding,10/25/2015,Indianapolis,B.Browner,DB,7,2015,NO-2015-55
NO,Defensive Offside,10/25/2015,Indianapolis,B.Browner,DB,7,2015,NO-2015-56
NO,Unnecessary Roughness,10/25/2015,Indianapolis,B.Richardson,DT,7,2015,NO-2015-57
