team,penalty,game,opponent,player,position,week,year,penaltyindex
NYG,Illegal Block Above the Waist,09/11/2011,Washington,C.Webster,CB,1,2011,NYG-2011-0
NYG,Intentional Grounding,09/11/2011,Washington,E.Manning,QB,1,2011,NYG-2011-1
NYG,Ineligible Downfield Kick,09/11/2011,Washington,T.Sash,DB,1,2011,NYG-2011-2
NYG,Defensive Offside,09/11/2011,Washington,C.Webster,CB,1,2011,NYG-2011-3
NYG,False Start,09/11/2011,Washington,H.Nicks,WR,1,2011,NYG-2011-4
NYG,Offensive Holding,09/11/2011,Washington,D.Martin,DB,1,2011,NYG-2011-5
NYG,Unnecessary Roughness,09/11/2011,Washington,A.Rolle,DB,1,2011,NYG-2011-6
NYG,Delay of Game,09/11/2011,Washington,E.Manning,QB,1,2011,NYG-2011-7
NYG,False Start,09/19/2011,St. Louis,B.Pascoe,TE,2,2011,NYG-2011-8
NYG,Unsportsmanlike Conduct,09/19/2011,St. Louis,M.Coe,CB,2,2011,NYG-2011-9
NYG,Offensive Holding,09/19/2011,St. Louis,D.Baas,C,2,2011,NYG-2011-10
NYG,Unnecessary Roughness,09/19/2011,St. Louis,Z.DeOssie,LS,2,2011,NYG-2011-11
NYG,Offensive Holding,09/19/2011,St. Louis,M.Coe,CB,2,2011,NYG-2011-12
NYG,Defensive Offside,09/25/2011,Philadelphia,Unnamed,LB,3,2011,NYG-2011-13
NYG,Neutral Zone Infraction,09/25/2011,Philadelphia,C.Canty,DE,3,2011,NYG-2011-14
NYG,Neutral Zone Infraction,09/25/2011,Philadelphia,D.Tollefson,DE,3,2011,NYG-2011-15
NYG,Unnecessary Roughness,09/25/2011,Philadelphia,A.Rolle,DB,3,2011,NYG-2011-16
NYG,Defensive Offside,09/25/2011,Philadelphia,D.Grant,SS,3,2011,NYG-2011-17
NYG,False Start,10/02/2011,Arizona,H.Nicks,WR,4,2011,NYG-2011-18
NYG,Illegal Formation,10/02/2011,Arizona,K.McKenzie,T,4,2011,NYG-2011-19
NYG,Offensive Holding,10/02/2011,Arizona,C.Snee,G,4,2011,NYG-2011-20
NYG,Offensive Holding,10/02/2011,Arizona,D.Diehl,G,4,2011,NYG-2011-21
NYG,Roughing the Passer,10/02/2011,Arizona,R.Bernard,DT,4,2011,NYG-2011-22
NYG,Offside on Free Kick,10/02/2011,Arizona,K.Phillips,DB,4,2011,NYG-2011-23
NYG,Defensive Holding,10/02/2011,Arizona,K.Phillips,DB,4,2011,NYG-2011-24
NYG,Offensive Holding,10/02/2011,Arizona,H.Hynoski,FB,4,2011,NYG-2011-25
NYG,Offensive Holding,10/02/2011,Arizona,C.Snee,G,4,2011,NYG-2011-26
NYG,Defensive Holding,10/02/2011,Arizona,D.Grant,SS,4,2011,NYG-2011-27
NYG,False Start,10/02/2011,Arizona,C.Snee,G,4,2011,NYG-2011-28
