team,penalty,game,opponent,player,position,week,year,penaltyindex
NYJ,Defensive Offside,09/08/2013,Tampa Bay,S.Richardson,DE,1,2013,NYJ-2013-0
NYJ,Unnecessary Roughness,09/08/2013,Tampa Bay,D.Milliner,CB,1,2013,NYJ-2013-1
NYJ,False Start,09/08/2013,Tampa Bay,W.Colon,G,1,2013,NYJ-2013-2
NYJ,Offensive Holding,09/08/2013,Tampa Bay,A.Howard,T,1,2013,NYJ-2013-3
NYJ,Offensive Holding,09/08/2013,Tampa Bay,D.Ferguson,T,1,2013,NYJ-2013-4
NYJ,Defensive Offside,09/08/2013,Tampa Bay,M.Wilkerson,DE,1,2013,NYJ-2013-5
NYJ,False Start,09/08/2013,Tampa Bay,D.Ferguson,T,1,2013,NYJ-2013-6
NYJ,Defensive Pass Interference,09/12/2013,New England,A.Cromartie,DB,2,2013,NYJ-2013-7
NYJ,Offensive Holding,09/12/2013,New England,K.Reuland,TE,2,2013,NYJ-2013-8
NYJ,False Start,09/12/2013,New England,W.Colon,G,2,2013,NYJ-2013-9
NYJ,False Start,09/12/2013,New England,K.Winslow,TE,2,2013,NYJ-2013-10
NYJ,Delay of Game,09/12/2013,New England,G.Smith,QB,2,2013,NYJ-2013-11
NYJ,Disqualification,09/12/2013,New England,W.Colon,G,2,2013,NYJ-2013-12
NYJ,Disqualification,09/12/2013,New England,D.Ferguson,T,2,2013,NYJ-2013-13
NYJ,Personal Foul,09/12/2013,New England,N.Mangold,C,2,2013,NYJ-2013-14
NYJ,False Start,09/22/2013,Buffalo,V.Ducasse,T,3,2013,NYJ-2013-15
NYJ,Offensive Holding,09/22/2013,Buffalo,J.Cumberland,TE,3,2013,NYJ-2013-16
NYJ,Face Mask (15 Yards),09/22/2013,Buffalo,V.Ducasse,T,3,2013,NYJ-2013-17
NYJ,Defensive Offside,09/22/2013,Buffalo,M.Wilkerson,DE,3,2013,NYJ-2013-18
NYJ,Defensive Pass Interference,09/22/2013,Buffalo,A.Cromartie,DB,3,2013,NYJ-2013-19
NYJ,Offensive Holding,09/22/2013,Buffalo,W.Colon,G,3,2013,NYJ-2013-20
NYJ,Offensive Holding,09/22/2013,Buffalo,V.Ducasse,T,3,2013,NYJ-2013-21
NYJ,False Start,09/22/2013,Buffalo,V.Ducasse,T,3,2013,NYJ-2013-22
NYJ,Defensive Pass Interference,09/22/2013,Buffalo,K.Wilson,DB,3,2013,NYJ-2013-23
NYJ,Offensive Pass Interference,09/22/2013,Buffalo,K.Winslow,TE,3,2013,NYJ-2013-24
NYJ,Illegal Contact,09/22/2013,Buffalo,K.Wilson,DB,3,2013,NYJ-2013-25
