team,penalty,game,opponent,player,position,week,year,penaltyindex
OAK,Offensive Holding,09/12/2011,Denver,D.Van Dyke,DB,1,2011,OAK-2011-0
OAK,False Start,09/12/2011,Denver,S.Wisniewski,C,1,2011,OAK-2011-1
OAK,False Start,09/12/2011,Denver,S.Heyer,T,1,2011,OAK-2011-2
OAK,False Start,09/12/2011,Denver,S.Heyer,T,1,2011,OAK-2011-3
OAK,Defensive Holding,09/12/2011,Denver,S.Routt,CB,1,2011,OAK-2011-4
OAK,Illegal Contact,09/12/2011,Denver,C.Johnson,CB,1,2011,OAK-2011-5
OAK,Unnecessary Roughness,09/12/2011,Denver,D.Bryant,DE,1,2011,OAK-2011-6
OAK,False Start,09/12/2011,Denver,K.Barnes,T,1,2011,OAK-2011-7
OAK,False Start,09/12/2011,Denver,D.McFadden,RB,1,2011,OAK-2011-8
OAK,Offensive Holding,09/12/2011,Denver,S.Wisniewski,C,1,2011,OAK-2011-9
OAK,Unnecessary Roughness,09/12/2011,Denver,R.McClain,MLB,1,2011,OAK-2011-10
OAK,Unsportsmanlike Conduct,09/12/2011,Denver,T.Kelly,DE,1,2011,OAK-2011-11
OAK,Roughing the Passer,09/12/2011,Denver,M.Shaughnessy,OLB,1,2011,OAK-2011-12
OAK,Defensive Offside,09/12/2011,Denver,L.Houston,LB,1,2011,OAK-2011-13
OAK,Defensive Pass Interference,09/12/2011,Denver,S.Routt,CB,1,2011,OAK-2011-14
OAK,Defensive Offside,09/12/2011,Denver,J.Porter,CB,1,2011,OAK-2011-15
OAK,Defensive Offside,09/12/2011,Denver,T.Scott,DE,1,2011,OAK-2011-16
OAK,Unnecessary Roughness,09/18/2011,Buffalo,T.Branch,DB,2,2011,OAK-2011-17
OAK,Defensive Pass Interference,09/18/2011,Buffalo,C.Johnson,CB,2,2011,OAK-2011-18
OAK,Illegal Contact,09/18/2011,Buffalo,R.McClain,MLB,2,2011,OAK-2011-19
OAK,Offensive Holding,09/18/2011,Buffalo,D.Hagan,WR,2,2011,OAK-2011-20
OAK,Defensive Holding,09/18/2011,Buffalo,C.Johnson,CB,2,2011,OAK-2011-21
OAK,Defensive Pass Interference,09/18/2011,Buffalo,C.Johnson,CB,2,2011,OAK-2011-22
OAK,Defensive Pass Interference,09/25/2011,N.Y. Jets,S.Routt,CB,3,2011,OAK-2011-23
OAK,Illegal Use of Hands,09/25/2011,N.Y. Jets,S.Routt,CB,3,2011,OAK-2011-24
OAK,Defensive Holding,09/25/2011,N.Y. Jets,K.Wimbley,OLB,3,2011,OAK-2011-25
OAK,Defensive Offside,09/25/2011,N.Y. Jets,L.Houston,LB,3,2011,OAK-2011-26
OAK,Defensive Holding,09/25/2011,N.Y. Jets,S.Routt,CB,3,2011,OAK-2011-27
OAK,Personal Foul,09/25/2011,N.Y. Jets,L.Houston,LB,3,2011,OAK-2011-28
OAK,False Start,09/25/2011,N.Y. Jets,K.Boss,TE,3,2011,OAK-2011-29
OAK,Illegal Shift,09/25/2011,N.Y. Jets,C.Schilens,WR,3,2011,OAK-2011-30
OAK,Defensive Pass Interference,09/25/2011,N.Y. Jets,C.Johnson,CB,3,2011,OAK-2011-31
OAK,Illegal Block Above the Waist,10/02/2011,New England,J.Veldheer,T,4,2011,OAK-2011-32
OAK,Unnecessary Roughness,10/02/2011,New England,R.Seymour,DT,4,2011,OAK-2011-33
OAK,Face Mask (15 Yards),10/02/2011,New England,R.Seymour,DT,4,2011,OAK-2011-34
OAK,Illegal Substitution,10/02/2011,New England,K.Barnes,T,4,2011,OAK-2011-35
OAK,Delay of Game,10/02/2011,New England,S.Lechler,P,4,2011,OAK-2011-36
OAK,Defensive Offside,10/02/2011,New England,R.Seymour,DT,4,2011,OAK-2011-37
