PenaltyIndex,team,penalty,game,opponent,player,position,week
ARI-2015-0,ARI,Offensive Holding,09/13/2015,New Orleans,J.Cooper,G,1-2015
ARI-2015-1,ARI,Defensive Offside,09/13/2015,New Orleans,A.Okafor,OLB,1-2015
ARI-2015-2,ARI,False Start,09/13/2015,New Orleans,J.Veldheer,T,1-2015
ARI-2015-3,ARI,Defensive Holding,09/13/2015,New Orleans,P.Peterson,CB,1-2015
ARI-2015-4,ARI,Defensive Pass Interference,09/20/2015,Chicago,K.Minter,ILB,2-2015
ARI-2015-5,ARI,Neutral Zone Infraction,09/20/2015,Chicago,J.Mauro,DE,2-2015
ARI-2015-6,ARI,Offensive Pass Interference,09/20/2015,Chicago,M.Floyd,WR,2-2015
ARI-2015-7,ARI,Encroachment,09/20/2015,Chicago,C.Redding,DE,2-2015
ARI-2015-8,ARI,Defensive Offside,09/20/2015,Chicago,R.Johnson,FS,2-2015
ARI-2015-9,ARI,Neutral Zone Infraction,09/20/2015,Chicago,T.Mathieu,FS,2-2015
ARI-2015-10,ARI,False Start,09/20/2015,Chicago,M.Golden,OLB,2-2015
ARI-2015-11,ARI,Offensive Offside,09/20/2015,Chicago,L.Fitzgerald,WR,2-2015
ARI-2015-12,ARI,Delay of Game,09/20/2015,Chicago,C.Palmer,QB,2-2015
ARI-2015-13,ARI,Offensive Holding,09/27/2015,San Francisco,J.Veldheer,T,3-2015
ARI-2015-14,ARI,False Start,09/27/2015,San Francisco,J.Veldheer,T,3-2015
ARI-2015-15,ARI,False Start,09/27/2015,San Francisco,J.Veldheer,T,3-2015
ARI-2015-16,ARI,Offside on Free Kick,09/27/2015,San Francisco,B.Golden,WR,3-2015
ARI-2015-17,ARI,Offensive Pass Interference,09/27/2015,San Francisco,M.Floyd,WR,3-2015
ARI-2015-18,ARI,False Start,10/04/2015,St. Louis,B.Massie,T,4-2015
ARI-2015-19,ARI,Defensive Offside,10/04/2015,St. Louis,A.Okafor,OLB,4-2015
ARI-2015-20,ARI,Offensive Holding,10/04/2015,St. Louis,J.Veldheer,T,4-2015
ARI-2015-21,ARI,Offensive Holding,10/04/2015,St. Louis,J.Cooper,G,4-2015
ARI-2015-22,ARI,Defensive Offside,10/11/2015,Detroit,R.Gunter,NT,5-2015
ARI-2015-23,ARI,Illegal Use of Hands,10/11/2015,Detroit,P.Peterson,CB,5-2015
ARI-2015-24,ARI,Defensive Offside,10/11/2015,Detroit,C.Redding,DE,5-2015
ARI-2015-25,ARI,Defensive Holding,10/11/2015,Detroit,P.Peterson,CB,5-2015
