PenaltyIndex,team,penalty,game,opponent,player,position,week
BUF-2015-0,BUF,Chop Block,09/13/2015,Indianapolis,C.Clay,TE,1-2015
BUF-2015-1,BUF,Personal Foul,09/13/2015,Indianapolis,J.Hughes,DE,1-2015
BUF-2015-2,BUF,Defensive Offside,09/13/2015,Indianapolis,J.Hughes,DE,1-2015
BUF-2015-3,BUF,Offensive Holding,09/13/2015,Indianapolis,E.Wood,C,1-2015
BUF-2015-4,BUF,Offensive Holding,09/13/2015,Indianapolis,M.Mulligan,TE,1-2015
BUF-2015-5,BUF,Personal Foul,09/13/2015,Indianapolis,R.Brooks,CB,1-2015
BUF-2015-6,BUF,Illegal Use of Hands,09/13/2015,Indianapolis,R.Darby,CB,1-2015
BUF-2015-7,BUF,Face Mask (15 Yards),09/13/2015,Indianapolis,J.Hughes,DE,1-2015
BUF-2015-8,BUF,Offensive Holding,09/13/2015,Indianapolis,C.Glenn,T,1-2015
BUF-2015-9,BUF,Running Into the Kicker,09/13/2015,Indianapolis,A.Dixon,RB,1-2015
BUF-2015-10,BUF,Offensive Holding,09/13/2015,Indianapolis,C.Glenn,T,1-2015
BUF-2015-11,BUF,Delay of Game,09/13/2015,Indianapolis,C.Schmidt,P,1-2015
BUF-2015-12,BUF,Personal Foul,09/13/2015,Indianapolis,P.Brown,OLB,1-2015
BUF-2015-13,BUF,Illegal Block Above the Waist,09/20/2015,New England,R.Johnson,OLB,2-2015
BUF-2015-14,BUF,Offensive Holding,09/20/2015,New England,M.Easley,WR,2-2015
BUF-2015-15,BUF,Delay of Game,09/20/2015,New England,C.Schmidt,P,2-2015
BUF-2015-16,BUF,Personal Foul,09/20/2015,New England,D.Williams,SS,2-2015
BUF-2015-17,BUF,Personal Foul,09/20/2015,New England,C.Graham,CB,2-2015
BUF-2015-18,BUF,Taunting,09/20/2015,New England,A.Williams,FS,2-2015
BUF-2015-19,BUF,Unnecessary Roughness,09/20/2015,New England,A.Williams,FS,2-2015
BUF-2015-20,BUF,Illegal Use of Hands,09/20/2015,New England,J.Miller,G,2-2015
BUF-2015-21,BUF,Illegal Formation,09/20/2015,New England,M.Mulligan,TE,2-2015
BUF-2015-22,BUF,Defensive Holding,09/20/2015,New England,R.Darby,CB,2-2015
BUF-2015-23,BUF,Offensive Pass Interference,09/20/2015,New England,S.Watkins,WR,2-2015
BUF-2015-24,BUF,Offensive Holding,09/20/2015,New England,C.Glenn,T,2-2015
BUF-2015-25,BUF,Defensive Holding,09/20/2015,New England,R.Darby,CB,2-2015
BUF-2015-26,BUF,Illegal Use of Hands,09/20/2015,New England,S.Henderson,T,2-2015
BUF-2015-27,BUF,Offside on Free Kick,09/20/2015,New England,C.Hogan,WR,2-2015
BUF-2015-28,BUF,Defensive Pass Interference,09/20/2015,New England,N.Bradham,OLB,2-2015
BUF-2015-29,BUF,Defensive Offside,09/27/2015,Miami,Ky.Williams,DT,3-2015
BUF-2015-30,BUF,Unnecessary Roughness,09/27/2015,Miami,R.Woods,WR,3-2015
BUF-2015-31,BUF,Offensive Holding,09/27/2015,Miami,G.Sanborn,LS,3-2015
BUF-2015-32,BUF,Defensive Offside,09/27/2015,Miami,N.Bradham,OLB,3-2015
BUF-2015-33,BUF,Offensive Holding,09/27/2015,Miami,C.Glenn,T,3-2015
BUF-2015-34,BUF,Defensive Holding,09/27/2015,Miami,N.Robey,DB,3-2015
BUF-2015-35,BUF,Defensive Pass Interference,10/04/2015,N.Y. Giants,S.Gilmore,CB,4-2015
BUF-2015-36,BUF,Offensive Holding,10/04/2015,N.Y. Giants,C.Hogan,WR,4-2015
BUF-2015-37,BUF,False Start,10/04/2015,N.Y. Giants,C.Kouandjio,T,4-2015
BUF-2015-38,BUF,Unnecessary Roughness,10/04/2015,N.Y. Giants,J.Hughes,DE,4-2015
BUF-2015-39,BUF,Illegal Formation,10/04/2015,N.Y. Giants,Ky.Williams,DT,4-2015
BUF-2015-40,BUF,Defensive Holding,10/04/2015,N.Y. Giants,R.Darby,CB,4-2015
BUF-2015-41,BUF,Player Out of Bounds on Punt,10/04/2015,N.Y. Giants,D.Williams,SS,4-2015
