PenaltyIndex,team,penalty,game,opponent,player,position,week
CAR-2015-0,CAR,Offensive Pass Interference,09/13/2015,Jacksonville,G.Olsen,TE,1-2015
CAR-2015-1,CAR,Ineligible Downfield Pass,09/13/2015,Jacksonville,R.Kalil,C,1-2015
CAR-2015-2,CAR,Illegal Block Above the Waist,09/13/2015,Jacksonville,T.Williams,DB,1-2015
CAR-2015-3,CAR,False Start,09/20/2015,Houston,M.Remmers,T,2-2015
CAR-2015-4,CAR,Personal Foul,09/20/2015,Houston,T.Williams,DB,2-2015
CAR-2015-5,CAR,Defensive Offside,09/20/2015,Houston,M.Addison,DE,2-2015
CAR-2015-6,CAR,Defensive Holding,09/20/2015,Houston,J.Norman,CB,2-2015
CAR-2015-7,CAR,Face Mask (15 Yards),09/20/2015,Houston,C.Johnson,DE,2-2015
CAR-2015-8,CAR,Unnecessary Roughness,09/20/2015,Houston,T.Davis,OLB,2-2015
CAR-2015-9,CAR,Illegal Motion,09/20/2015,Houston,C.Newton,QB,2-2015
CAR-2015-10,CAR,Offensive Holding,09/20/2015,Houston,B.Benwikere,CB,2-2015
CAR-2015-11,CAR,Roughing the Passer,09/20/2015,Houston,K.Ealy,DE,2-2015
CAR-2015-12,CAR,Defensive Offside,09/20/2015,Houston,K.Ealy,DE,2-2015
CAR-2015-13,CAR,Tripping,09/27/2015,New Orleans,W.Horton,DE,3-2015
CAR-2015-14,CAR,Defensive Holding,09/27/2015,New Orleans,A.Klein,OLB,3-2015
CAR-2015-15,CAR,Offensive Holding,09/27/2015,New Orleans,G.Olsen,TE,3-2015
CAR-2015-16,CAR,Offensive Pass Interference,09/27/2015,New Orleans,R.Brockel,TE,3-2015
CAR-2015-17,CAR,Unnecessary Roughness,09/27/2015,New Orleans,T.Williams,DB,3-2015
CAR-2015-18,CAR,Offensive Holding,09/27/2015,New Orleans,T.Turner,G,3-2015
CAR-2015-19,CAR,Tripping,09/27/2015,New Orleans,T.Turner,G,3-2015
CAR-2015-20,CAR,Illegal Use of Hands,09/27/2015,New Orleans,K.Ealy,DE,3-2015
CAR-2015-21,CAR,Roughing the Passer,09/27/2015,New Orleans,K.Short,DT,3-2015
CAR-2015-22,CAR,Defensive Offside,09/27/2015,New Orleans,M.Addison,DE,3-2015
CAR-2015-23,CAR,Delay of Game,09/27/2015,New Orleans,B.Nortman,P,3-2015
CAR-2015-24,CAR,Unsportsmanlike Conduct,10/04/2015,Tampa Bay,J.Norman,CB,4-2015
CAR-2015-25,CAR,Defensive Holding,10/04/2015,Tampa Bay,C.Tillman,DB,4-2015
CAR-2015-26,CAR,Unnecessary Roughness,10/04/2015,Tampa Bay,S.Thompson,OLB,4-2015
CAR-2015-27,CAR,False Start,10/04/2015,Tampa Bay,M.Remmers,T,4-2015
CAR-2015-28,CAR,Illegal Formation,10/04/2015,Tampa Bay,M.Oher,T,4-2015
CAR-2015-29,CAR,Defensive Holding,10/04/2015,Tampa Bay,A.Klein,OLB,4-2015
CAR-2015-30,CAR,Illegal Contact,10/04/2015,Tampa Bay,S.Thompson,OLB,4-2015
