PenaltyIndex,team,penalty,game,opponent,player,position,week
CLE-2015-0,CLE,False Start,09/13/2015,N.Y. Jets,J.Greco,G,1-2015
CLE-2015-1,CLE,Unnecessary Roughness,09/13/2015,N.Y. Jets,A.Mack,C,1-2015
CLE-2015-2,CLE,Neutral Zone Infraction,09/13/2015,N.Y. Jets,P.Kruger,OLB,1-2015
CLE-2015-3,CLE,Chop Block,09/13/2015,N.Y. Jets,I.Crowell,RB,1-2015
CLE-2015-4,CLE,Illegal Formation,09/13/2015,N.Y. Jets,M.Schwartz,T,1-2015
CLE-2015-5,CLE,Offensive Holding,09/13/2015,N.Y. Jets,A.Bryant,DE,1-2015
CLE-2015-6,CLE,Offensive Holding,09/13/2015,N.Y. Jets,J.Bitonio,G,1-2015
CLE-2015-7,CLE,Delay of Game,09/13/2015,N.Y. Jets,J.Manziel,QB,1-2015
CLE-2015-8,CLE,Offensive Holding,09/13/2015,N.Y. Jets,C.Robertson,ILB,1-2015
CLE-2015-9,CLE,False Start,09/13/2015,N.Y. Jets,M.Schwartz,T,1-2015
CLE-2015-10,CLE,Unnecessary Roughness,09/13/2015,N.Y. Jets,J.Haden,CB,1-2015
CLE-2015-11,CLE,Defensive Pass Interference,09/13/2015,N.Y. Jets,J.Haden,CB,1-2015
CLE-2015-12,CLE,Offensive Holding,09/13/2015,N.Y. Jets,A.Mack,C,1-2015
CLE-2015-13,CLE,Clipping,09/20/2015,Tennessee,J.Bitonio,G,2-2015
CLE-2015-14,CLE,Offensive Holding,09/20/2015,Tennessee,M.Moore,WR,2-2015
CLE-2015-15,CLE,Face Mask (15 Yards),09/20/2015,Tennessee,K.Williams,DB,2-2015
CLE-2015-16,CLE,Offensive Holding,09/20/2015,Tennessee,J.Bitonio,G,2-2015
CLE-2015-17,CLE,Illegal Use of Hands,09/20/2015,Tennessee,D.Bryant,DE,2-2015
CLE-2015-18,CLE,Offensive Holding,09/27/2015,Oakland,M.Schwartz,T,3-2015
CLE-2015-19,CLE,Defensive Holding,09/27/2015,Oakland,P.Desir,CB,3-2015
CLE-2015-20,CLE,Illegal Block Above the Waist,09/27/2015,Oakland,B.Mingo,OLB,3-2015
CLE-2015-21,CLE,Offensive Pass Interference,09/27/2015,Oakland,R.Housler,TE,3-2015
CLE-2015-22,CLE,Roughing the Kicker,09/27/2015,Oakland,B.Mingo,OLB,3-2015
CLE-2015-23,CLE,False Start,09/27/2015,Oakland,J.Bitonio,G,3-2015
CLE-2015-24,CLE,False Start,09/27/2015,Oakland,J.Dray,TE,3-2015
CLE-2015-25,CLE,Defensive Offside,09/27/2015,Oakland,X.Cooper,DT,3-2015
CLE-2015-26,CLE,Offensive Holding,10/04/2015,San Diego,M.Johnson,FB,4-2015
CLE-2015-27,CLE,False Start,10/04/2015,San Diego,J.Thomas,T,4-2015
CLE-2015-28,CLE,Defensive Holding,10/04/2015,San Diego,T.Williams,DB,4-2015
