PenaltyIndex,team,penalty,game,opponent,player,position,week
DET-2015-0,DET,Personal Foul,09/13/2015,San Diego,J.Ihedigbo,SS,1-2015
DET-2015-1,DET,Encroachment,09/13/2015,San Diego,T.Walker,DE,1-2015
DET-2015-2,DET,Neutral Zone Infraction,09/13/2015,San Diego,J.Jones,DE,1-2015
DET-2015-3,DET,Delay of Game,09/13/2015,San Diego,S.Martin,P,1-2015
DET-2015-4,DET,Offensive Holding,09/20/2015,Minnesota,T.Wright,TE,2-2015
DET-2015-5,DET,Offensive Holding,09/20/2015,Minnesota,R.Reiff,T,2-2015
DET-2015-6,DET,Defensive Offside,09/20/2015,Minnesota,E.Ansah,DE,2-2015
DET-2015-7,DET,False Start,09/20/2015,Minnesota,C.Lucas,T,2-2015
DET-2015-8,DET,Defensive Holding,09/20/2015,Minnesota,Q.Diggs,CB,2-2015
DET-2015-9,DET,Defensive Offside,09/20/2015,Minnesota,J.Jones,DE,2-2015
DET-2015-10,DET,Offensive Holding,09/20/2015,Minnesota,G.Tate,WR,2-2015
DET-2015-11,DET,False Start,09/27/2015,Denver,C.Lucas,T,3-2015
DET-2015-12,DET,Unnecessary Roughness,09/27/2015,Denver,J.Ihedigbo,SS,3-2015
DET-2015-13,DET,Unnecessary Roughness,09/27/2015,Denver,E.Ansah,DE,3-2015
DET-2015-14,DET,Defensive Holding,09/27/2015,Denver,T.Lewis,LB,3-2015
DET-2015-15,DET,Offensive Holding,09/27/2015,Denver,L.Tomlinson,G,3-2015
DET-2015-16,DET,Offensive Pass Interference,09/27/2015,Denver,E.Ebron,TE,3-2015
DET-2015-17,DET,Illegal Formation,09/27/2015,Denver,E.Ebron,TE,3-2015
DET-2015-18,DET,Illegal Formation,09/27/2015,Denver,D.Slay,CB,3-2015
DET-2015-19,DET,False Start,09/27/2015,Denver,L.Waddle,T,3-2015
DET-2015-20,DET,False Start,09/27/2015,Denver,L.Waddle,T,3-2015
DET-2015-21,DET,Defensive Offside,10/05/2015,Seattle,H.Ngata,DT,4-2015
DET-2015-22,DET,Offensive Holding,10/05/2015,Seattle,T.Swanson,C,4-2015
DET-2015-23,DET,Unnecessary Roughness,10/05/2015,Seattle,R.Reiff,T,4-2015
DET-2015-24,DET,Illegal Block Above the Waist,10/05/2015,Seattle,T.Riddick,RB,4-2015
DET-2015-25,DET,Offensive Holding,10/11/2015,Arizona,J.Bynes,LB,5-2015
DET-2015-26,DET,Illegal Use of Hands,10/11/2015,Arizona,C.Fuller,WR,5-2015
DET-2015-27,DET,Face Mask (15 Yards),10/11/2015,Arizona,J.Ihedigbo,SS,5-2015
DET-2015-28,DET,Offensive Holding,10/11/2015,Arizona,L.Tomlinson,G,5-2015
DET-2015-29,DET,Chop Block,10/11/2015,Arizona,G.Tate,WR,5-2015
DET-2015-30,DET,False Start,10/11/2015,Arizona,M.Ramirez,G,5-2015
DET-2015-31,DET,Offensive Holding,10/11/2015,Arizona,B.Copeland,LB,5-2015
DET-2015-32,DET,False Start,10/11/2015,Arizona,C.Lucas,T,5-2015
DET-2015-33,DET,Offensive Holding,10/11/2015,Arizona,R.Reiff,T,5-2015
DET-2015-34,DET,Offensive Holding,10/11/2015,Arizona,D.Carey,SS,5-2015
DET-2015-35,DET,Defensive Offside,10/18/2015,Chicago,J.Bynes,LB,6-2015
DET-2015-36,DET,Unnecessary Roughness,10/18/2015,Chicago,G.Quin,FS,6-2015
DET-2015-37,DET,Offensive Holding,10/18/2015,Chicago,L.Tomlinson,G,6-2015
DET-2015-38,DET,Offensive Pass Interference,10/18/2015,Chicago,C.Johnson,WR,6-2015
DET-2015-39,DET,Neutral Zone Infraction,10/18/2015,Chicago,E.Ansah,DE,6-2015
DET-2015-40,DET,Defensive Holding,10/18/2015,Chicago,J.Bynes,LB,6-2015
DET-2015-41,DET,Intentional Grounding,10/18/2015,Chicago,M.Stafford,QB,6-2015
DET-2015-42,DET,Defensive Pass Interference,10/18/2015,Chicago,J.Wilson,DB,6-2015
DET-2015-43,DET,Defensive Pass Interference,10/18/2015,Chicago,D.Slay,CB,6-2015
DET-2015-44,DET,Offensive Holding,10/18/2015,Chicago,C.Lucas,T,6-2015
DET-2015-45,DET,Illegal Block Above the Waist,10/18/2015,Chicago,D.Taylor,DE,6-2015
DET-2015-46,DET,Illegal Contact,10/25/2015,Minnesota,R.Mathis,CB,7-2015
DET-2015-47,DET,Illegal Formation,10/25/2015,Minnesota,E.Ebron,TE,7-2015
DET-2015-48,DET,Offensive Holding,10/25/2015,Minnesota,D.Carey,SS,7-2015
DET-2015-49,DET,Defensive Holding,10/25/2015,Minnesota,Q.Diggs,CB,7-2015
DET-2015-50,DET,Delay of Game,10/25/2015,Minnesota,M.Stafford,QB,7-2015
DET-2015-51,DET,Illegal Block Above the Waist,11/01/2015,Kansas City,C.Fuller,WR,8-2015
DET-2015-52,DET,Encroachment,11/01/2015,Kansas City,J.Jones,DE,8-2015
DET-2015-53,DET,Offensive Holding,11/01/2015,Kansas City,R.Reiff,T,8-2015
DET-2015-54,DET,Face Mask (15 Yards),11/01/2015,Kansas City,J.Jones,DE,8-2015
DET-2015-55,DET,Unsportsmanlike Conduct,11/01/2015,Kansas City,J.Wilson,DB,8-2015
DET-2015-56,DET,Ineligible Downfield Pass,11/01/2015,Kansas City,L.Warford,G,8-2015
DET-2015-57,DET,Defensive Pass Interference,11/01/2015,Kansas City,N.Lawson,CB,8-2015
DET-2015-58,DET,Illegal Use of Hands,11/01/2015,Kansas City,N.Lawson,CB,8-2015
DET-2015-59,DET,Horse Collar Tackle,11/01/2015,Kansas City,G.Quin,FS,8-2015
DET-2015-60,DET,Defensive Holding,11/15/2015,Green Bay,J.Wilson,DB,10-2015
DET-2015-61,DET,Offensive Holding,11/15/2015,Green Bay,B.Pettigrew,TE,10-2015
DET-2015-62,DET,Defensive Pass Interference,11/15/2015,Green Bay,T.Whitehead,MLB,10-2015
DET-2015-63,DET,Roughing the Passer,11/15/2015,Green Bay,E.Ansah,DE,10-2015
,DET,False Start,11/22/2015,Oakland,M.Ola,11-2015,DET-2015-64
DET-2015-65,DET,Offensive Holding,11/22/2015,Oakland,L.Tomlinson,G,11-2015
DET-2015-66,DET,Illegal Formation,11/22/2015,Oakland,B.Pettigrew,TE,11-2015
DET-2015-67,DET,Intentional Grounding,11/22/2015,Oakland,M.Stafford,QB,11-2015
