PenaltyIndex,team,penalty,game,opponent,player,position,week
GB-2015-0,GB,Neutral Zone Infraction,09/13/2015,Chicago,N.Perry,OLB,1-2015
GB-2015-1,GB,Neutral Zone Infraction,09/13/2015,Chicago,M.Daniels,DT,1-2015
GB-2015-2,GB,Defensive Offside,09/13/2015,Chicago,S.Shields,CB,1-2015
GB-2015-3,GB,Defensive Holding,09/13/2015,Chicago,S.Shields,CB,1-2015
GB-2015-4,GB,Offensive Holding,09/13/2015,Chicago,D.Bakhtiari,T,1-2015
GB-2015-5,GB,Offensive Holding,09/13/2015,Chicago,B.Bulaga,T,1-2015
GB-2015-6,GB,Defensive Holding,09/13/2015,Chicago,B.Raji,DT,1-2015
GB-2015-7,GB,Illegal Formation,09/13/2015,Chicago,R.Cobb,WR,1-2015
GB-2015-8,GB,False Start,09/13/2015,Chicago,D.Bakhtiari,T,1-2015
GB-2015-9,GB,Illegal Block Above the Waist,09/13/2015,Chicago,N.Perry,OLB,1-2015
GB-2015-10,GB,Unnecessary Roughness,09/13/2015,Chicago,S.Richardson,DB,1-2015
GB-2015-11,GB,Illegal Use of Hands,09/20/2015,Seattle,J.Sitton,G,2-2015
GB-2015-12,GB,Delay of Game,09/20/2015,Seattle,A.Rodgers,QB,2-2015
GB-2015-13,GB,Offensive Holding,09/20/2015,Seattle,C.Linsley,C,2-2015
GB-2015-14,GB,Illegal Use of Hands,09/20/2015,Seattle,J.Janis,WR,2-2015
GB-2015-15,GB,Defensive Offside,09/20/2015,Seattle,M.Neal,LB,2-2015
GB-2015-16,GB,Unsportsmanlike Conduct,09/20/2015,Seattle,M.Daniels,DT,2-2015
GB-2015-17,GB,Defensive Offside,09/20/2015,Seattle,M.Pennel,DT,2-2015
GB-2015-18,GB,False Start,09/20/2015,Seattle,D.Bakhtiari,T,2-2015
GB-2015-19,GB,Unnecessary Roughness,09/20/2015,Seattle,T.Lang,G,2-2015
GB-2015-20,GB,Offensive Holding,09/28/2015,Kansas City,D.Bakhtiari,T,3-2015
GB-2015-21,GB,Illegal Contact,09/28/2015,Kansas City,J.Elliott,LB,3-2015
GB-2015-22,GB,Unsportsmanlike Conduct,09/28/2015,Kansas City,C.Hayward,CB,3-2015
GB-2015-23,GB,Offensive Pass Interference,09/28/2015,Kansas City,T.Montgomery,WR,3-2015
GB-2015-24,GB,Illegal Use of Hands,09/28/2015,Kansas City,T.Montgomery,WR,3-2015
GB-2015-25,GB,Face Mask (15 Yards),09/28/2015,Kansas City,Q.Rollins,CB,3-2015
GB-2015-26,GB,Face Mask (15 Yards),09/28/2015,Kansas City,D.Barclay,T,3-2015
GB-2015-27,GB,Encroachment,09/28/2015,Kansas City,B.Raji,DT,3-2015
GB-2015-28,GB,Defensive Holding,09/28/2015,Kansas City,D.Randall,CB,3-2015
GB-2015-29,GB,Unnecessary Roughness,09/28/2015,Kansas City,H.Clinton,FS,3-2015
GB-2015-30,GB,Illegal Shift,09/28/2015,Kansas City,J.Janis,WR,3-2015
GB-2015-31,GB,Defensive Offside,09/28/2015,Kansas City,J.Peppers,OLB,3-2015
