PenaltyIndex,team,penalty,game,opponent,player,position,week
IND-2015-0,IND,Offensive Holding,09/13/2015,Buffalo,K.Holmes,C,1-2015
IND-2015-1,IND,False Start,09/13/2015,Buffalo,L.Louis,G,1-2015
IND-2015-2,IND,Offensive Holding,09/13/2015,Buffalo,D.Allen,TE,1-2015
IND-2015-3,IND,Offensive Holding,09/13/2015,Buffalo,A.Castonzo,T,1-2015
IND-2015-4,IND,Roughing the Passer,09/13/2015,Buffalo,E.Walden,OLB,1-2015
IND-2015-5,IND,Illegal Use of Hands,09/21/2015,N.Y. Jets,E.Walden,OLB,2-2015
IND-2015-6,IND,Unnecessary Roughness,09/21/2015,N.Y. Jets,D.Lowery,DB,2-2015
IND-2015-7,IND,Offensive Holding,09/21/2015,N.Y. Jets,D.Allen,TE,2-2015
IND-2015-8,IND,Offensive Holding,09/21/2015,N.Y. Jets,A.Castonzo,T,2-2015
IND-2015-9,IND,Defensive Holding,09/21/2015,N.Y. Jets,V.Davis,CB,2-2015
IND-2015-10,IND,Intentional Grounding,09/21/2015,N.Y. Jets,A.Luck,QB,2-2015
IND-2015-11,IND,Defensive Holding,09/21/2015,N.Y. Jets,V.Davis,CB,2-2015
IND-2015-12,IND,Neutral Zone Infraction,09/21/2015,N.Y. Jets,T.Cole,LB,2-2015
IND-2015-13,IND,Offensive Holding,09/21/2015,N.Y. Jets,T.Herremans,G,2-2015
IND-2015-14,IND,Offensive Holding,09/21/2015,N.Y. Jets,J.Doyle,TE,2-2015
IND-2015-15,IND,Defensive Holding,09/21/2015,N.Y. Jets,S.Price,CB,2-2015
IND-2015-16,IND,Defensive Holding,09/21/2015,N.Y. Jets,J.Brown,DB,2-2015
IND-2015-17,IND,Illegal Block Above the Waist,09/21/2015,N.Y. Jets,S.Moore,LB,2-2015
IND-2015-18,IND,Offensive Holding,09/27/2015,Tennessee,H.Thornton,G,3-2015
IND-2015-19,IND,False Start,09/27/2015,Tennessee,J.Mewhort,G,3-2015
IND-2015-20,IND,Illegal Contact,09/27/2015,Tennessee,D.Jackson,ILB,3-2015
IND-2015-21,IND,False Start,09/27/2015,Tennessee,H.Thornton,G,3-2015
IND-2015-22,IND,Offensive Holding,09/27/2015,Tennessee,H.Thornton,G,3-2015
IND-2015-23,IND,Offensive Holding,09/27/2015,Tennessee,H.Thornton,G,3-2015
IND-2015-24,IND,Offensive Holding,09/27/2015,Tennessee,C.Fleener,TE,3-2015
IND-2015-25,IND,False Start,09/27/2015,Tennessee,J.Mewhort,G,3-2015
IND-2015-26,IND,Roughing the Passer,09/27/2015,Tennessee,E.Walden,OLB,3-2015
IND-2015-27,IND,Defensive Pass Interference,09/27/2015,Tennessee,V.Davis,CB,3-2015
IND-2015-28,IND,Defensive Pass Interference,09/27/2015,Tennessee,J.Brown,DB,3-2015
IND-2015-29,IND,Illegal Formation,10/04/2015,Jacksonville,J.Harrison,C,4-2015
IND-2015-30,IND,Ineligible Downfield Pass,10/04/2015,Jacksonville,J.Reitz,G,4-2015
IND-2015-31,IND,Offensive Holding,10/04/2015,Jacksonville,J.Mewhort,G,4-2015
IND-2015-32,IND,Delay of Game,10/04/2015,Jacksonville,M.Hasselbeck,QB,4-2015
IND-2015-33,IND,Delay of Game,10/04/2015,Jacksonville,P.McAfee,P,4-2015
IND-2015-34,IND,Illegal Formation,10/04/2015,Jacksonville,J.Reitz,G,4-2015
IND-2015-35,IND,Defensive Pass Interference,10/04/2015,Jacksonville,V.Davis,CB,4-2015
IND-2015-36,IND,Chop Block,10/08/2015,Houston,F.Gore,RB,5-2015
IND-2015-37,IND,Offensive Holding,10/08/2015,Houston,J.Reitz,G,5-2015
IND-2015-38,IND,Roughing the Passer,10/08/2015,Houston,S.Moore,LB,5-2015
IND-2015-39,IND,Defensive Holding,10/08/2015,Houston,R.Mathis,OLB,5-2015
IND-2015-40,IND,Defensive Offside,10/08/2015,Houston,R.Mathis,OLB,5-2015
IND-2015-41,IND,False Start,10/08/2015,Houston,A.Castonzo,T,5-2015
IND-2015-42,IND,Ineligible Downfield Pass,10/08/2015,Houston,H.Thornton,G,5-2015
IND-2015-43,IND,False Start,10/18/2015,New England,A.Castonzo,T,6-2015
IND-2015-44,IND,Defensive Offside,10/18/2015,New England,T.Cole,LB,6-2015
IND-2015-45,IND,False Start,10/18/2015,New England,A.Johnson,WR,6-2015
IND-2015-46,IND,Defensive Offside,10/18/2015,New England,T.Cole,LB,6-2015
IND-2015-47,IND,Face Mask (15 Yards),10/18/2015,New England,M.Adams,SS,6-2015
IND-2015-48,IND,Offensive Holding,10/18/2015,New England,K.Holmes,C,6-2015
IND-2015-49,IND,Defensive Pass Interference,10/18/2015,New England,G.Toler,CB,6-2015
IND-2015-50,IND,Offensive Holding,10/18/2015,New England,A.Castonzo,T,6-2015
IND-2015-51,IND,Illegal Block Above the Waist,10/18/2015,New England,W.Guy,FS,6-2015
IND-2015-52,IND,Offensive Holding,10/18/2015,New England,J.Reitz,G,6-2015
IND-2015-53,IND,Offensive Holding,10/18/2015,New England,A.Castonzo,T,6-2015
IND-2015-54,IND,Offensive Holding,10/18/2015,New England,J.Reitz,G,6-2015
IND-2015-55,IND,Offensive Holding,10/18/2015,New England,J.Thomas,G,6-2015
IND-2015-56,IND,Illegal Block Above the Waist,10/25/2015,New Orleans,D.McDonald,DB,7-2015
IND-2015-57,IND,Offensive Holding,10/25/2015,New Orleans,H.Thornton,G,7-2015
IND-2015-58,IND,Defensive Offside,10/25/2015,New Orleans,K.Langford,DE,7-2015
IND-2015-59,IND,Defensive Holding,10/25/2015,New Orleans,D.Jackson,ILB,7-2015
IND-2015-60,IND,Offensive Holding,10/25/2015,New Orleans,D.McDonald,DB,7-2015
IND-2015-61,IND,False Start,10/25/2015,New Orleans,A.Castonzo,T,7-2015
IND-2015-62,IND,Illegal Block Above the Waist,10/25/2015,New Orleans,J.McNary,ILB,7-2015
IND-2015-63,IND,Player Out of Bounds on Punt,10/25/2015,New Orleans,D.McDonald,DB,7-2015
IND-2015-64,IND,Running Into the Kicker,10/25/2015,New Orleans,C.Anderson,FS,7-2015
IND-2015-65,IND,Illegal Use of Hands,10/25/2015,New Orleans,D.McDonald,DB,7-2015
IND-2015-66,IND,Offensive Holding,10/25/2015,New Orleans,A.Castonzo,T,7-2015
IND-2015-67,IND,Neutral Zone Infraction,11/02/2015,Carolina,E.Walden,OLB,8-2015
IND-2015-68,IND,Offensive Holding,11/02/2015,Carolina,J.Reitz,G,8-2015
IND-2015-69,IND,False Start,11/08/2015,Denver,J.Mewhort,G,9-2015
IND-2015-70,IND,Interference with Opportunity to Catch,11/08/2015,Denver,W.Guy,FS,9-2015
IND-2015-71,IND,Defensive Pass Interference,11/08/2015,Denver,G.Toler,CB,9-2015
IND-2015-72,IND,Illegal Touch Pass,11/08/2015,Denver,T.Hilton,WR,9-2015
IND-2015-73,IND,Defensive Pass Interference,11/22/2015,Atlanta,C.Geathers,SS,11-2015
IND-2015-74,IND,False Start,11/22/2015,Atlanta,W.Guy,FS,11-2015
IND-2015-75,IND,Defensive Pass Interference,11/22/2015,Atlanta,D.Butler,CB,11-2015
IND-2015-76,IND,False Start,11/22/2015,Atlanta,H.Thornton,G,11-2015
IND-2015-77,IND,Neutral Zone Infraction,11/22/2015,Atlanta,E.Walden,OLB,11-2015
IND-2015-78,IND,Defensive Offside,11/22/2015,Atlanta,J.Newsome,OLB,11-2015
IND-2015-79,IND,Illegal Use of Hands,11/22/2015,Atlanta,V.Davis,CB,11-2015
IND-2015-80,IND,Offensive Holding,11/22/2015,Atlanta,D.Adongo,OLB,11-2015
,IND,Offensive Holding,11/29/2015,Tampa Bay,D.Good,12-2015,IND-2015-81
,IND,Horse Collar Tackle,11/29/2015,Tampa Bay,D.Good,12-2015,IND-2015-82
,IND,False Start,11/29/2015,Tampa Bay,D.Good,12-2015,IND-2015-83
IND-2015-84,IND,Unnecessary Roughness,11/29/2015,Tampa Bay,T.McGill,DT,12-2015
,IND,False Start,11/29/2015,Tampa Bay,D.Good,12-2015,IND-2015-85
IND-2015-86,IND,Defensive Holding,11/29/2015,Tampa Bay,D.Butler,CB,12-2015
IND-2015-87,IND,Offensive Holding,12/06/2015,Pittsburgh,J.Reitz,G,13-2015
IND-2015-88,IND,Delay of Game,12/06/2015,Pittsburgh,M.Hasselbeck,QB,13-2015
IND-2015-89,IND,Defensive Holding,12/06/2015,Pittsburgh,J.Newsome,OLB,13-2015
IND-2015-90,IND,Defensive Holding,12/06/2015,Pittsburgh,V.Davis,CB,13-2015
IND-2015-91,IND,Delay of Game,12/06/2015,Pittsburgh,M.Hasselbeck,QB,13-2015
IND-2015-92,IND,Delay of Game,12/13/2015,Jacksonville,M.Hasselbeck,QB,14-2015
