PenaltyIndex,team,penalty,game,opponent,player,position,week
JAC-2015-0,JAC,Illegal Use of Hands,09/13/2015,Carolina,B.Linder,G,1-2015
JAC-2015-1,JAC,Illegal Block Above the Waist,09/13/2015,Carolina,A.Colvin,CB,1-2015
JAC-2015-2,JAC,Defensive Holding,09/13/2015,Carolina,A.Colvin,CB,1-2015
JAC-2015-3,JAC,Offensive Holding,09/13/2015,Carolina,L.Joeckel,T,1-2015
JAC-2015-4,JAC,Offensive Holding,09/13/2015,Carolina,S.Young,T,1-2015
JAC-2015-5,JAC,Offensive Holding,09/20/2015,Miami,S.Wisniewski,C,2-2015
JAC-2015-6,JAC,Offensive Holding,09/20/2015,Miami,J.Lotulelei,LB,2-2015
JAC-2015-7,JAC,Offensive Holding,09/20/2015,Miami,S.Wisniewski,C,2-2015
JAC-2015-8,JAC,Face Mask (15 Yards),09/20/2015,Miami,D.Skuta,LB,2-2015
JAC-2015-9,JAC,Defensive Offside,09/20/2015,Miami,C.Smith,DE,2-2015
JAC-2015-10,JAC,Offensive Pass Interference,09/20/2015,Miami,A.Robinson,WR,2-2015
JAC-2015-11,JAC,Roughing the Passer,09/20/2015,Miami,T.Alualu,DE,2-2015
JAC-2015-12,JAC,Illegal Use of Hands,09/20/2015,Miami,J.Parnell,T,2-2015
JAC-2015-13,JAC,Offensive Holding,09/20/2015,Miami,D.Skuta,LB,2-2015
JAC-2015-14,JAC,Offensive Holding,09/20/2015,Miami,L.Reynolds,OLB,2-2015
JAC-2015-15,JAC,Offensive Pass Interference,09/20/2015,Miami,M.Lee,WR,2-2015
JAC-2015-16,JAC,Offensive Holding,09/27/2015,New England,B.Linder,G,3-2015
JAC-2015-17,JAC,Offensive Holding,09/27/2015,New England,B.Linder,G,3-2015
JAC-2015-18,JAC,Roughing the Passer,09/27/2015,New England,D.Skuta,LB,3-2015
JAC-2015-19,JAC,Delay of Game,09/27/2015,New England,B.Anger,P,3-2015
JAC-2015-20,JAC,Defensive Pass Interference,09/27/2015,New England,P.Thompson,CB,3-2015
JAC-2015-21,JAC,Defensive Pass Interference,09/27/2015,New England,J.Sample,SS,3-2015
JAC-2015-22,JAC,Horse Collar Tackle,09/27/2015,New England,P.Thompson,CB,3-2015
JAC-2015-23,JAC,False Start,10/04/2015,Indianapolis,L.Joeckel,T,4-2015
JAC-2015-24,JAC,Defensive Pass Interference,10/04/2015,Indianapolis,J.Sample,SS,4-2015
JAC-2015-25,JAC,Roughing the Passer,10/04/2015,Indianapolis,C.Clemons,DE,4-2015
JAC-2015-26,JAC,Face Mask (15 Yards),10/04/2015,Indianapolis,A.Colvin,CB,4-2015
JAC-2015-27,JAC,Defensive Pass Interference,10/04/2015,Indianapolis,D.House,DB,4-2015
JAC-2015-28,JAC,Defensive 12 On-field,10/04/2015,Indianapolis,J.Sample,SS,4-2015
JAC-2015-29,JAC,False Start,10/04/2015,Indianapolis,J.Parnell,T,4-2015
JAC-2015-30,JAC,Offensive Holding,10/04/2015,Indianapolis,J.Parnell,T,4-2015
JAC-2015-31,JAC,Defensive Holding,10/04/2015,Indianapolis,D.House,DB,4-2015
JAC-2015-32,JAC,Neutral Zone Infraction,10/04/2015,Indianapolis,A.Branch,DE,4-2015
JAC-2015-33,JAC,Player Out of Bounds on Punt,10/04/2015,Indianapolis,N.Marshall,CB,4-2015
JAC-2015-34,JAC,Unnecessary Roughness,10/04/2015,Indianapolis,T.Smith,OLB,4-2015
JAC-2015-35,JAC,Delay of Game,10/04/2015,Indianapolis,B.Anger,P,4-2015
JAC-2015-36,JAC,Illegal Use of Hands,10/11/2015,Tampa Bay,A.Cann,G,5-2015
JAC-2015-37,JAC,False Start,10/11/2015,Tampa Bay,J.Parnell,T,5-2015
JAC-2015-38,JAC,Illegal Formation,10/11/2015,Tampa Bay,N.Jacobs,TE,5-2015
JAC-2015-39,JAC,Defensive Holding,10/11/2015,Tampa Bay,J.Cyprien,SS,5-2015
JAC-2015-40,JAC,Unnecessary Roughness,10/18/2015,Houston,J.Evans,FS,6-2015
JAC-2015-41,JAC,Defensive Offside,10/18/2015,Houston,C.Clemons,DE,6-2015
JAC-2015-42,JAC,Unnecessary Roughness,10/18/2015,Houston,P.Thompson,CB,6-2015
JAC-2015-43,JAC,Defensive Holding,10/18/2015,Houston,D.House,DB,6-2015
JAC-2015-44,JAC,Unnecessary Roughness,10/18/2015,Houston,J.Cyprien,SS,6-2015
JAC-2015-45,JAC,Offensive Holding,10/18/2015,Houston,A.Cann,G,6-2015
JAC-2015-46,JAC,False Start,10/18/2015,Houston,J.Parnell,T,6-2015
JAC-2015-47,JAC,Offside on Free Kick,10/18/2015,Houston,A.Hurns,WR,6-2015
JAC-2015-48,JAC,Kickoff Out of Bounds,10/18/2015,Houston,J.Myers,K,6-2015
JAC-2015-49,JAC,Offensive Holding,10/25/2015,Buffalo,L.Joeckel,T,7-2015
JAC-2015-50,JAC,Offensive Holding,10/25/2015,Buffalo,A.Cann,G,7-2015
JAC-2015-51,JAC,Ineligible Downfield Pass,10/25/2015,Buffalo,A.Cann,G,7-2015
JAC-2015-52,JAC,Offensive Pass Interference,10/25/2015,Buffalo,M.Lewis,TE,7-2015
JAC-2015-53,JAC,Neutral Zone Infraction,10/25/2015,Buffalo,R.Davis,DE,7-2015
JAC-2015-54,JAC,Illegal Use of Hands,10/25/2015,Buffalo,A.Branch,DE,7-2015
JAC-2015-55,JAC,Tripping,10/25/2015,Buffalo,J.Evans,FS,7-2015
JAC-2015-56,JAC,Roughing the Passer,10/25/2015,Buffalo,A.Branch,DE,7-2015
JAC-2015-57,JAC,Player Out of Bounds on Punt,10/25/2015,Buffalo,N.Marshall,CB,7-2015
JAC-2015-58,JAC,Defensive Pass Interference,10/25/2015,Buffalo,D.Gratz,CB,7-2015
JAC-2015-59,JAC,False Start,10/25/2015,Buffalo,L.Joeckel,T,7-2015
JAC-2015-60,JAC,Delay of Game,10/25/2015,Buffalo,B.Bortles,QB,7-2015
JAC-2015-61,JAC,Neutral Zone Infraction,11/08/2015,N.Y. Jets,J.Odrick,DE,9-2015
JAC-2015-62,JAC,Encroachment,11/08/2015,N.Y. Jets,T.Smith,OLB,9-2015
JAC-2015-63,JAC,Offensive Holding,11/08/2015,N.Y. Jets,A.Cann,G,9-2015
JAC-2015-64,JAC,Defensive Pass Interference,11/08/2015,N.Y. Jets,D.House,DB,9-2015
JAC-2015-65,JAC,Offensive Holding,11/08/2015,N.Y. Jets,J.Parnell,T,9-2015
JAC-2015-66,JAC,Delay of Game,11/15/2015,Baltimore,B.Bortles,QB,10-2015
JAC-2015-67,JAC,Offensive Holding,11/15/2015,Baltimore,M.Lewis,TE,10-2015
JAC-2015-68,JAC,Illegal Block Above the Waist,11/15/2015,Baltimore,D.Gratz,CB,10-2015
JAC-2015-69,JAC,Defensive Holding,11/15/2015,Baltimore,J.Cyprien,SS,10-2015
JAC-2015-70,JAC,False Start,11/15/2015,Baltimore,Z.Beadles,G,10-2015
JAC-2015-71,JAC,Defensive Holding,11/19/2015,Tennessee,A.Colvin,CB,11-2015
JAC-2015-72,JAC,Offensive Holding,11/19/2015,Tennessee,L.Joeckel,T,11-2015
JAC-2015-73,JAC,Running Into the Kicker,11/19/2015,Tennessee,S.Brown,FS,11-2015
JAC-2015-74,JAC,Defensive Holding,11/19/2015,Tennessee,D.Gratz,CB,11-2015
JAC-2015-75,JAC,Offensive Holding,11/19/2015,Tennessee,M.Lewis,TE,11-2015
JAC-2015-76,JAC,Defensive Pass Interference,11/19/2015,Tennessee,D.House,DB,11-2015
JAC-2015-77,JAC,Defensive Pass Interference,11/19/2015,Tennessee,A.Colvin,CB,11-2015
JAC-2015-78,JAC,Defensive Holding,11/19/2015,Tennessee,R.Miller,DT,11-2015
JAC-2015-79,JAC,Defensive Offside,11/29/2015,San Diego,C.Clemons,DE,12-2015
JAC-2015-80,JAC,Defensive Offside,11/29/2015,San Diego,A.Branch,DE,12-2015
JAC-2015-81,JAC,Illegal Forward Pass,11/29/2015,San Diego,B.Bortles,QB,12-2015
JAC-2015-82,JAC,Defensive Offside,11/29/2015,San Diego,C.Clemons,DE,12-2015
JAC-2015-83,JAC,Offensive Holding,11/29/2015,San Diego,L.Joeckel,T,12-2015
JAC-2015-84,JAC,Illegal Forward Pass,11/29/2015,San Diego,B.Bortles,QB,12-2015
JAC-2015-85,JAC,Neutral Zone Infraction,12/06/2015,Tennessee,J.Odrick,DE,13-2015
JAC-2015-86,JAC,Encroachment,12/06/2015,Tennessee,R.Miller,DT,13-2015
JAC-2015-87,JAC,Defensive Holding,12/06/2015,Tennessee,D.House,DB,13-2015
