PenaltyIndex,team,penalty,game,opponent,player,position,week
MIN-2015-0,MIN,Defensive Holding,09/14/2015,San Francisco,X.Rhodes,CB,1-2015
MIN-2015-1,MIN,Neutral Zone Infraction,09/14/2015,San Francisco,E.Griffen,DE,1-2015
MIN-2015-2,MIN,False Start,09/14/2015,San Francisco,R.Ellison,TE,1-2015
MIN-2015-3,MIN,Defensive Holding,09/14/2015,San Francisco,T.Newman,DB,1-2015
MIN-2015-4,MIN,Illegal Use of Hands,09/14/2015,San Francisco,E.Griffen,DE,1-2015
MIN-2015-5,MIN,Illegal Substitution,09/14/2015,San Francisco,M.Wallace,WR,1-2015
MIN-2015-6,MIN,Neutral Zone Infraction,09/20/2015,Detroit,E.Griffen,DE,2-2015
MIN-2015-7,MIN,Defensive Holding,09/20/2015,Detroit,X.Rhodes,CB,2-2015
MIN-2015-8,MIN,Unnecessary Roughness,09/20/2015,Detroit,M.Kalil,T,2-2015
MIN-2015-9,MIN,False Start,09/20/2015,Detroit,C.Johnson,WR,2-2015
MIN-2015-10,MIN,Defensive Pass Interference,09/20/2015,Detroit,X.Rhodes,CB,2-2015
MIN-2015-11,MIN,Delay of Game,09/20/2015,Detroit,M.Wallace,WR,2-2015
MIN-2015-12,MIN,Offensive Holding,09/20/2015,Detroit,M.Kalil,T,2-2015
MIN-2015-13,MIN,Illegal Use of Hands,09/20/2015,Detroit,E.Griffen,DE,2-2015
MIN-2015-14,MIN,Unnecessary Roughness,09/20/2015,Detroit,A.Barr,OLB,2-2015
MIN-2015-15,MIN,Defensive Holding,09/20/2015,Detroit,X.Rhodes,CB,2-2015
MIN-2015-16,MIN,Illegal Block Above the Waist,09/27/2015,San Diego,M.Asiata,RB,3-2015
MIN-2015-17,MIN,Ineligible Downfield Pass,09/27/2015,San Diego,B.Fusco,G,3-2015
MIN-2015-18,MIN,Roughing the Passer,09/27/2015,San Diego,E.Griffen,DE,3-2015
MIN-2015-19,MIN,Neutral Zone Infraction,10/04/2015,Denver,S.Floyd,DT,4-2015
MIN-2015-20,MIN,Illegal Block Above the Waist,10/04/2015,Denver,Z.Line,FB,4-2015
MIN-2015-21,MIN,Neutral Zone Infraction,10/04/2015,Denver,E.Griffen,DE,4-2015
MIN-2015-22,MIN,Defensive Pass Interference,10/04/2015,Denver,X.Rhodes,CB,4-2015
MIN-2015-23,MIN,Horse Collar Tackle,10/04/2015,Denver,X.Rhodes,CB,4-2015
MIN-2015-24,MIN,Defensive Holding,10/04/2015,Denver,C.Greenway,OLB,4-2015
MIN-2015-25,MIN,Neutral Zone Infraction,10/04/2015,Denver,E.Griffen,DE,4-2015
MIN-2015-26,MIN,False Start,10/04/2015,Denver,M.Kalil,T,4-2015
MIN-2015-27,MIN,Face Mask (15 Yards),10/04/2015,Denver,M.Wallace,WR,4-2015
MIN-2015-28,MIN,Defensive Pass Interference,10/04/2015,Denver,X.Rhodes,CB,4-2015
MIN-2015-29,MIN,Illegal Block Above the Waist,10/18/2015,Kansas City,D.Hunter,DE,6-2015
MIN-2015-30,MIN,Roughing the Passer,10/18/2015,Kansas City,S.Floyd,DT,6-2015
MIN-2015-31,MIN,False Start,10/18/2015,Kansas City,T.Clemmings,T,6-2015
MIN-2015-32,MIN,Defensive Holding,10/18/2015,Kansas City,X.Rhodes,CB,6-2015
MIN-2015-33,MIN,False Start,10/18/2015,Kansas City,J.Berger,C,6-2015
MIN-2015-34,MIN,Offensive Holding,10/18/2015,Kansas City,M.Kalil,T,6-2015
MIN-2015-35,MIN,Taunting,10/18/2015,Kansas City,A.Barr,OLB,6-2015
