PenaltyIndex,team,penalty,game,opponent,player,position,week
NYJ-2015-0,NYJ,Defensive Offside,09/13/2015,Cleveland,L.Douzable,DE,1-2015
NYJ-2015-1,NYJ,Offensive Holding,09/13/2015,Cleveland,B.Marshall,WR,1-2015
NYJ-2015-2,NYJ,Neutral Zone Infraction,09/13/2015,Cleveland,Q.Coples,OLB,1-2015
NYJ-2015-3,NYJ,Illegal Block Above the Waist,09/13/2015,Cleveland,M.Williams,CB,1-2015
NYJ-2015-4,NYJ,Offensive Pass Interference,09/21/2015,Indianapolis,E.Decker,WR,2-2015
NYJ-2015-5,NYJ,Defensive Offside,09/21/2015,Indianapolis,L.Williams,DE,2-2015
NYJ-2015-6,NYJ,Unnecessary Roughness,09/21/2015,Indianapolis,B.Skrine,DB,2-2015
NYJ-2015-7,NYJ,False Start,09/21/2015,Indianapolis,K.Davis,TE,2-2015
NYJ-2015-8,NYJ,Defensive Holding,09/21/2015,Indianapolis,A.Cromartie,DB,2-2015
NYJ-2015-9,NYJ,Unsportsmanlike Conduct,09/21/2015,Indianapolis,D.Davis,ILB,2-2015
NYJ-2015-10,NYJ,Unnecessary Roughness,09/21/2015,Indianapolis,B.Giacomini,T,2-2015
NYJ-2015-11,NYJ,Unnecessary Roughness,09/21/2015,Indianapolis,Q.Coples,OLB,2-2015
NYJ-2015-12,NYJ,Roughing the Passer,09/21/2015,Indianapolis,Q.Coples,OLB,2-2015
NYJ-2015-13,NYJ,False Start,09/21/2015,Indianapolis,B.Marshall,WR,2-2015
NYJ-2015-14,NYJ,False Start,09/27/2015,Philadelphia,Q.Enunwa,WR,3-2015
NYJ-2015-15,NYJ,Defensive Holding,09/27/2015,Philadelphia,A.Cromartie,DB,3-2015
NYJ-2015-16,NYJ,Unnecessary Roughness,09/27/2015,Philadelphia,D.Davis,ILB,3-2015
NYJ-2015-17,NYJ,Defensive Pass Interference,09/27/2015,Philadelphia,B.Skrine,DB,3-2015
NYJ-2015-18,NYJ,Illegal Formation,09/27/2015,Philadelphia,B.Giacomini,T,3-2015
NYJ-2015-19,NYJ,False Start,09/27/2015,Philadelphia,D.Ferguson,T,3-2015
NYJ-2015-20,NYJ,Illegal Use of Hands,09/27/2015,Philadelphia,Q.Coples,OLB,3-2015
NYJ-2015-21,NYJ,Illegal Block Above the Waist,10/04/2015,Miami,M.Williams,CB,4-2015
NYJ-2015-22,NYJ,Delay of Game,10/04/2015,Miami,R.Fitzpatrick,QB,4-2015
NYJ-2015-23,NYJ,Offensive Holding,10/04/2015,Miami,N.Mangold,C,4-2015
NYJ-2015-24,NYJ,Defensive Pass Interference,10/04/2015,Miami,D.Revis,DB,4-2015
NYJ-2015-25,NYJ,Defensive Pass Interference,10/04/2015,Miami,M.Gilchrist,DB,4-2015
