PenaltyIndex,team,penalty,game,opponent,player,position,week
PHI-2015-0,PHI,Offensive Holding,09/14/2015,Atlanta,L.Johnson,T,1-2015
PHI-2015-1,PHI,Defensive Pass Interference,09/14/2015,Atlanta,B.Maxwell,DB,1-2015
PHI-2015-2,PHI,Delay of Game,09/14/2015,Atlanta,D.Jones,P,1-2015
PHI-2015-3,PHI,Illegal Block Above the Waist,09/14/2015,Atlanta,W.Thurmond,DB,1-2015
PHI-2015-4,PHI,Offensive Holding,09/14/2015,Atlanta,B.Maxwell,DB,1-2015
PHI-2015-5,PHI,Illegal Contact,09/14/2015,Atlanta,K.Alonso,LB,1-2015
PHI-2015-6,PHI,Offensive Holding,09/14/2015,Atlanta,A.Barbre,T,1-2015
PHI-2015-7,PHI,Offensive Holding,09/14/2015,Atlanta,A.Gardner,G,1-2015
PHI-2015-8,PHI,False Start,09/14/2015,Atlanta,J.Peters,T,1-2015
PHI-2015-9,PHI,Face Mask (15 Yards),09/14/2015,Atlanta,D.Murray,RB,1-2015
PHI-2015-10,PHI,Offensive Holding,09/14/2015,Atlanta,B.Celek,TE,1-2015
PHI-2015-11,PHI,Offensive Pass Interference,09/14/2015,Atlanta,N.Agholor,WR,1-2015
PHI-2015-12,PHI,Offensive Holding,09/14/2015,Atlanta,J.Kelce,C,1-2015
PHI-2015-13,PHI,Offensive Holding,09/14/2015,Atlanta,J.Kelce,C,1-2015
PHI-2015-14,PHI,Offensive Pass Interference,09/20/2015,Dallas,Z.Ertz,TE,2-2015
PHI-2015-15,PHI,Neutral Zone Infraction,09/20/2015,Dallas,V.Curry,DE,2-2015
PHI-2015-16,PHI,Unnecessary Roughness,09/20/2015,Dallas,V.Curry,DE,2-2015
PHI-2015-17,PHI,Defensive Holding,09/20/2015,Dallas,D.Ryans,ILB,2-2015
PHI-2015-18,PHI,Illegal Use of Hands,09/20/2015,Dallas,D.Ryans,ILB,2-2015
PHI-2015-19,PHI,Illegal Contact,09/20/2015,Dallas,B.Maxwell,DB,2-2015
PHI-2015-20,PHI,Illegal Use of Hands,09/20/2015,Dallas,J.Peters,T,2-2015
PHI-2015-21,PHI,Offensive Holding,09/20/2015,Dallas,A.Barbre,T,2-2015
PHI-2015-22,PHI,Delay of Game,09/20/2015,Dallas,S.Bradford,QB,2-2015
PHI-2015-23,PHI,Delay of Game,09/27/2015,N.Y. Jets,S.Bradford,QB,3-2015
PHI-2015-24,PHI,Offensive Holding,09/27/2015,N.Y. Jets,A.Barbre,T,3-2015
PHI-2015-25,PHI,Illegal Formation,09/27/2015,N.Y. Jets,L.Johnson,T,3-2015
PHI-2015-26,PHI,Neutral Zone Infraction,09/27/2015,N.Y. Jets,C.Barwin,OLB,3-2015
PHI-2015-27,PHI,Defensive Holding,09/27/2015,N.Y. Jets,B.Maxwell,DB,3-2015
PHI-2015-28,PHI,Offensive Holding,09/27/2015,N.Y. Jets,J.Kelce,C,3-2015
PHI-2015-29,PHI,Defensive Holding,09/27/2015,N.Y. Jets,B.Maxwell,DB,3-2015
PHI-2015-30,PHI,False Start,09/27/2015,N.Y. Jets,Z.Ertz,TE,3-2015
PHI-2015-31,PHI,Neutral Zone Infraction,10/04/2015,Washington,F.Cox,DE,4-2015
PHI-2015-32,PHI,Illegal Shift,10/04/2015,Washington,J.Huff,WR,4-2015
PHI-2015-33,PHI,Defensive Pass Interference,10/04/2015,Washington,E.Rowe,CB,4-2015
PHI-2015-34,PHI,Illegal Formation,10/04/2015,Washington,N.Agholor,WR,4-2015
PHI-2015-35,PHI,Offensive Holding,10/04/2015,Washington,J.Kelce,C,4-2015
PHI-2015-36,PHI,Offensive Pass Interference,10/04/2015,Washington,J.Matthews,WR,4-2015
PHI-2015-37,PHI,Unnecessary Roughness,10/04/2015,Washington,E.Rowe,CB,4-2015
PHI-2015-38,PHI,Offensive Holding,10/04/2015,Washington,B.Celek,TE,4-2015
PHI-2015-39,PHI,Defensive Holding,10/04/2015,Washington,N.Carroll,CB,4-2015
PHI-2015-40,PHI,Defensive Holding,10/04/2015,Washington,N.Carroll,CB,4-2015
PHI-2015-41,PHI,Offensive Pass Interference,10/11/2015,New Orleans,N.Agholor,WR,5-2015
PHI-2015-42,PHI,Offensive Pass Interference,10/11/2015,New Orleans,J.Matthews,WR,5-2015
PHI-2015-43,PHI,False Start,10/11/2015,New Orleans,L.Johnson,T,5-2015
PHI-2015-44,PHI,Neutral Zone Infraction,10/19/2015,N.Y. Giants,F.Cox,DE,6-2015
PHI-2015-45,PHI,Defensive Offside,10/19/2015,N.Y. Giants,C.Barwin,OLB,6-2015
PHI-2015-46,PHI,Defensive Holding,10/19/2015,N.Y. Giants,B.Maxwell,DB,6-2015
PHI-2015-47,PHI,Offensive Holding,10/19/2015,N.Y. Giants,J.Kelce,C,6-2015
PHI-2015-48,PHI,Defensive Pass Interference,10/19/2015,N.Y. Giants,B.Maxwell,DB,6-2015
PHI-2015-49,PHI,Roughing the Passer,10/19/2015,N.Y. Giants,C.Thornton,DE,6-2015
PHI-2015-50,PHI,Offensive Holding,10/19/2015,N.Y. Giants,E.Biggers,DB,6-2015
PHI-2015-51,PHI,False Start,10/19/2015,N.Y. Giants,L.Johnson,T,6-2015
PHI-2015-52,PHI,False Start,10/19/2015,N.Y. Giants,L.Johnson,T,6-2015
PHI-2015-53,PHI,Illegal Formation,10/19/2015,N.Y. Giants,J.Huff,WR,6-2015
PHI-2015-54,PHI,False Start,10/25/2015,Carolina,L.Johnson,T,7-2015
PHI-2015-55,PHI,Unnecessary Roughness,10/25/2015,Carolina,N.Goode,ILB,7-2015
PHI-2015-56,PHI,Offensive Holding,10/25/2015,Carolina,J.Kelce,C,7-2015
PHI-2015-57,PHI,False Start,10/25/2015,Carolina,L.Johnson,T,7-2015
PHI-2015-58,PHI,Encroachment,10/25/2015,Carolina,B.Logan,NT,7-2015
PHI-2015-59,PHI,Encroachment,10/25/2015,Carolina,B.Logan,NT,7-2015
PHI-2015-60,PHI,Illegal Contact,10/25/2015,Carolina,N.Carroll,CB,7-2015
PHI-2015-61,PHI,Offensive Holding,10/25/2015,Carolina,M.Tobin,G,7-2015
PHI-2015-62,PHI,False Start,11/08/2015,Dallas,L.Johnson,T,9-2015
PHI-2015-63,PHI,Illegal Use of Hands,11/08/2015,Dallas,M.Kendricks,ILB,9-2015
PHI-2015-64,PHI,Offensive Holding,11/08/2015,Dallas,D.Kelly,G,9-2015
PHI-2015-65,PHI,Taunting,11/08/2015,Dallas,B.Graham,LB,9-2015
PHI-2015-66,PHI,Defensive Holding,11/08/2015,Dallas,M.Kendricks,ILB,9-2015
PHI-2015-67,PHI,Defensive Pass Interference,11/08/2015,Dallas,B.Maxwell,DB,9-2015
PHI-2015-68,PHI,Defensive Pass Interference,11/08/2015,Dallas,B.Maxwell,DB,9-2015
PHI-2015-69,PHI,Defensive Holding,11/08/2015,Dallas,M.Jenkins,FS,9-2015
PHI-2015-70,PHI,False Start,11/08/2015,Dallas,L.Johnson,T,9-2015
PHI-2015-71,PHI,False Start,11/08/2015,Dallas,J.Matthews,WR,9-2015
PHI-2015-72,PHI,Defensive Offside,11/15/2015,Miami,M.Kendricks,ILB,10-2015
PHI-2015-73,PHI,False Start,11/15/2015,Miami,J.Kelce,C,10-2015
PHI-2015-74,PHI,Defensive Holding,11/15/2015,Miami,B.Maxwell,DB,10-2015
PHI-2015-75,PHI,Offensive Holding,11/15/2015,Miami,J.Kelce,C,10-2015
PHI-2015-76,PHI,Offensive Holding,11/15/2015,Miami,A.Barbre,T,10-2015
PHI-2015-77,PHI,Offensive Holding,11/15/2015,Miami,J.Kelce,C,10-2015
PHI-2015-78,PHI,Illegal Block Above the Waist,11/15/2015,Miami,S.Ajirotutu,WR,10-2015
PHI-2015-79,PHI,Offensive Holding,11/15/2015,Miami,L.Johnson,T,10-2015
PHI-2015-80,PHI,Defensive Holding,11/15/2015,Miami,N.Carroll,CB,10-2015
PHI-2015-81,PHI,Encroachment,11/15/2015,Miami,F.Cox,DE,10-2015
PHI-2015-82,PHI,Illegal Shift,11/15/2015,Miami,R.Cooper,WR,10-2015
PHI-2015-83,PHI,Defensive Offside,11/22/2015,Tampa Bay,V.Curry,DE,11-2015
PHI-2015-84,PHI,Defensive Offside,11/22/2015,Tampa Bay,B.Graham,LB,11-2015
PHI-2015-85,PHI,False Start,11/22/2015,Tampa Bay,J.Peters,T,11-2015
PHI-2015-86,PHI,Defensive Offside,11/22/2015,Tampa Bay,C.Barwin,OLB,11-2015
PHI-2015-87,PHI,Unnecessary Roughness,11/22/2015,Tampa Bay,T.Hart,DE,11-2015
PHI-2015-88,PHI,False Start,11/22/2015,Tampa Bay,T.Burton,TE,11-2015
PHI-2015-89,PHI,Face Mask (15 Yards),11/26/2015,Detroit,L.Johnson,T,12-2015
PHI-2015-90,PHI,Offensive Holding,11/26/2015,Detroit,M.Tobin,G,12-2015
PHI-2015-91,PHI,Unsportsmanlike Conduct,11/26/2015,Detroit,N.Agholor,WR,12-2015
PHI-2015-92,PHI,Offensive Holding,12/06/2015,New England,L.Johnson,T,13-2015
PHI-2015-93,PHI,Illegal Use of Hands,12/06/2015,New England,J.Peters,T,13-2015
PHI-2015-94,PHI,Illegal Block Above the Waist,12/06/2015,New England,K.Barner,RB,13-2015
PHI-2015-95,PHI,Delay of Game,12/06/2015,New England,S.Bradford,QB,13-2015
PHI-2015-96,PHI,False Start,12/06/2015,New England,J.Peters,T,13-2015
PHI-2015-97,PHI,Face Mask (15 Yards),12/06/2015,New England,A.Barbre,T,13-2015
PHI-2015-98,PHI,Illegal Contact,12/06/2015,New England,B.Maxwell,DB,13-2015
PHI-2015-99,PHI,Offensive Holding,12/06/2015,New England,J.Peters,T,13-2015
PHI-2015-100,PHI,Defensive Pass Interference,12/06/2015,New England,M.Jenkins,FS,13-2015
PHI-2015-101,PHI,Offensive Holding,12/13/2015,Buffalo,D.Kelly,G,14-2015
PHI-2015-102,PHI,Offensive Holding,12/13/2015,Buffalo,D.Kelly,G,14-2015
PHI-2015-103,PHI,Offensive Holding,12/13/2015,Buffalo,B.Celek,TE,14-2015
PHI-2015-104,PHI,Illegal Use of Hands,12/13/2015,Buffalo,J.Peters,T,14-2015
PHI-2015-105,PHI,Unnecessary Roughness,12/13/2015,Buffalo,R.Cooper,WR,14-2015
,PHI,Illegal Block Above the Waist,12/13/2015,Buffalo,E.Reynolds,14-2015,PHI-2015-106
PHI-2015-107,PHI,False Start,12/20/2015,Arizona,N.Agholor,WR,15-2015
PHI-2015-108,PHI,Offensive Holding,12/20/2015,Arizona,R.Mathews,RB,15-2015
PHI-2015-109,PHI,Illegal Block Above the Waist,12/20/2015,Arizona,C.Maragos,FS,15-2015
PHI-2015-110,PHI,Defensive Pass Interference,12/20/2015,Arizona,J.Watkins,DB,15-2015
PHI-2015-111,PHI,False Start,12/20/2015,Arizona,J.Peters,T,15-2015
PHI-2015-112,PHI,False Start,12/26/2015,Washington,J.Peters,T,16-2015
PHI-2015-113,PHI,Unnecessary Roughness,12/26/2015,Washington,M.Jenkins,FS,16-2015
PHI-2015-114,PHI,Intentional Grounding,12/26/2015,Washington,S.Bradford,QB,16-2015
PHI-2015-115,PHI,Offensive Holding,12/26/2015,Washington,J.Peters,T,16-2015
PHI-2015-116,PHI,Illegal Substitution,12/26/2015,Washington,K.Barner,RB,16-2015
PHI-2015-117,PHI,Illegal Formation,12/26/2015,Washington,L.Johnson,T,16-2015
PHI-2015-118,PHI,False Start,12/26/2015,Washington,M.Tobin,G,16-2015
PHI-2015-119,PHI,False Start,12/26/2015,Washington,A.Barbre,T,16-2015
PHI-2015-120,PHI,Defensive Delay of Game,12/26/2015,Washington,W.Thurmond,DB,16-2015
PHI-2015-121,PHI,Offensive Holding,12/26/2015,Washington,J.Matthews,WR,16-2015
PHI-2015-122,PHI,Illegal Use of Hands,01/03/2016,N.Y. Giants,D.Rice,DB,17-2015
PHI-2015-123,PHI,Tripping,01/03/2016,N.Y. Giants,J.Peters,T,17-2015
PHI-2015-124,PHI,Defensive 12 On-field,01/03/2016,N.Y. Giants,B.Allen,DT,17-2015
PHI-2015-125,PHI,Defensive Holding,01/03/2016,N.Y. Giants,E.Biggers,DB,17-2015
