PenaltyIndex,team,penalty,game,opponent,player,position,week
STL-2015-0,STL,Defensive Offside,09/13/2015,Seattle,E.Sims,DE,1-2015
STL-2015-1,STL,False Start,09/13/2015,Seattle,J.Brown,G,1-2015
STL-2015-2,STL,Roughing the Passer,09/13/2015,Seattle,R.Quinn,DE,1-2015
STL-2015-3,STL,Offensive Holding,09/13/2015,Seattle,G.Robinson,T,1-2015
STL-2015-4,STL,Illegal Motion,09/13/2015,Seattle,N.Foles,QB,1-2015
STL-2015-5,STL,False Start,09/13/2015,Seattle,R.Saffold,G,1-2015
STL-2015-6,STL,Offensive Holding,09/20/2015,Washington,T.Mason,RB,2-2015
STL-2015-7,STL,Neutral Zone Infraction,09/20/2015,Washington,A.Donald,LB,2-2015
STL-2015-8,STL,False Start,09/20/2015,Washington,L.Kendricks,TE,2-2015
STL-2015-9,STL,Taunting,09/20/2015,Washington,K.Britt,WR,2-2015
STL-2015-10,STL,Illegal Use of Hands,09/20/2015,Washington,J.Cook,TE,2-2015
STL-2015-11,STL,False Start,09/20/2015,Washington,R.Saffold,G,2-2015
STL-2015-12,STL,Illegal Substitution,09/20/2015,Washington,B.Cunningham,RB,2-2015
STL-2015-13,STL,Player Out of Bounds on Punt,09/20/2015,Washington,I.Pead,RB,2-2015
STL-2015-14,STL,Neutral Zone Infraction,09/20/2015,Washington,E.Westbrooks,DT,2-2015
STL-2015-15,STL,Face Mask (15 Yards),09/20/2015,Washington,R.Quinn,DE,2-2015
STL-2015-16,STL,Face Mask (15 Yards),09/20/2015,Washington,A.Ogletree,OLB,2-2015
STL-2015-17,STL,Defensive Pass Interference,09/27/2015,Pittsburgh,L.Joyner,CB,3-2015
STL-2015-18,STL,Defensive Holding,09/27/2015,Pittsburgh,M.Barron,SS,3-2015
STL-2015-19,STL,Offensive Holding,09/27/2015,Pittsburgh,G.Robinson,T,3-2015
STL-2015-20,STL,Offensive Holding,09/27/2015,Pittsburgh,L.Joyner,CB,3-2015
STL-2015-21,STL,False Start,09/27/2015,Pittsburgh,J.Cook,TE,3-2015
STL-2015-22,STL,False Start,09/27/2015,Pittsburgh,G.Robinson,T,3-2015
STL-2015-23,STL,Offside on Free Kick,09/27/2015,Pittsburgh,D.Bates,LB,3-2015
STL-2015-24,STL,Defensive Pass Interference,10/04/2015,Arizona,J.Jenkins,CB,4-2015
STL-2015-25,STL,Offensive Holding,10/04/2015,Arizona,C.Davis,DB,4-2015
STL-2015-26,STL,Illegal Shift,10/04/2015,Arizona,T.Austin,WR,4-2015
STL-2015-27,STL,Defensive Pass Interference,10/04/2015,Arizona,T.Johnson,CB,4-2015
STL-2015-28,STL,Offensive Holding,10/04/2015,Arizona,C.Harkey,TE,4-2015
STL-2015-29,STL,False Start,10/04/2015,Arizona,G.Robinson,T,4-2015
STL-2015-30,STL,Delay of Game,10/04/2015,Arizona,N.Foles,QB,4-2015
STL-2015-31,STL,Neutral Zone Infraction,10/11/2015,Green Bay,N.Fairley,DT,5-2015
STL-2015-32,STL,Delay of Game,10/11/2015,Green Bay,J.Hekker,P,5-2015
STL-2015-33,STL,Defensive Offside,10/11/2015,Green Bay,W.Hayes,DE,5-2015
STL-2015-34,STL,Delay of Game,10/11/2015,Green Bay,N.Foles,QB,5-2015
STL-2015-35,STL,Delay of Game,10/11/2015,Green Bay,N.Foles,QB,5-2015
STL-2015-36,STL,False Start,10/11/2015,Green Bay,J.Brown,G,5-2015
