team,penalty,game,opponent,player,position,week,year,penaltyindex
PIT,Offside on Free Kick,09/11/2011,Baltimore,E.Sanders,WR,1,2011,PIT-2011-0
PIT,Delay of Game,09/11/2011,Baltimore,B.Roethlisberger,QB,1,2011,PIT-2011-1
PIT,False Start,09/11/2011,Baltimore,W.Colon,G,1,2011,PIT-2011-2
PIT,Horse Collar Tackle,09/11/2011,Baltimore,T.Polamalu,SS,1,2011,PIT-2011-3
PIT,Unsportsmanlike Conduct,09/11/2011,Baltimore,I.Taylor,CB,1,2011,PIT-2011-4
PIT,Offensive Holding,09/11/2011,Baltimore,W.Colon,G,1,2011,PIT-2011-5
PIT,Illegal Block Above the Waist,09/18/2011,Seattle,L.Foote,MLB,2,2011,PIT-2011-6
PIT,Clipping,09/18/2011,Seattle,D.Legursky,C,2,2011,PIT-2011-7
PIT,Personal Foul,09/18/2011,Seattle,C.Brown,DB,2,2011,PIT-2011-8
PIT,Offensive Holding,09/18/2011,Seattle,J.Scott,T,2,2011,PIT-2011-9
PIT,Defensive Holding,09/18/2011,Seattle,C.Allen,CB,2,2011,PIT-2011-10
PIT,Offensive Holding,09/25/2011,Indianapolis,J.Scott,T,3,2011,PIT-2011-11
PIT,Low Block,09/25/2011,Indianapolis,A.Brown,WR,3,2011,PIT-2011-12
PIT,Offensive Holding,09/25/2011,Indianapolis,J.Scott,T,3,2011,PIT-2011-13
PIT,Illegal Formation,09/25/2011,Indianapolis,J.Scott,T,3,2011,PIT-2011-14
PIT,Unsportsmanlike Conduct,10/02/2011,Houston,M.Wallace,WR,4,2011,PIT-2011-15
PIT,Unnecessary Roughness,10/02/2011,Houston,M.Pouncey,C,4,2011,PIT-2011-16
PIT,False Start,10/02/2011,Houston,M.Gilbert,T,4,2011,PIT-2011-17
PIT,False Start,10/02/2011,Houston,M.Moore,RB,4,2011,PIT-2011-18
PIT,Offensive Holding,10/02/2011,Houston,M.Pouncey,C,4,2011,PIT-2011-19
PIT,False Start,10/02/2011,Houston,T.Essex,T,4,2011,PIT-2011-20
PIT,Unnecessary Roughness,10/09/2011,Tennessee,R.Clark,FS,5,2011,PIT-2011-21
PIT,Illegal Contact,10/09/2011,Tennessee,J.Farrior,ILB,5,2011,PIT-2011-22
PIT,Offensive Holding,10/09/2011,Tennessee,S.Sylvester,LB,5,2011,PIT-2011-23
PIT,False Start,10/09/2011,Tennessee,L.Foote,MLB,5,2011,PIT-2011-24
PIT,Defensive Pass Interference,10/09/2011,Tennessee,T.Polamalu,SS,5,2011,PIT-2011-25
PIT,Neutral Zone Infraction,10/16/2011,Jacksonville,L.Woodley,LB,6,2011,PIT-2011-26
PIT,Defensive Holding,10/16/2011,Jacksonville,R.Mundy,SS,6,2011,PIT-2011-27
PIT,Offensive Holding,10/16/2011,Jacksonville,M.Pouncey,C,6,2011,PIT-2011-28
PIT,Illegal Use of Hands,10/16/2011,Jacksonville,J.Scott,T,6,2011,PIT-2011-29
