Team,Penalty,NDate,Opponent,Player,Position,Week,Year,PenaltyIndex,HTeam,VTeam,key,Date,Exp,HPen,HPenYd,LastName,RefPosition,VPen,VPenYd
BUF,Face Mask (15 Yards),09/11/2011,KC,J.White,RB,1.0,2011.0,BUF-2011-0,KC,BUF,09-11-2011-KC,2011-09-11,227.0,1.0,3.0,Green,Referee,5.0,30.0
BUF,False Start,09/11/2011,KC,E.Pears,T,1.0,2011.0,BUF-2011-1,KC,BUF,09-11-2011-KC,2011-09-11,227.0,1.0,3.0,Green,Referee,5.0,30.0
BUF,False Start,09/11/2011,KC,C.Rinehart,G,1.0,2011.0,BUF-2011-2,KC,BUF,09-11-2011-KC,2011-09-11,227.0,1.0,3.0,Green,Referee,5.0,30.0
BUF,Delay of Game,09/11/2011,KC,R.Fitzpatrick,QB,1.0,2011.0,BUF-2011-3,KC,BUF,09-11-2011-KC,2011-09-11,227.0,1.0,3.0,Green,Referee,5.0,30.0
BUF,Defensive Offside,09/11/2011,KC,M.Dareus,DT,1.0,2011.0,BUF-2011-4,KC,BUF,09-11-2011-KC,2011-09-11,227.0,1.0,3.0,Green,Referee,5.0,30.0
BUF,Offensive Holding,09/11/2011,KC,C.Hairston,T,1.0,2011.0,BUF-2011-5,KC,BUF,09-11-2011-KC,2011-09-11,227.0,1.0,3.0,Green,Referee,5.0,30.0
BUF,Illegal Block Above the Waist,09/18/2011,OAK,C.McIntyre,FB,2.0,2011.0,BUF-2011-6,OAK,BUF,09-18-2011-OAK,,,,,,,,
BUF,Illegal Crackback,09/18/2011,OAK,D.Jones,WR,2.0,2011.0,BUF-2011-7,OAK,BUF,09-18-2011-OAK,,,,,,,,
BUF,Neutral Zone Infraction,09/18/2011,OAK,K.Heard,DT,2.0,2011.0,BUF-2011-8,OAK,BUF,09-18-2011-OAK,,,,,,,,
BUF,Illegal Contact,09/18/2011,OAK,G.Wilson,SS,2.0,2011.0,BUF-2011-9,OAK,BUF,09-18-2011-OAK,,,,,,,,
BUF,Defensive Holding,09/25/2011,NE,N.Barnett,LB,3.0,2011.0,BUF-2011-10,NE,BUF,09-25-2011-NE,,,,,,,,
BUF,Chop Block,09/25/2011,NE,E.Wood,C,3.0,2011.0,BUF-2011-11,NE,BUF,09-25-2011-NE,,,,,,,,
BUF,Offensive Holding,09/25/2011,NE,E.Wood,C,3.0,2011.0,BUF-2011-12,NE,BUF,09-25-2011-NE,,,,,,,,
BUF,Illegal Block Above the Waist,09/25/2011,NE,C.White,LB,3.0,2011.0,BUF-2011-13,NE,BUF,09-25-2011-NE,,,,,,,,
BUF,Offensive Holding,09/25/2011,NE,S.Chandler,TE,3.0,2011.0,BUF-2011-14,NE,BUF,09-25-2011-NE,,,,,,,,
BUF,Unnecessary Roughness,09/25/2011,NE,N.Barnett,LB,3.0,2011.0,BUF-2011-15,NE,BUF,09-25-2011-NE,,,,,,,,
BUF,Unnecessary Roughness,09/25/2011,NE,J.Byrd,FS,3.0,2011.0,BUF-2011-16,NE,BUF,09-25-2011-NE,,,,,,,,
BUF,Illegal Block Above the Waist,09/25/2011,NE,R.Corner,DB,3.0,2011.0,BUF-2011-17,NE,BUF,09-25-2011-NE,,,,,,,,
BUF,False Start,09/25/2011,NE,C.Rinehart,G,3.0,2011.0,BUF-2011-18,NE,BUF,09-25-2011-NE,,,,,,,,
