ref,exp,date,visitor,home,position,vpen,vpenyd,hpen,hpenyd
Hittner,273,1999-09-12,BUF,IND,Head-Linesman,12,90,8,75
Hittner,273,1999-09-19,TB,PHI,Head-Linesman,6,55,3,45
Hittner,273,1999-10-03,NO,CHI,Head-Linesman,6,41,5,35
Hittner,273,1999-10-10,DEN,OAK,Head-Linesman,3,17,3,30
Hittner,273,1999-10-24,DET,CAR,Head-Linesman,3,21,9,55
Hittner,273,1999-11-01,SEA,GB,Head-Linesman,6,67,10,103
Hittner,273,1999-11-07,ARI,NYJ,Head-Linesman,4,25,3,25
Hittner,273,1999-11-21,NE,MIA,Head-Linesman,5,50,5,30
Hittner,273,1999-11-28,SD,MIN,Head-Linesman,1,5,5,35
Hittner,273,1999-12-05,KC,DEN,Head-Linesman,11,106,7,52
Hittner,273,1999-12-12,CAR,GB,Head-Linesman,9,64,10,81
Hittner,273,1999-12-19,DET,CHI,Head-Linesman,6,43,8,62
Hittner,273,1999-12-26,WAS,SF,Head-Linesman,6,38,1,10
Hittner,273,2000-01-02,NYG,DAL,Head-Linesman,5,44,7,56
Hittner,273,2000-01-08,BUF,None,Head-Linesman,10,59,2,12
Hittner,273,2000-09-03,CHI,MIN,Head-Linesman,5,45,4,20
Hittner,273,2000-09-10,CAR,SF,Head-Linesman,6,50,9,67
Hittner,273,2000-09-17,CIN,JAC,Head-Linesman,6,44,7,76
Hittner,273,2000-09-24,NE,MIA,Head-Linesman,3,30,5,40
Hittner,273,2000-10-02,SEA,KC,Head-Linesman,7,45,12,77
Hittner,273,2000-10-08,DEN,SD,Head-Linesman,9,113,6,57
Hittner,273,2000-10-22,CLE,PIT,Head-Linesman,8,77,5,47
Hittner,273,2000-10-29,STL,SF,Head-Linesman,11,90,8,80
Hittner,273,2000-11-05,IND,CHI,Head-Linesman,7,81,8,58
Hittner,273,2000-11-12,CIN,DAL,Head-Linesman,7,94,13,100
Hittner,273,2000-11-26,BUF,TB,Head-Linesman,8,70,7,71
Hittner,273,2000-12-03,NYG,WAS,Head-Linesman,3,20,4,35
Hittner,273,2000-12-10,NYJ,OAK,Head-Linesman,6,27,7,60
Hittner,273,2000-12-17,ATL,NO,Head-Linesman,5,33,7,50
Hittner,273,2000-12-25,DAL,TEN,Head-Linesman,7,51,7,51
Hittner,273,2001-01-14,BAL,None,Head-Linesman,10,95,5,36
Hittner,273,2001-09-23,BAL,CIN,Head-Linesman,7,45,8,46
Hittner,273,2001-09-30,TB,MIN,Head-Linesman,3,25,6,36
Hittner,273,2001-10-15,WAS,DAL,Head-Linesman,7,60,3,22
Hittner,273,2001-10-21,PIT,TB,Head-Linesman,1,5,1,10
Hittner,273,2001-10-25,IND,KC,Head-Linesman,7,54,2,10
Hittner,273,2001-11-04,DET,SF,Head-Linesman,8,62,6,83
Hittner,273,2001-11-11,GB,CHI,Head-Linesman,7,50,1,15
Hittner,273,2001-11-18,TEN,CIN,Head-Linesman,11,93,8,70
Hittner,273,2001-12-02,BUF,SF,Head-Linesman,7,47,1,10
Hittner,273,2001-12-09,NYG,DAL,Head-Linesman,2,15,6,45
Hittner,273,2001-12-16,MIN,DET,Head-Linesman,6,40,13,123
Hittner,273,2001-12-23,CHI,WAS,Head-Linesman,1,6,6,38
Hittner,273,2001-12-30,BUF,NYJ,Head-Linesman,9,53,3,25
Hittner,273,2002-01-06,KC,SEA,Head-Linesman,2,15,4,30
Hittner,273,2002-01-12,NYJ,None,Head-Linesman,0,0,5,76
Hittner,273,2002-02-03,STL,None,Head-Linesman,6,39,5,31
Hittner,273,2002-09-15,TEN,DAL,Head-Linesman,6,55,2,15
Hittner,273,2002-09-22,SD,ARI,Head-Linesman,8,80,2,25
Hittner,273,2002-09-29,MIA,KC,Head-Linesman,9,86,10,71
Hittner,273,2002-10-07,GB,CHI,Head-Linesman,5,49,7,65
Hittner,273,2002-10-13,BUF,HOU,Head-Linesman,13,128,11,75
Hittner,273,2002-10-20,SF,NO,Head-Linesman,5,42,4,35
Hittner,273,2002-11-03,WAS,SEA,Head-Linesman,6,68,5,52
Hittner,273,2002-11-10,SD,STL,Head-Linesman,12,82,10,85
Hittner,273,2002-11-17,NE,OAK,Head-Linesman,7,34,12,115
Hittner,273,2002-11-24,CIN,PIT,Head-Linesman,9,110,5,40
Hittner,273,2002-12-01,ATL,MIN,Head-Linesman,5,34,10,95
Hittner,273,2002-12-08,NYG,WAS,Head-Linesman,8,61,12,90
Hittner,273,2002-12-15,IND,CLE,Head-Linesman,5,44,7,39
Hittner,273,2002-12-21,PHI,DAL,Head-Linesman,10,67,7,69
Hittner,273,2002-12-29,CAR,NO,Head-Linesman,3,19,4,27
Hittner,273,2003-01-19,TEN,None,Head-Linesman,7,60,14,127
Hittner,273,2003-09-07,SD,KC,Head-Linesman,8,55,7,62
Hittner,273,2003-09-14,CIN,OAK,Head-Linesman,7,65,6,59
Hittner,273,2003-09-14,DEN,SD,Head-Linesman,10,81,11,96
Hittner,273,2003-09-21,STL,SEA,Head-Linesman,3,15,4,30
Hittner,273,2003-09-28,JAC,HOU,Head-Linesman,9,48,4,43
Hittner,273,2003-10-05,WAS,PHI,Head-Linesman,11,85,7,86
Hittner,273,2003-10-12,CHI,NO,Head-Linesman,5,86,6,35
Hittner,273,2003-10-19,NYJ,HOU,Head-Linesman,2,9,8,50
Hittner,273,2003-10-26,BUF,KC,Head-Linesman,5,31,5,60
Hittner,273,2003-11-09,MIN,SD,Head-Linesman,10,107,6,49
Hittner,273,2003-11-17,PIT,SF,Head-Linesman,3,30,4,20
Hittner,273,2003-11-23,CAR,DAL,Head-Linesman,11,68,10,123
Hittner,273,2003-11-30,CLE,SEA,Head-Linesman,4,35,5,45
Hittner,273,2003-12-07,CHI,GB,Head-Linesman,5,45,8,57
Hittner,273,2003-12-14,BAL,OAK,Head-Linesman,8,55,9,70
Hittner,273,2003-12-21,CIN,STL,Head-Linesman,5,38,6,40
Hittner,273,2003-12-28,IND,HOU,Head-Linesman,6,60,6,40
Hittner,273,2004-01-11,GB,None,Head-Linesman,6,45,3,25
Hittner,273,2004-02-01,CAR,None,Head-Linesman,12,73,8,60
Hittner,273,2004-09-12,SEA,NO,Head-Linesman,5,45,8,68
Hittner,273,2004-09-19,CLE,DAL,Head-Linesman,6,31,11,120
Hittner,273,2004-09-26,GB,IND,Head-Linesman,11,84,9,70
Hittner,273,2004-10-03,PHI,CHI,Head-Linesman,10,73,4,36
Hittner,273,2004-10-10,MIN,HOU,Head-Linesman,10,75,11,88
Hittner,273,2004-10-17,KC,JAC,Head-Linesman,5,30,5,46
Hittner,273,2004-10-31,CAR,SEA,Head-Linesman,10,79,2,13
Hittner,273,2004-11-07,NE,STL,Head-Linesman,7,48,10,80
