team,penalty,game,opponent,player,position,week,year,penaltyindex
SD,Defensive Offside,09/10/2012,Oakland,M.Ingram,OLB,1,2012,SD-2012-0
SD,Illegal Block Above the Waist,09/10/2012,Oakland,D.Stuckey,DB,1,2012,SD-2012-1
SD,Defensive Pass Interference,09/10/2012,Oakland,Q.Jammer,CB,1,2012,SD-2012-2
SD,Neutral Zone Infraction,09/10/2012,Oakland,V.Martin,DT,1,2012,SD-2012-3
SD,False Start,09/10/2012,Oakland,R.McMichael,TE,1,2012,SD-2012-4
SD,Illegal Block Above the Waist,09/10/2012,Oakland,N.Hardwick,C,1,2012,SD-2012-5
SD,Defensive Pass Interference,09/10/2012,Oakland,A.Cason,CB,1,2012,SD-2012-6
SD,Roughing the Passer,09/10/2012,Oakland,M.Ingram,OLB,1,2012,SD-2012-7
SD,Delay of Game,09/10/2012,Oakland,P.Rivers,QB,1,2012,SD-2012-8
SD,Offensive Holding,09/16/2012,Tennessee,R.McMichael,TE,2,2012,SD-2012-9
SD,Offensive Holding,09/16/2012,Tennessee,D.Rosario,TE,2,2012,SD-2012-10
SD,Personal Foul,09/16/2012,Tennessee,V.Martin,DT,2,2012,SD-2012-11
SD,Offensive Holding,09/16/2012,Tennessee,M.Harris,G,2,2012,SD-2012-12
SD,Offensive Holding,09/16/2012,Tennessee,M.Harris,G,2,2012,SD-2012-13
SD,Defensive Holding,09/23/2012,Atlanta,A.Cason,CB,3,2012,SD-2012-14
SD,Defensive Holding,09/23/2012,Atlanta,A.Bigby,SS,3,2012,SD-2012-15
SD,False Start,09/23/2012,Atlanta,N.Hardwick,C,3,2012,SD-2012-16
SD,False Start,09/23/2012,Atlanta,M.Floyd,WR,3,2012,SD-2012-17
SD,Intentional Grounding,09/30/2012,Kansas City,P.Rivers,QB,4,2012,SD-2012-18
SD,Offensive Holding,09/30/2012,Kansas City,T.Green,G,4,2012,SD-2012-19
SD,Offensive Holding,09/30/2012,Kansas City,R.Goodman,WR,4,2012,SD-2012-20
SD,Defensive Pass Interference,09/30/2012,Kansas City,Q.Jammer,CB,4,2012,SD-2012-21
SD,Defensive Pass Interference,09/30/2012,Kansas City,A.Cason,CB,4,2012,SD-2012-22
SD,Illegal Contact,09/30/2012,Kansas City,Q.Jammer,CB,4,2012,SD-2012-23
SD,Personal Foul,09/30/2012,Kansas City,D.Butler,ILB,4,2012,SD-2012-24
SD,Illegal Contact,09/30/2012,Kansas City,D.Butler,ILB,4,2012,SD-2012-25
SD,Offensive Holding,10/07/2012,New Orleans,R.McMichael,TE,5,2012,SD-2012-26
SD,False Start,10/07/2012,New Orleans,M.Floyd,WR,5,2012,SD-2012-27
SD,Delay of Game,10/07/2012,New Orleans,P.Rivers,QB,5,2012,SD-2012-28
SD,Roughing the Passer,10/07/2012,New Orleans,M.Ingram,OLB,5,2012,SD-2012-29
SD,Defensive Pass Interference,10/07/2012,New Orleans,A.Cason,CB,5,2012,SD-2012-30
SD,Offensive Holding,10/07/2012,New Orleans,J.Clary,G,5,2012,SD-2012-31
SD,Offensive Pass Interference,10/07/2012,New Orleans,A.Gates,TE,5,2012,SD-2012-32
SD,Offensive Holding,10/07/2012,New Orleans,N.Hardwick,C,5,2012,SD-2012-33
SD,Face Mask (15 Yards),10/15/2012,Denver,J.Clary,G,6,2012,SD-2012-34
