team,penalty,game,opponent,player,position,week,year,penaltyindex
SF,Illegal Use of Hands,09/07/2014,Dallas,A.Brooks,OLB,1,2014,SF-2014-0
SF,Illegal Use of Hands,09/07/2014,Dallas,A.Brooks,OLB,1,2014,SF-2014-1
SF,Neutral Zone Infraction,09/07/2014,Dallas,A.Brooks,OLB,1,2014,SF-2014-2
SF,Offensive Holding,09/07/2014,Dallas,J.Staley,T,1,2014,SF-2014-3
SF,Offside on Free Kick,09/07/2014,Dallas,C.Borland,ILB,1,2014,SF-2014-4
SF,Offensive Holding,09/07/2014,Dallas,N.Moody,LB,1,2014,SF-2014-5
SF,Illegal Contact,09/07/2014,Dallas,C.Dahl,DB,1,2014,SF-2014-6
SF,Illegal Contact,09/07/2014,Dallas,J.Ward,SS,1,2014,SF-2014-7
SF,Offensive Holding,09/07/2014,Dallas,J.Looney,G,1,2014,SF-2014-8
SF,Offensive Pass Interference,09/07/2014,Dallas,B.Lloyd,WR,1,2014,SF-2014-9
SF,Offensive Pass Interference,09/14/2014,Chicago,S.Johnson,WR,2,2014,SF-2014-10
SF,Offensive Holding,09/14/2014,Chicago,J.Staley,T,2,2014,SF-2014-11
SF,False Start,09/14/2014,Chicago,J.Martin,T,2,2014,SF-2014-12
SF,Unnecessary Roughness,09/14/2014,Chicago,L.McCray,DB,2,2014,SF-2014-13
SF,Illegal Use of Hands,09/14/2014,Chicago,J.Ward,SS,2,2014,SF-2014-14
SF,Delay of Game,09/14/2014,Chicago,A.Lee,P,2,2014,SF-2014-15
SF,Offensive Holding,09/14/2014,Chicago,C.Borland,ILB,2,2014,SF-2014-16
SF,Offensive Holding,09/14/2014,Chicago,A.Boldin,WR,2,2014,SF-2014-17
SF,Defensive Holding,09/14/2014,Chicago,J.Smith,DE,2,2014,SF-2014-18
SF,Illegal Contact,09/14/2014,Chicago,P.Cox,DB,2,2014,SF-2014-19
SF,Roughing the Passer,09/14/2014,Chicago,Q.Dial,NT,2,2014,SF-2014-20
SF,Unnecessary Roughness,09/14/2014,Chicago,D.Skuta,LB,2,2014,SF-2014-21
SF,Illegal Use of Hands,09/14/2014,Chicago,C.Lemonier,OLB,2,2014,SF-2014-22
SF,Illegal Contact,09/14/2014,Chicago,D.Johnson,CB,2,2014,SF-2014-23
SF,Defensive Holding,09/14/2014,Chicago,D.Skuta,LB,2,2014,SF-2014-24
SF,Unsportsmanlike Conduct,09/14/2014,Chicago,C.Kaepernick,QB,2,2014,SF-2014-25
SF,False Start,09/14/2014,Chicago,J.Staley,T,2,2014,SF-2014-26
SF,Delay of Game,09/14/2014,Chicago,C.Kaepernick,QB,2,2014,SF-2014-27
SF,Illegal Contact,09/21/2014,Arizona,P.Willis,ILB,3,2014,SF-2014-28
SF,Illegal Use of Hands,09/21/2014,Arizona,T.Jerod,DE,3,2014,SF-2014-29
SF,Illegal Contact,09/21/2014,Arizona,E.Reid,FS,3,2014,SF-2014-30
SF,Face Mask (15 Yards),09/21/2014,Arizona,E.Reid,FS,3,2014,SF-2014-31
SF,Offensive Holding,09/21/2014,Arizona,M.Iupati,G,3,2014,SF-2014-32
SF,Unnecessary Roughness,09/21/2014,Arizona,D.Skuta,LB,3,2014,SF-2014-33
SF,Roughing the Passer,09/21/2014,Arizona,P.Willis,ILB,3,2014,SF-2014-34
SF,Unnecessary Roughness,09/21/2014,Arizona,A.Boldin,WR,3,2014,SF-2014-35
SF,Clipping,09/21/2014,Arizona,J.Martin,T,3,2014,SF-2014-36
SF,Taunting,09/21/2014,Arizona,C.Culliver,DB,3,2014,SF-2014-37
SF,Unnecessary Roughness,09/21/2014,Arizona,P.Willis,ILB,3,2014,SF-2014-38
SF,Defensive Pass Interference,09/21/2014,Arizona,C.Cook,CB,3,2014,SF-2014-39
SF,False Start,09/28/2014,Philadelphia,V.Davis,TE,4,2014,SF-2014-40
