team,penalty,game,opponent,player,position,week,year,penaltyindex
STL,Neutral Zone Infraction,09/09/2012,Detroit,K.Langford,DE,1,2012,STL-2012-0
STL,Offensive Holding,09/09/2012,Detroit,R.Turner,G,1,2012,STL-2012-1
STL,Unnecessary Roughness,09/09/2012,Detroit,B.Gibson,WR,1,2012,STL-2012-2
STL,Horse Collar Tackle,09/09/2012,Detroit,C.Dahl,DB,1,2012,STL-2012-3
STL,False Start,09/09/2012,Detroit,R.Saffold,G,1,2012,STL-2012-4
STL,Neutral Zone Infraction,09/09/2012,Detroit,C.Long,DE,1,2012,STL-2012-5
STL,Offensive Holding,09/09/2012,Detroit,R.Watkins,T,1,2012,STL-2012-6
STL,False Start,09/16/2012,Washington,B.Richardson,T,2,2012,STL-2012-7
STL,Personal Foul,09/16/2012,Washington,E.Sims,DE,2,2012,STL-2012-8
STL,Personal Foul,09/16/2012,Washington,R.Quinn,DE,2,2012,STL-2012-9
STL,False Start,09/16/2012,Washington,H.Dahl,G,2,2012,STL-2012-10
STL,Unsportsmanlike Conduct,09/16/2012,Washington,S.Jackson,RB,2,2012,STL-2012-11
STL,Offside on Free Kick,09/16/2012,Washington,M.Daniels,DB,2,2012,STL-2012-12
STL,Offensive Holding,09/16/2012,Washington,W.Hunter,T,2,2012,STL-2012-13
STL,Offensive Holding,09/16/2012,Washington,W.Hunter,T,2,2012,STL-2012-14
STL,Roughing the Kicker,09/23/2012,Chicago,J.Dunbar,OLB,3,2012,STL-2012-15
STL,Roughing the Passer,09/23/2012,Chicago,D.Stewart,DB,3,2012,STL-2012-16
STL,Defensive Pass Interference,09/23/2012,Chicago,B.Fletcher,DB,3,2012,STL-2012-17
STL,False Start,09/23/2012,Chicago,L.Kendricks,TE,3,2012,STL-2012-18
STL,False Start,09/23/2012,Chicago,D.Amendola,WR,3,2012,STL-2012-19
STL,Defensive Offside,09/30/2012,Seattle,K.Langford,DE,4,2012,STL-2012-20
STL,False Start,09/30/2012,Seattle,W.Hunter,T,4,2012,STL-2012-21
STL,Offensive Holding,09/30/2012,Seattle,T.Johnson,CB,4,2012,STL-2012-22
STL,Illegal Formation,09/30/2012,Seattle,B.Gibson,WR,4,2012,STL-2012-23
STL,Offensive Holding,09/30/2012,Seattle,R.Turner,G,4,2012,STL-2012-24
STL,Defensive Offside,09/30/2012,Seattle,R.Quinn,DE,4,2012,STL-2012-25
STL,Delay of Game,09/30/2012,Seattle,S.Bradford,QB,4,2012,STL-2012-26
STL,Offensive Holding,09/30/2012,Seattle,R.Turner,G,4,2012,STL-2012-27
STL,Defensive Offside,10/04/2012,Arizona,C.Long,DE,5,2012,STL-2012-28
STL,Neutral Zone Infraction,10/04/2012,Arizona,M.Brockers,DT,5,2012,STL-2012-29
STL,Roughing the Passer,10/04/2012,Arizona,K.Langford,DE,5,2012,STL-2012-30
STL,False Start,10/04/2012,Arizona,B.Richardson,T,5,2012,STL-2012-31
STL,Unnecessary Roughness,10/04/2012,Arizona,J.Cudjo,DT,5,2012,STL-2012-32
STL,Illegal Use of Hands,10/04/2012,Arizona,H.Dahl,G,5,2012,STL-2012-33
STL,Defensive Holding,10/04/2012,Arizona,J.Jenkins,CB,5,2012,STL-2012-34
STL,Illegal Block Above the Waist,10/14/2012,Miami,J.Hull,LB,6,2012,STL-2012-35
STL,Defensive Offside,10/14/2012,Miami,K.Heard,DT,6,2012,STL-2012-36
STL,Illegal Use of Hands,10/14/2012,Miami,Q.Ojinnaka,G,6,2012,STL-2012-37
STL,Defensive Offside,10/14/2012,Miami,K.Heard,DT,6,2012,STL-2012-38
STL,Illegal Use of Hands,10/14/2012,Miami,C.Dahl,DB,6,2012,STL-2012-39
STL,False Start,10/14/2012,Miami,H.Dahl,G,6,2012,STL-2012-40
STL,Offensive Holding,10/14/2012,Miami,M.Mulligan,TE,6,2012,STL-2012-41
STL,Illegal Use of Hands,10/14/2012,Miami,Q.Ojinnaka,G,6,2012,STL-2012-42
STL,Defensive Pass Interference,10/14/2012,Miami,B.Fletcher,DB,6,2012,STL-2012-43
STL,Roughing the Passer,10/14/2012,Miami,C.Long,DE,6,2012,STL-2012-44
STL,Offensive Holding,10/14/2012,Miami,J.Hull,LB,6,2012,STL-2012-45
STL,Offensive Holding,10/21/2012,Green Bay,J.Hull,LB,7,2012,STL-2012-46
STL,Defensive Offside,10/21/2012,Green Bay,C.Long,DE,7,2012,STL-2012-47
STL,Illegal Contact,10/21/2012,Green Bay,C.Dahl,DB,7,2012,STL-2012-48
STL,False Start,10/21/2012,Green Bay,J.Barksdale,T,7,2012,STL-2012-49
STL,Delay of Game,10/21/2012,Green Bay,S.Bradford,QB,7,2012,STL-2012-50
STL,Neutral Zone Infraction,10/21/2012,Green Bay,C.Long,DE,7,2012,STL-2012-51
STL,Unnecessary Roughness,10/21/2012,Green Bay,C.Finnegan,CB,7,2012,STL-2012-52
STL,Defensive Offside,10/21/2012,Green Bay,K.Langford,DE,7,2012,STL-2012-53
STL,False Start,10/21/2012,Green Bay,S.Smith,G,7,2012,STL-2012-54
STL,Defensive Pass Interference,10/28/2012,New England,B.Fletcher,DB,8,2012,STL-2012-55
STL,Intentional Grounding,10/28/2012,New England,S.Bradford,QB,8,2012,STL-2012-56
STL,False Start,10/28/2012,New England,L.Kendricks,TE,8,2012,STL-2012-57
STL,Offensive Holding,10/28/2012,New England,S.Smith,G,8,2012,STL-2012-58
STL,Defensive Pass Interference,10/28/2012,New England,B.Fletcher,DB,8,2012,STL-2012-59
STL,Defensive Pass Interference,10/28/2012,New England,B.Fletcher,DB,8,2012,STL-2012-60
STL,Illegal Forward Pass,10/28/2012,New England,S.Bradford,QB,8,2012,STL-2012-61
STL,False Start,10/28/2012,New England,S.Smith,G,8,2012,STL-2012-62
STL,Unnecessary Roughness,10/28/2012,New England,W.Hayes,DE,8,2012,STL-2012-63
STL,Offensive Holding,10/28/2012,New England,C.Dahl,DB,8,2012,STL-2012-64
STL,Illegal Block Above the Waist,11/11/2012,San Francisco,R.McLeod,FS,10,2012,STL-2012-65
STL,Encroachment,11/11/2012,San Francisco,K.Langford,DE,10,2012,STL-2012-66
STL,Illegal Formation,11/11/2012,San Francisco,R.Saffold,G,10,2012,STL-2012-67
STL,False Start,11/11/2012,San Francisco,B.Richardson,T,10,2012,STL-2012-68
STL,Illegal Block Above the Waist,11/11/2012,San Francisco,J.Cole,LB,10,2012,STL-2012-69
STL,Delay of Game,11/11/2012,San Francisco,S.Bradford,QB,10,2012,STL-2012-70
STL,False Start,11/11/2012,San Francisco,S.Smith,G,10,2012,STL-2012-71
STL,Offensive Holding,11/11/2012,San Francisco,B.Richardson,T,10,2012,STL-2012-72
STL,Defensive Holding,11/11/2012,San Francisco,J.Cudjo,DT,10,2012,STL-2012-73
STL,Offensive Holding,11/11/2012,San Francisco,R.Turner,G,10,2012,STL-2012-74
STL,Illegal Formation,11/11/2012,San Francisco,R.Saffold,G,10,2012,STL-2012-75
STL,Delay of Game,11/11/2012,San Francisco,J.Hekker,P,10,2012,STL-2012-76
STL,Delay of Game,11/11/2012,San Francisco,S.Bradford,QB,10,2012,STL-2012-77
STL,False Start,11/18/2012,N.Y. Jets,J.Hekker,P,11,2012,STL-2012-78
STL,Illegal Motion,11/18/2012,N.Y. Jets,D.Amendola,WR,11,2012,STL-2012-79
STL,Offensive Holding,11/18/2012,N.Y. Jets,R.McLeod,FS,11,2012,STL-2012-80
STL,Player Out of Bounds on Punt,11/18/2012,N.Y. Jets,R.McLeod,FS,11,2012,STL-2012-81
STL,False Start,11/18/2012,N.Y. Jets,R.Saffold,G,11,2012,STL-2012-82
STL,Offensive Holding,11/18/2012,N.Y. Jets,D.Richardson,RB,11,2012,STL-2012-83
STL,Neutral Zone Infraction,11/25/2012,Arizona,R.Quinn,DE,12,2012,STL-2012-84
STL,Personal Foul,11/25/2012,Arizona,Q.Mikell,SS,12,2012,STL-2012-85
STL,Offensive Holding,11/25/2012,Arizona,J.Hull,LB,12,2012,STL-2012-86
STL,Offensive Holding,11/25/2012,Arizona,B.Fletcher,DB,12,2012,STL-2012-87
STL,Illegal Motion,11/25/2012,Arizona,L.Kendricks,TE,12,2012,STL-2012-88
STL,Defensive Offside,11/25/2012,Arizona,M.Brockers,DT,12,2012,STL-2012-89
STL,Defensive Offside,11/25/2012,Arizona,R.Quinn,DE,12,2012,STL-2012-90
STL,Offensive Holding,11/25/2012,Arizona,R.Saffold,G,12,2012,STL-2012-91
STL,False Start,11/25/2012,Arizona,R.Turner,G,12,2012,STL-2012-92
STL,Unnecessary Roughness,11/25/2012,Arizona,J.Dunbar,OLB,12,2012,STL-2012-93
STL,Offensive Holding,11/25/2012,Arizona,S.Wells,C,12,2012,STL-2012-94
STL,Illegal Block Above the Waist,12/02/2012,San Francisco,C.Dahl,DB,13,2012,STL-2012-95
STL,Offensive Holding,12/02/2012,San Francisco,J.Jenkins,CB,13,2012,STL-2012-96
STL,Offensive Holding,12/02/2012,San Francisco,S.Wells,C,13,2012,STL-2012-97
STL,False Start,12/02/2012,San Francisco,R.Saffold,G,13,2012,STL-2012-98
STL,Roughing the Passer,12/02/2012,San Francisco,R.Quinn,DE,13,2012,STL-2012-99
STL,Neutral Zone Infraction,12/02/2012,San Francisco,R.Quinn,DE,13,2012,STL-2012-100
STL,Offensive Holding,12/02/2012,San Francisco,M.Mulligan,TE,13,2012,STL-2012-101
STL,Face Mask (15 Yards),12/09/2012,Buffalo,C.Finnegan,CB,14,2012,STL-2012-102
STL,Defensive Offside,12/09/2012,Buffalo,J.Dunbar,OLB,14,2012,STL-2012-103
STL,Defensive Holding,12/09/2012,Buffalo,J.Jenkins,CB,14,2012,STL-2012-104
STL,Defensive Holding,12/16/2012,Minnesota,M.Haggan,OLB,15,2012,STL-2012-105
STL,Offensive Holding,12/16/2012,Minnesota,R.Saffold,G,15,2012,STL-2012-106
STL,Taunting,12/16/2012,Minnesota,B.Gibson,WR,15,2012,STL-2012-107
STL,Offensive Holding,12/16/2012,Minnesota,R.Saffold,G,15,2012,STL-2012-108
STL,Neutral Zone Infraction,12/16/2012,Minnesota,K.Langford,DE,15,2012,STL-2012-109
STL,False Start,12/16/2012,Minnesota,S.Wells,C,15,2012,STL-2012-110
STL,False Start,12/16/2012,Minnesota,R.Turner,G,15,2012,STL-2012-111
STL,Illegal Block Above the Waist,12/16/2012,Minnesota,C.Harkey,TE,15,2012,STL-2012-112
STL,False Start,12/16/2012,Minnesota,S.Smith,G,15,2012,STL-2012-113
STL,Neutral Zone Infraction,12/23/2012,Tampa Bay,R.Quinn,DE,16,2012,STL-2012-114
STL,Face Mask (15 Yards),12/23/2012,Tampa Bay,R.McIntosh,LB,16,2012,STL-2012-115
STL,Neutral Zone Infraction,12/23/2012,Tampa Bay,C.Long,DE,16,2012,STL-2012-116
STL,Offensive Holding,12/23/2012,Tampa Bay,B.Richardson,T,16,2012,STL-2012-117
STL,Unsportsmanlike Conduct,12/23/2012,Tampa Bay,Q.Pointer,DB,16,2012,STL-2012-118
STL,Delay of Game,12/23/2012,Tampa Bay,J.Hekker,P,16,2012,STL-2012-119
STL,Neutral Zone Infraction,12/23/2012,Tampa Bay,C.Long,DE,16,2012,STL-2012-120
STL,False Start,12/30/2012,Seattle,R.Turner,G,17,2012,STL-2012-121
STL,Neutral Zone Infraction,12/30/2012,Seattle,E.Sims,DE,17,2012,STL-2012-122
STL,Delay of Game,12/30/2012,Seattle,S.Bradford,QB,17,2012,STL-2012-123
STL,Unnecessary Roughness,12/30/2012,Seattle,C.Williams,G,17,2012,STL-2012-124
STL,Defensive Holding,12/30/2012,Seattle,J.Jenkins,CB,17,2012,STL-2012-125
STL,Defensive Offside,12/30/2012,Seattle,E.Sims,DE,17,2012,STL-2012-126
STL,Unnecessary Roughness,12/30/2012,Seattle,W.Hunter,T,17,2012,STL-2012-127
STL,Neutral Zone Infraction,12/30/2012,Seattle,J.Dunbar,OLB,17,2012,STL-2012-128
STL,Unnecessary Roughness,12/30/2012,Seattle,C.Long,DE,17,2012,STL-2012-129
STL,Delay of Game,12/30/2012,Seattle,S.Bradford,QB,17,2012,STL-2012-130
STL,False Start,12/30/2012,Seattle,R.Turner,G,17,2012,STL-2012-131
STL,Running Into the Kicker,12/30/2012,Seattle,M.Haggan,OLB,17,2012,STL-2012-132
STL,Offensive Holding,12/30/2012,Seattle,S.Smith,G,17,2012,STL-2012-133
STL,Defensive Offside,12/30/2012,Seattle,K.Langford,DE,17,2012,STL-2012-134
